id_plt,id_cohort,id_axis,N_phytomer,HS_final,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
103,10,T2.3,7,6.49765323648,1383.0,1983.0,10070,1007,NA,580.174143941,759.891203767,976.737227283,1313.70671446
103,10,T7,7,6.42988860761,1383.0,1983.0,10070,1007,NA,580.174143941,759.891203767,976.737227283,1313.70671446
104,1,MS,13,13.0,NA,NA,1131,113,1.0,190.806464914,339.827308704,666.442192753,945.875873826
104,5,T2,10,5.25556812316,1074.0,1674.0,5060,510,NA,624.045772186,749.847714064,899.237520044,1135.11616106
104,6,T3,9,4.92460290168,1091.0,1691.0,6050,609,NA,618.804024608,758.583960028,924.572633339,1186.66001225
104,10,T2.3,7,5.06207899706,1200.0,1800.0,10060,1007,NA,603.827602956,783.544662781,1000.3906863,1337.36017347
104,10,T3.2,6,4.68253721807,1300.0,1900.0,10050,1006,NA,592.595286717,802.265189846,1164.13703141,1557.26809978
105,1,MS,13,13.0,NA,NA,1131,113,1.0,177.374266,326.39510979,653.009993839,932.443674912
105,4,T1,10,10.0,NA,NA,4101,410,1.0,409.247142572,565.444017386,750.927806227,1043.7969465
105,6,T3,9,6.03491962585,1188.0,1788.0,6070,609,NA,605.371825695,745.151761114,911.140434425,1173.22781334
105,7,T1.1,9,9.0,NA,NA,7091,709,1.0,402.738939455,576.291022581,782.384121294,1107.79427716
105,10,T1.1.1,7,6.08192068234,1319.0,1919.0,10070,1007,NA,590.395404042,770.112463868,986.958487384,1323.92797456
105,10,T3.2,6,5.49790577113,1391.0,1991.0,10060,1006,NA,579.163087803,788.832990933,1150.7048325,1543.83590086
106,1,MS,12,12.0,NA,NA,1121,112,1.0,163.829330514,325.266368517,649.433636667,952.128082922
106,4,T1,9,9.0,NA,NA,4091,409,1.0,393.833506029,567.385589155,773.478687868,1098.88884373
106,5,T2,9,6.88196537419,1262.0,1862.0,5070,509,NA,596.466392268,736.246327688,902.235000999,1164.32237991
106,6,T1.0,8,6.88796932341,1323.0,1923.0,6070,608,NA,589.914207796,747.166635143,933.903892618,1228.75219389
106,7,T1.1,7,7.0,NA,NA,7071,707,1.0,375.23863998,598.377032571,863.353873772,1281.73835988
106,10,T1.0.2,6,5.8699921028,1430.0,2030.0,10060,1006,NA,570.257654377,779.927557507,1141.79939907,1534.93046744
106,10,T1.4,5,5.0,NA,NA,10051,1005,1.0,554.532411643,806.136295398,1507.28946855,1979.04675059
106,10,T2.3,6,5.87872111142,1429.0,2029.0,10060,1006,NA,570.257654377,779.927557507,1141.79939907,1534.93046744
106,10,T7,5,5.0,NA,NA,10051,1005,1.0,554.532411643,806.136295398,1507.28946855,1979.04675059
107,1,MS,12,12.0,NA,NA,1121,112,1.0,187.503294148,348.940332151,673.107600302,975.802046557
107,4,T1,9,9.0,NA,NA,4091,409,1.0,417.507469664,591.05955279,797.152651502,1122.56280736
107,5,T2,8,4.62161817038,1115.0,1715.0,5050,508,NA,613.58817143,770.840598778,957.577856252,1252.42615753
107,6,T1.0,8,5.01421434425,1114.0,1714.0,6060,608,NA,613.58817143,770.840598778,957.577856252,1252.42615753
107,6,T3,8,4.61144344668,1114.0,1714.0,6050,608,NA,613.58817143,770.840598778,957.577856252,1252.42615753
107,7,T4,7,7.0,NA,NA,7071,707,1.0,398.912603615,622.050996205,887.027837407,1305.41232351
107,10,T1.4,5,4.71402422868,1396.0,1996.0,10050,1005,NA,578.206375277,829.810259033,1530.96343218,2002.72071422
107,10,T2.3,6,4.95080895667,1291.0,1891.0,10050,1006,NA,593.931618012,803.601521142,1165.4733627,1558.60443107
