treatment	variety	year	bloc	volume	concentration	plant	leaf	absorbance	dilution
T1	Mercia	2011	1	150	240	14	F3	0,616	2
T1	Mercia	2011	1	150	240	14	F4	0,328	2
T1	Mercia	2011	1	150	240	15	F1	0,656	8
T1	Mercia	2011	1	150	240	15	F2	0,385	8
T1	Mercia	2011	1	150	240	15	F3	0,528	2
T1	Mercia	2011	1	150	240	16	F1	0,853	4
T1	Mercia	2011	1	150	240	16	F2	0,78	2
T1	Mercia	2011	1	150	240	16	F3	0,496	2
T1	Mercia	2011	1	150	240	16	F4	0,305	2
T1	Mercia	2011	1	150	240	17	F1	0,529	4
T1	Mercia	2011	1	150	240	17	F2	0,657	8
T1	Mercia	2011	1	150	240	17	F3	0,365	2
T1	Mercia	2011	1	150	240	17	F4	0,213	2
T1	Mercia	2011	1	150	240	18	F1	0,41	2
T1	Mercia	2011	1	150	240	18	F2	0,719	4
T1	Mercia	2011	1	150	240	18	F3	0,567	2
T1	Mercia	2011	1	150	240	18	F4	0,537	2
T1	Mercia	2011	1	150	240	19	F1	0,581	4
T1	Mercia	2011	1	150	240	19	F2	0,799	4
T1	Mercia	2011	1	150	240	19	F3	0,648	4
T1	Mercia	2011	1	150	240	19	F4	0,521	2
T1	Mercia	2011	1	150	240	20	F1	0,798	8
T1	Mercia	2011	1	150	240	20	F2	0,727	2
T1	Mercia	2011	1	150	240	20	F3	0,781	2
T1	Mercia	2011	1	150	240	20	F4	0,52	2
T1	Mercia	2011	1	200	240	1	F1	0,756	2
T1	Mercia	2011	1	200	240	1	F2	0,536	8
T1	Mercia	2011	1	200	240	1	F3	0,577	2
T1	Mercia	2011	1	200	240	1	F4	0,533	4
T1	Mercia	2011	1	200	240	2	F1	0,691	2
T1	Mercia	2011	1	200	240	2	F2	0,809	4
T1	Mercia	2011	1	200	240	2	F3	0,699	4
T1	Mercia	2011	1	200	240	2	F4	0,419	2
T1	Mercia	2011	1	200	240	3	F1	0,593	2
T1	Mercia	2011	1	200	240	3	F2	0,751	4
T1	Mercia	2011	1	200	240	3	F3	0,734	2
T1	Mercia	2011	1	200	240	4	F1	0,666	2
T1	Mercia	2011	1	200	240	4	F2	0,92	2
T1	Mercia	2011	1	200	240	4	F3	0,577	2
T1	Mercia	2011	1	200	240	4	F4	0,717	4
T1	Mercia	2011	1	200	240	5	F1	0,354	4
T1	Mercia	2011	1	200	240	5	F2	0,835	2
T1	Mercia	2011	1	200	240	5	F3	0,583	4
T1	Mercia	2011	1	200	240	6	F1	0,671	4
T1	Mercia	2011	1	200	240	6	F2	0,601	4
T1	Mercia	2011	1	200	240	6	F3	0,66	2
T1	Mercia	2011	1	200	240	7	F1	0,57	4
T1	Mercia	2011	1	200	240	7	F2	0,441	4
T1	Mercia	2011	1	200	240	7	F3	0,744	2
T1	Mercia	2011	1	200	240	8	F1	0,743	4
T1	Mercia	2011	1	200	240	8	F2	0,576	4
T1	Mercia	2011	1	200	240	8	F3	0,785	2
T1	Mercia	2011	1	200	240	9	F1	0,434	2
T1	Mercia	2011	1	200	240	9	F2	0,896	4
T1	Mercia	2011	1	200	240	9	F3	0,851	4
T1	Mercia	2011	1	200	240	9	F4	0,616	2
T1	Mercia	2011	1	200	240	10	F1	0,684	2
T1	Mercia	2011	1	200	240	10	F2	0,78	2
T1	Mercia	2011	1	200	240	10	F3	0,635	2
T1	Mercia	2011	1	200	240	11	F1	0,493	4
T1	Mercia	2011	1	200	240	11	F2	0,483	4
T1	Mercia	2011	1	200	240	11	F3	0,538	2
T1	Mercia	2011	1	200	240	12	F1	0,618	2
T1	Mercia	2011	1	200	240	12	F2	0,644	2
T1	Mercia	2011	1	200	240	12	F3	0,551	4
T1	Mercia	2011	1	200	240	12	F4	0,367	2
T1	Mercia	2011	1	200	240	13	F1	0,806	2
T1	Mercia	2011	1	200	240	13	F2	0,672	2
T1	Mercia	2011	1	200	240	13	F3	0,523	4
T1	Mercia	2011	1	200	240	14	F1	0,698	4
T1	Mercia	2011	1	200	240	14	F2	0,78	2
T1	Mercia	2011	1	200	240	14	F3	0,428	2
T1	Mercia	2011	1	200	240	15	F1	0,46	4
T1	Mercia	2011	1	200	240	15	F2	0,722	4
T1	Mercia	2011	1	200	240	15	F3	0,416	2
T1	Mercia	2011	1	200	240	16	F1	0,902	4
T1	Mercia	2011	1	200	240	16	F2	0,824	8
T1	Mercia	2011	1	200	240	16	F3	0,723	8
T1	Mercia	2011	1	200	240	17	F1	0,551	4
T1	Mercia	2011	1	200	240	17	F2	0,471	4
T1	Mercia	2011	1	200	240	17	F3	0,81	2
T1	Mercia	2011	1	200	240	18	F1	0,878	4
T1	Mercia	2011	1	200	240	18	F2	0,728	4
T1	Mercia	2011	1	200	240	18	F3	0,715	2
T1	Mercia	2011	1	200	240	18	F4	0,682	2
T1	Mercia	2011	1	200	240	19	F1	0,553	4
