Date	var	Trt	Rep	N	Axis	Nflig	Nfvis	H_last_col	nff	Lg_F1	Lg_F2	Lg_F3	Lg_F4	Lg_F5	Lg_F6	Lg_F7	Lg_F8	Lg_F9	Lg_F10	Lg_F11	Lg_F12	fsen_F1	fsen_F2	fsen_F3	fsen_F4	fsen_F5	fsen_F6	fsen_F7	fsen_F8	fsen_F9	fsen_F10	fsen_F11	fsen_F12	fvert_F1	fvert_F2	fvert_F3	fvert_F4	fvert_F5	fvert_F6	fvert_F7	fvert_F8	fvert_F9	fvert_F10	fvert_F11	fvert_F12
22/05/2013	Tremie	T1+T2	2	20	MB	12	0	NA	12								13,8	20,4	20,8	19,5	11,2													0	0	0	0	0	0	0	20	100	100	100	100
22/05/2013	Tremie	T1+T2	2	21	MB	11	0	NA	11								17,3	22,5	23,5	13,2														0	0	0	0	0	0	0	60	100	100	100	
22/05/2013	Tremie	T1+T2	2	22	MB	12	0	NA	12								15,7	20,7	23,8	19,9	11,5													0	0	0	0	0	0	0	40	100	100	100	100
22/05/2013	Tremie	T1+T2	2	23	MB	11	0	NA	11								18	21,6	23,2	15,7														0	0	0	0	0	0	0	95	100	100	100	
22/05/2013	Tremie	T1+T2	2	24	MB	12	0	NA	12								14,2	19,8	22,4	20,3	12,7													0	0	0	0	0	0	0	50	100	100	100	100
22/05/2013	Tremie	T1+T2	2	25	MB	12	0	NA	12								15,4	19,3	22,5	20,3	11,9													0	0	0	0	0	0	0	50	100	100	100	100
22/05/2013	Tremie	T1+T2	2	26	MB	11	0	NA	11								16,2	20,8	20	13,2														0	0	0	0	0	0	0	60	100	100	100	
22/05/2013	Tremie	T1+T2	2	27	MB	11	0	NA	11								14,7	20,7	24	16,3														0	0	0	0	0	0	0	40	100	100	100	
22/05/2013	Tremie	T1+T2	2	28	MB	11	0	NA	11								17,4	21,7	22,5	14,3														0	0	0	0	0	0	0	90	100	100	100	
22/05/2013	Tremie	T1+T2	2	29	MB	12	0	NA	12								16,3	20	22,9	21	11,9													0	0	0	0	0	0	0	50	98	100	100	100
22/05/2013	Tremie	T1+T2	2	30	MB	12	0	NA	12								15,2	19,6	23,6	20,6	12,7													0	0	0	0	0	0	0	50	100	100	100	100
22/05/2013	Tremie	T1+T2	3	31	MB	11	0	NA	11								17,6	21,7	25,7	16														0	0	0	0	0	0	0	60	100	100	100	
22/05/2013	Tremie	T1+T2	3	32	MB	11	0	NA	11								17,2	22,5	24,7	15														0	0	0	0	0	0	0	60	99	100	100	
22/05/2013	Tremie	T1+T2	3	33	MB	11	0	NA	11								16,8	21,4	21,9	13,7														0	0	0	0	0	0	0	80	100	100	100	
22/05/2013	Tremie	T1+T2	3	34	MB	11	0	NA	11								15	21,5	24,8	16,7														0	0	0	0	0	0	0	10	99	100	100	
22/05/2013	Tremie	T1+T2	3	35	MB	11	0	NA	11								19,4	22,3	23,5	14,1														0	0	0	0	0	0	0	80	100	100	100	
22/05/2013	Tremie	T1+T2	3	36	MB	11	0	NA	11								16,6	20,8	22,8	15														0	0	0	0	0	0	0	70	100	100	100	
22/05/2013	Tremie	T1+T2	3	37	MB	11	0	NA	11								15,7	21,7	24,4	17,4														0	0	0	0	0	0	0	5	95	100	100	
22/05/2013	Tremie	T1+T2	3	38	MB	11	0	NA	11								17,7	21,6	22,5	15,4														0	0	0	0	0	0	0	80	100	100	100	
22/05/2013	Tremie	T1+T2	3	39	MB	11	0	NA	11								18,1	21,1	22,4	13,2														0	0	0	0	0	0	0	80	100	100	100	
22/05/2013	Tremie	T1+T2	3	40	MB	11	0	NA	11								18,8	22,2	22,6	14,2														0	0	0	0	0	0	0	80	100	100	100	
22/05/2013	Tremie	T1+T2	3	41	MB	11	0	NA	11								17,7	21,7	23,4	13,9														0	0	0	0	0	0	0	70	100	100	100	
22/05/2013	Tremie	T1+T2	3	42	MB	11	0	NA	11								16,1	20,8	23,4	15														0	0	0	0	0	0	0	70	100	100	100	
22/05/2013	Tremie	T1+T2	3	43	MB	11	0	NA	11								20	23,2	21,5	13,2														0	0	0	0	0	0	0	98	100	100	100	
22/05/2013	Tremie	T1+T2	3	44	MB	11	0	NA	11								21	23,2	22,3	13,1														0	0	0	0	0	0	0	87	100	100	100	
22/05/2013	Tremie	T1+T2	3	45	MB	11	0	NA	11								18,5	22,7	24	16,2														0	0	0	0	0	0	0	80	100	100	100	
27/05/2013	Tremie	T1+T2	1	1	MB	12	0	NA	12													100	100	100	100	100	100	100	50	0	1	0	0												
