"id_dim","rank","TT","index_rel_phytomer","L_blade","W_blade","L_sheath","W_sheath","L_internode","W_internode","N_phytomer","nff","Hcol","rank_phy"
10111,9,910.727272727273,0.8182,19.4,1.3436,10.6,0.454,6.4,0.406,11,11,23.8,9.12136845466322
10111,10,1012.81818181818,0.9091,17.8,1.5356,11.5,0.45,11.4,0.385,11,11,36.1,10.1438576515675
10111,11,1114,1,10.4,1.4643,15.4,0.437,16,0.401,11,11,56,11.1572418689801
11111,1,101.045454545455,0.0909,8.7,0.381,2.435,NA,NA,0,11,11,2.435,1.01201847048894
11111,2,196.090909090909,0.1818,7.6,0.3724,2.5123,NA,NA,0,11,11,2.5123,1.96394407633346
11111,3,290.090909090909,0.2727,7.0333,0.4528,2.8548,NA,NA,0,11,11,2.8548,2.90539895576266
11111,4,383.909090909091,0.3636,9,0.54,3.4608,NA,NA,0,11,11,3.4608,3.84503283929355
11111,5,478.484848484848,0.4545,10.35,0.6038,3.6204,NA,NA,0,11,11,3.6204,4.79225420573409
11111,6,565.363636363636,0.5455,10.5,0.7517,3.6801,NA,NA,0,11,11,3.6801,5.66238674581259
11111,7,660.090909090909,0.6364,11.5,1.0918,10,0.46,NA,0,11,11,10,6.61112560883506
11111,8,753.909090909091,0.7273,16.6,1.2442,10.3,0.45,2.2,0.394,11,11,12.5,7.55075949236595
11111,9,847.909090909091,0.8182,20.5,1.3436,10.3,0.44,4.6,0.375,11,11,17.1,8.49221437179515
11111,10,942.909090909091,0.9091,12.6,1.313,11.6,0.45,9.5,0.386,11,11,27.9,9.44368472866509
11111,11,1038,1,10.736,1.4865,15.075,0.4524,14.2,0.345,11,11,45.575,10.3960655834842
12111,1,94.1818181818182,0.0909,9,0.381,3.0118,NA,NA,0,11,11,3.0118,0.94327587532752
12111,2,198.363636363636,0.1818,9.4,0.3724,2.8933,NA,NA,0,11,11,2.8933,1.9867065250624
12111,3,301.363636363636,0.2727,8.1,0.4528,2.9288,NA,NA,0,11,11,2.9288,3.01830070145823
12111,4,405.151515151515,0.3636,9.2333,0.5475,3.536,NA,NA,0,11,11,3.536,4.0577858600801
12111,5,508.939393939394,0.4545,11,0.6377,3.8478,NA,NA,0,11,11,3.8478,5.09727101870196
12111,6,605.060606060606,0.5455,11.3,0.7929,5.3366,NA,NA,0,11,11,5.3366,6.05997085027818
12111,7,708.848484848485,0.6364,14,1.1691,7.2086,NA,0.8667,0.326,11,11,8.0753,7.09945600890005
12111,8,812.636363636364,0.7273,16.9,1.2561,9,0.39,3.8333,0.326,11,11,13.7,8.13894116752191
12111,9,915.636363636364,0.8182,15.8,1.3436,8.6,0.416,6.8,0.372,11,11,20.1,9.17053534391774
12111,10,1019.81818181818,0.9091,12.5,1.3088,9.2,0.402,10.7,0.358,11,11,31.4,10.2139659936526
12111,11,1124,1,8,1.3058,15.075,0.354,13,0.323,11,11,50.275,11.2573966433875
13111,1,103.090909090909,0.0909,10.5,0.381,3.4603,NA,NA,0,11,11,3.4603,1.03250467434499
13111,2,201.181818181818,0.1818,10.8,0.3724,3.2148,NA,NA,0,11,11,3.2148,2.01493196148629
13111,3,298.181818181818,0.2727,9,0.4528,3.4733,NA,NA,0,11,11,3.4733,2.98643327323771
13111,4,396.030303030303,0.3636,10.95,0.6023,4.0895,NA,NA,0,11,11,4.0895,3.96643256584793
13111,5,493.787878787879,0.4545,13.1,0.7473,4.5824,NA,NA,0,11,11,4.5824,4.94552136050899
13111,6,584.212121212121,0.5455,15.4,1.0043,6.9931,NA,NA,0,11,11,6.9931,5.85116332060465
13111,7,681.969696969697,0.6364,16.5,1.2463,9.5,0.526,2,0.36,11,11,11.5,6.83025211526571
13111,8,779.727272727273,0.7273,20,1.3788,9.9,0.509,5,0.394,11,11,16.9,7.80934090992677
13111,9,876.818181818182,0.8182,20.2,1.3436,11,0.41,6.8,0.388,11,11,24.8,8.78175271962735
13111,10,974.909090909091,0.9091,18.4,1.5613,11.5,0.422,11.5,0.38,11,11,36.8,9.76418000676865
13111,11,1073,1,11.35,1.527,15,0.45,16,0.358,11,11,56.3,10.74660729391
15111,1,100.090909090909,0.0909,9.65,0.381,3.172,NA,NA,0,11,11,3.172,1.00245824202278
15111,2,199.181818181818,0.1818,9.9,0.3724,3.0541,NA,NA,0,11,11,3.0541,1.99490100660482
15111,3,296.272727272727,0.2727,8.55,0.4528,3.2989,NA,NA,0,11,11,3.2989,2.96731281630539
15111,4,395.030303030303,0.3636,10.4,0.5847,3.9122,NA,NA,0,11,11,3.9122,3.95641708840719
15111,5,493.636363636364,0.4545,12.45,0.7134,4.355,NA,NA,0,11,11,4.355,4.94400386392706
15111,6,584.212121212121,0.5455,13.6,0.9115,6.5955,NA,NA,0,11,11,6.5955,5.85116332060465
15111,7,682.090909090909,0.6364,15.9,1.2278,10,0.431,1.5,0.399,11,11,11.5,6.83146611253126
15111,8,780.818181818182,0.7273,19.2,1.3472,9.7,0.53,4.2,0.372,11,11,15.4,7.82026688531667
15111,9,878.818181818182,0.8182,18.4,1.3436,10.2,0.48,6,0.376,11,11,21.9,8.80178367450882
15111,10,977.863636363636,0.9091,17.2,1.5099,10.5,0.452,10.5,0.409,11,11,32.7,9.79377119011628
