operateur;MethodeAnalyse;Date d'analyse;fichier;Variete;N prelev;Date;HS;rep;N plante;id_Axe;id_Feuille;ranktop;nmax;HaunStage;Llimbe1;Lgaine;Lentrenoeud;%vert;Llimbe2;Wlimbe;A_bl;A_bl_green;stat;w0,00;w0,05;w0,10;w0,15;w0,20;w0,25;w0,30;w0,35;w0,40;w0,45;w0,50;w0,55;w0,60;w0,65;w0,70;w0,75;w0,80;w0,85;w0,90;w0,95;w1,00
ABICHOU;Lamina2Shape;30-mars-12;Tremie_11032012_bloc3_p024,tif;TREMIE;date 1;09/03/2012;7,55;3;24;MB;7;18;NaN;;;;;;11,6;0,7;5,1;3,7;1;0;0,19611;0,2601;0,33394;0,41078;0,4343;0,42575;0,29937;0,10984;0,25745;0,41535;0,56423;0,60764;0,60652;0,65256;0,64699;0,62087;0,59501;0,60362;0,55747;0,14434
ABICHOU;Lamina2Shape;30-mars-12;Tremie_11032012_bloc3_p024,tif;TREMIE;date 1;09/03/2012;7,55;3;24;MB;8;17;NaN;;;;;;9,2;1;7,1;7,1;1;0;0,098335;0,25503;0,39338;0,51151;0,62099;0,69437;0,74354;0,78494;0,82777;0,88;0,94073;0,96562;0,96903;0,91182;0,90475;0,90022;0,90537;0,91869;0,97174;0,70954
ABICHOU;Lamina2Shape;06-avr-12;Tremie_11032012_bloc3_p025,tif;TREMIE;date 1;09/03/2012;7,55;3;25;MB;7;19;NaN;;;;;;10,5;0,7;5,2;4,3;1;0;0,081939;0,22301;0,26877;0,32273;0,39218;0,43219;0,44851;0,36772;0,44644;0,53249;0,59463;0,6224;0,60588;0,61266;0,64264;0,653;0,64505;0,61923;0,60015;0,30789
ABICHOU;Lamina2Shape;06-avr-12;Tremie_11032012_bloc3_p025,tif;TREMIE;date 1;09/03/2012;7,55;3;25;MB;8;18;NaN;;;;;;9,7;0,9;6,6;6,6;1;0;0,10691;0,27446;0,41585;0,51728;0,58457;0,62883;0,65714;0,67405;0,66695;0,72832;0,75567;0,7618;0,77366;0,76228;0,76152;0,79884;0,84755;0,85703;0,8367;0,83154
ABICHOU;Lamina2Shape;06-avr-12;Tremie_11032012_bloc3_p026,tif;TREMIE;date 1;09/03/2012;7,55;3;26;MB;8;19;NaN;;;;;;10,8;1;9,2;9,2;1;0;0,05;0,24;0,43;0,59;0,73;0,8;0,88;0,94;1;1,03;1,03;1,01;0,99;0,99;0,99;1;0,98;0,96;0,84;0,78
ABICHOU;Lamina2Shape;06-avr-12;Tremie_11032012_bloc3_p027,tif;TREMIE;date 1;09/03/2012;7,55;3;27;MB;6;22;NaN;;;;;;11,4;0,6;5;4,6;1;0;0,12;0,16;0,24;0,3;0,41;0,44;0,51;0,51;0,54;0,53;0,54;0,53;0,56;0,56;0,56;0,54;0,53;0,53;0,47;0,1
ABICHOU;Lamina2Shape;06-avr-12;Tremie_11032012_bloc3_p027,tif;TREMIE;date 1;09/03/2012;7,55;3;27;MB;7;21;NaN;;;;;;12,5;0,8;7,5;7,5;1;0;0,23;0,33;0,4;0,43;0,45;0,5;0,54;0,64;0,68;0,71;0,75;0,76;0,76;0,77;0,78;0,78;0,76;0,72;0,73;0,49
ABICHOU;Lamina2Shape;06-avr-12;Tremie_11032012_bloc3_p027,tif;TREMIE;date 1;09/03/2012;7,55;3;27;MB;8;20;NaN;;;;;;8,3;0,9;5,5;5,5;1;0;0,12;0,25;0,36;0,43;0,48;0,53;0,58;0,62;0,66;0,7;0,73;0,74;0,78;0,83;0,85;0,85;0,86;0,88;0,92;0,87
ABICHOU;Lamina2Shape;06-avr-12;Tremie_11032012_bloc3_p028,tif;TREMIE;date 1;09/03/2012;7,55;3;28;MB;8;21;NaN;;;;;;11,6;1;8,7;8,7;1;0;0,14;0,31;0,43;0,51;0,6;0,68;0,74;0,79;0,84;0,9;0,97;0,96;0,9;0,81;0,8;0,86;0,88;0,92;0,93;0,76
ABICHOU;Lamina2Shape;06-avr-12;Tremie_11032012_bloc3_p029,tif;TREMIE;date 1;09/03/2012;7,55;3;29;MB;7;23;NaN;;;;;;14,4;0,7;7,8;7,6;1;0;0,14;0,2;0,28;0,3;0,38;0,46;0,49;0,56;0,62;0,64;0,69;0,73;0,73;0,75;0,74;0,65;0,63;0,65;0,64;0,55
ABICHOU;Lamina2Shape;06-avr-12;Tremie_11032012_bloc3_p029,tif;TREMIE;date 1;09/03/2012;7,55;3;29;MB;8;22;NaN;;;;;;7,6;0,6;3,5;3,5;1;0;0,12;0,23;0,31;0,37;0,42;0,45;0,48;0,52;0,56;0,59;0,62;0,6;0,56;0,52;0,47;0,46;0,46;0,45;0,45;0,46
ABICHOU;Lamina2Shape;06-avr-12;Tremie_11032012_bloc3_p030,tif;TREMIE;date 1;09/03/2012;7,55;3;30;MB;7;24;NaN;;;;;;11,7;0,6;5,1;3,4;1;0;0,1;0,22;0,35;0,37;0,43;0,5;0,54;0,56;0,55;0,48;0,45;0,51;0,53;0,53;0,54;0,5;0,53;0,55;0,47;0,07
ABICHOU;Lamina2Shape;06-avr-12;Tremie_11032012_bloc3_p030,tif;TREMIE;date 1;09/03/2012;7,55;3;30;MB;8;23;NaN;;;;;;13,2;0,8;8,2;8,1;1;0;0,13;0,22;0,32;0,42;0,52;0,57;0,61;0,62;0,69;0,74;0,75;0,76;0,79;0,81;0,8;0,77;0,74;0,68;0,63;0,65
ABICHOU;Lamina2Shape;06-avr-12;Tremie_11032012_bloc3_p030,tif;TREMIE;date 1;09/03/2012;7,55;3;30;MB;9;22;NaN;;;;;;10,3;1,1;7,4;7,4;1;0;0,13;0,27;0,38;0,47;0,55;0,61;0,71;0,76;0,77;0,78;0,73;0,77;0,8;0,82;0,82;0,87;0,95;1,02;1,08;1,04
ABICHOU;Lamina2Shape;09-Aug-2012 13:43:43;D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02,04,2012\scanne_02,04,2012\tremie_02042012_003,tif;TREMIE;date 2;02/04/2012;10,15;NA;24;MB;9;16;NaN;;;;;;19,2;1,5;22,6;22,5;1;0;0,14943;0,4722;0,69467;0,83671;0,91784;1,1037;1,2258;1,3276;1,4058;1,4399;1,4603;1,453;1,4435;1,4078;1,4064;1,3881;1,3543;1,3025;1,1891;0,97673
ABICHOU;Lamina2Shape;09-Aug-2012 13:43:43;D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02,04,2012\scanne_02,04,2012\tremie_02042012_003,tif;TREMIE;date 2;02/04/2012;10,15;NA;25;MB;10;16;NaN;;;;;;21,6;1,5;25,4;25,3;1;0;0,22337;0,49831;0,69042;0,78477;0,9024;1,0289;1,1968;1,2763;1,3628;1,4296;1,4687;1,4825;1,4869;1,4696;1,4915;1,4746;1,4183;1,35;1,2407;0,67261
ABICHOU;Lamina2Shape;09-Aug-2012 13:43:43;D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02,04,2012\scanne_02,04,2012\tremie_02042012_003,tif;TREMIE;date 2;02/04/2012;10,15;NA;26;MB;9;18;NaN;;;;;;18,2;1,4;19,7;19,3;1;0;0,11292;0,40785;0,56395;0,70921;0,82717;0,9251;1,0781;1,1832;1,2858;1,3296;1,3246;1,3574;1,3447;1,3206;1,3145;1,3073;1,2381;1,1632;1,0842;0,84311
ABICHOU;Lamina2Shape;09-Aug-2012 13:43:43;D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02,04,2012\scanne_02,04,2012\tremie_02042012_003,tif;TREMIE;date 2;02/04/2012;10,15;NA;26;MB;10;17;NaN;;;;;;21,7;1,5;25,7;25,6;1;0;0,18496;0,48201;0,6727;0,79045;0,88418;0,99729;1,1868;1,2967;1,3678;1,4503;1,4805;1,4861;1,5074;1,4995;1,4785;1,4208;1,3819;1,3443;1,2632;0,96805
ABICHOU;Lamina2Shape;09-Aug-2012 13:43:43;D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02,04,2012\scanne_02,04,2012\tremie_02042012_003,tif;TREMIE;date 2;02/04/2012;10,15;NA;27;MB;9;19;NaN;;;;;;18,8;1,1;16,5;16,5;1;0;0,19866;0,4037;0,50233;0,63765;0,786;0,89753;0,97627;1,0293;1,0412;1,1001;1,114;1,0928;1,031;1,0559;1,0899;1,0763;1,0241;0,94732;0,88717;0,63491
ABICHOU;Lamina2Shape;09-Aug-2012 13:43:43;D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02,04,2012\scanne_02,04,2012\tremie_02042012_003,tif;TREMIE;date 2;02/04/2012;10,15;NA;20;MB;9;12;NaN;;;;;;17,2;1,4;18,1;18;1;0;0,17894;0,42732;0,6658;0,7584;0,84557;0,91188;1,129;1,2405;1,2821;1,3319;1,3536;1,3497;1,3208;1,2843;1,2303;1,202;1,1858;1,134;1,053;0,78843
ABICHOU;Lamina2Shape;09-Aug-2012 13:43:43;D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02,04,2012\scanne_02,04,2012\tremie_02042012_003,tif;TREMIE;date 2;02/04/2012;10,15;NA;20;MB;10;11;NaN;;;;;;21,2;1,4;24,3;24,3;1;0;0,14451;0,48524;0,72342;0,8839;1,1085;1,2093;1,2472;1,2962;1,3491;1,3737;1,4508;1,4011;1,3824;1,3998;1,3725;1,3354;1,3058;1,2625;1,1411;0,91015
