variety;date;blo;plant;axis;num_leaf_bottom;num_leaf_top;fnl;green;necro_tot;length;green_length;senesced_length
tremie;13/02/2013;3;40;MS;4;;11;100;0;11.5;0;11.5
tremie;13/02/2013;3;41;MS;4;;11;100;0;11;0;11
tremie;13/02/2013;3;42;MS;4;;11;100;0;10;0;10
tremie;13/02/2013;3;43;MS;4;;11;;;;;
tremie;13/02/2013;3;44;MS;4;;11;100;0;9.5;0;9.5
tremie;13/02/2013;3;45;MS;4;;11;;;;;
tremie;13/02/2013;1;1;MS;5;;12;100;0;7.5;0;7.5
tremie;13/02/2013;1;2;MS;5;;11;100;0;5.2;0;5.2
tremie;13/02/2013;1;3;MS;5;;11;100;0;;;
tremie;13/02/2013;1;4;MS;5;;11;100;0;6.2;0;6.2
tremie;13/02/2013;1;5;MS;5;;11;100;0;7.1;0;7.1
tremie;13/02/2013;1;6;MS;5;;11;100;0;7.9;0;7.9
tremie;13/02/2013;1;7;MS;5;;12;100;0;6.3;0;6.3
tremie;13/02/2013;1;8;MS;5;;12;100;0;7;0;7
tremie;13/02/2013;1;9;MS;5;;11;100;0;6.3;0;6.3
tremie;13/02/2013;1;10;MS;5;;12;100;0;6.5;0;6.5
tremie;13/02/2013;1;11;MS;5;;11;100;0;6.2;0;6.2
tremie;13/02/2013;1;12;MS;5;;12;100;0;4.8;0;4.8
tremie;13/02/2013;1;13;MS;5;;11;100;0;5;0;5
tremie;13/02/2013;1;14;MS;5;;11;100;0;4.3;0;4.3
tremie;13/02/2013;1;15;MS;5;;12;100;0;4.5;0;4.5
tremie;13/02/2013;2;16;MS;5;;11;100;0;4.3;0;4.3
tremie;13/02/2013;2;17;MS;5;;11;100;0;3.7;0;3.7
tremie;13/02/2013;2;18;MS;5;;12;100;0;5.8;0;5.8
tremie;13/02/2013;2;19;MS;5;;11;100;0;4.8;0;4.8
tremie;13/02/2013;2;20;MS;5;;12;100;0;6.1;0;6.1
tremie;13/02/2013;2;21;MS;5;;11;100;0;4.2;0;4.2
tremie;13/02/2013;2;22;MS;5;;12;100;0;3.2;0;3.2
tremie;13/02/2013;2;23;MS;5;;11;100;0;5.3;0;5.3
tremie;13/02/2013;2;24;MS;5;;12;100;0;4.2;0;4.2
tremie;13/02/2013;2;25;MS;5;;12;100;0;4.9;0;4.9
tremie;13/02/2013;2;26;MS;5;;11;100;0;3;0;3
tremie;13/02/2013;2;27;MS;5;;11;100;0;5.2;0;5.2
tremie;13/02/2013;2;28;MS;5;;11;100;0;3.6;0;3.6
