id_plt,id_cohort,id_axis,N_phytomer,HS_final,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
186,4,T1,9,7.9530012839,1252.0,1852.0,4080,409,NA,206.867233892,403.645131737,714.041781151,1083.00033961
186,5,T2,8,4.26157397479,1010.0,1610.0,5050,508,NA,534.611268219,693.294682683,947.884627579,1245.4160297
186,6,T1.0,8,7.52699794895,1321.0,1921.0,6080,608,NA,197.64326993,419.018405006,768.214635597,1183.29301386
187,1,MS,12,12.0,NA,NA,1121,112,1.0,33.3111340956,203.883440941,666.324560832,986.147643232
187,4,T1,9,8.60348084183,1332.0,1932.0,4090,409,NA,195.900663434,392.678561279,703.075210692,1072.03376915
187,6,T1.0,8,8.0,NA,NA,6081,608,1.0,186.676699472,408.051834548,757.248065138,1172.32644341
187,7,T1.1,8,5.815799681,1131.0,1731.0,7060,708,NA,289.911326163,492.080019064,810.9800865,1190.04638569
187,7,T4,7,5.61663580752,1181.0,1781.0,7060,707,NA,279.080860472,510.130795215,874.588015142,1307.80664279
188,1,MS,12,12.0,NA,NA,1121,112,1.0,45.5309161084,216.103222954,678.544342845,998.367425244
188,4,T1,9,7.91234631153,1247.0,1847.0,4080,409,NA,208.120445446,404.898343291,715.294992705,1084.25355116
188,5,T2,9,4.56740391189,990.0,1590.0,5050,509,NA,542.47628871,683.528212678,906.022939334,1170.49529677
188,6,T1.0,8,7.43202775488,1309.0,1909.0,6080,608,NA,198.896481485,420.271616561,769.467847151,1184.54622542
188,6,T3,8,7.47407731062,1308.0,1908.0,6080,608,NA,198.896481485,420.271616561,769.467847151,1184.54622542
189,1,MS,11,11.0,NA,NA,1111,111,1.0,18.8302882287,204.909168098,663.21440291,1012.11230266
189,4,T1,9,9.0,NA,NA,4091,409,1.0,187.234780209,384.012678054,694.409327468,1063.36788593
189,6,T3,7,7.0,NA,NA,6071,607,1.0,166.151434012,419.151588384,818.232994773,1292.60828422
189,7,T1.1,6,4.97837037936,1225.0,1825.0,7050,706,NA,255.974356326,525.532613527,1019.02741608,1524.44914833
190,1,MS,11,11.0,NA,NA,1111,111,1.0,31.6440628073,217.722942676,676.028177489,1024.92607724
190,4,T1,8,7.98000585568,1378.0,1978.0,4080,408,NA,190.824590826,412.199725902,761.395956493,1176.47433476
190,5,T2,8,4.5338141465,1037.0,1637.0,5050,508,NA,527.792589116,686.476003579,941.065948476,1238.5973506
190,6,T1.0,7,7.0,NA,NA,6071,607,1.0,178.96520859,431.965362962,831.046769352,1305.4220588
190,7,T2.0,7,4.6689098674,1161.0,1761.0,7050,707,NA,283.228751826,514.27868657,878.735906497,1311.95453414
190,7,T4,6,4.9982640146,1212.0,1812.0,7050,706,NA,268.788130905,538.346388105,1031.84119066,1537.26292291
191,1,MS,11,11.0,NA,NA,1111,111,1.0,31.6708763087,217.749756178,676.05499099,1024.95289074
191,4,T1,8,7.98000585568,1378.0,1978.0,4080,408,NA,190.851404328,412.226539404,761.422769994,1176.50114826
191,6,T1.0,7,7.0,NA,NA,6071,607,1.0,178.992022092,431.992176464,831.073582853,1305.4488723
191,6,T3,7,7.0,NA,NA,6071,607,1.0,178.992022092,431.992176464,831.073582853,1305.4488723
191,7,T1.1,6,4.88654815957,1211.0,1811.0,7050,706,NA,268.814944406,538.373201607,1031.86800416,1537.28973641
191,7,T4,7,5.47813760783,1161.0,1761.0,7060,707,NA,283.255565327,514.305500071,878.762719998,1311.98134764
192,1,MS,12,12.0,NA,NA,1121,112,1.0,43.5543211607,214.126628006,676.567747897,996.390830297
