year;treatment;boite;volume;concentration;level;bloc;absorbance;dilution
2013;T1;10;40;150;hauteur;1;0,749;16
2013;T1;11;40;150;sol;2;0,399;10
2013;T1;12;40;150;sol;2;0,443;10
2013;T1;13;40;150;sol;2;0,789;10
2013;T1;14;40;150;sol;2;0,735;16
2013;T1;15;40;150;sol;2;0,499;10
2013;T1;16;40;150;hauteur;2;0,726;16
2013;T1;17;40;150;hauteur;2;0,599;16
2013;T1;18;40;150;hauteur;2;0,557;16
2013;T1;19;40;150;hauteur;2;0,725;16
2013;T1;20;40;150;hauteur;2;0,599;16
2013;T1;21;80;150;sol;1;0,317;40
2013;T1;22;80;150;sol;1;0,294;40
2013;T1;23;80;150;sol;1;0,262;40
2013;T1;24;80;150;sol;1;0,448;40
2013;T1;25;80;150;sol;1;0,333;40
2013;T1;26;80;150;hauteur;1;0,26;100
2013;T1;27;80;150;hauteur;1;0,358;100
2013;T1;28;80;150;hauteur;1;0,258;100
2013;T1;29;80;150;hauteur;1;0,296;100
2013;T1;30;80;150;hauteur;1;0,277;100
2013;T1;31;80;150;sol;2;0,13;100
2013;T1;32;80;150;sol;2;0,138;100
2013;T1;33;80;150;sol;2;0,135;100
2013;T1;34;80;150;sol;2;0,138;100
2013;T1;35;80;150;sol;2;0,092;100
2013;T1;36;80;150;hauteur;2;0,236;100
2013;T1;37;80;150;hauteur;2;0,216;100
2013;T1;38;80;150;hauteur;2;0,387;100
2013;T1;39;80;150;hauteur;2;0,207;100
2013;T1;40;80;150;hauteur;2;0,298;100
2013;T1;41;150;150;sol;1;0,282;100
2013;T1;42;150;150;sol;1;0,368;100
2013;T1;43;150;150;sol;1;0,247;100
2013;T1;44;150;150;sol;1;0,158;100
2013;T1;45;150;150;sol;1;0,288;100
2013;T1;46;150;150;hauteur;1;0,338;100
2013;T1;47;150;150;hauteur;1;0,547;100
2013;T1;48;150;150;hauteur;1;0,419;100
2013;T1;49;150;150;hauteur;1;0,495;100
2013;T1;50;150;150;hauteur;1;0,468;100
2013;T1;51;150;150;sol;2;0,175;100
2013;T1;52;150;150;sol;2;0,176;100
2013;T1;53;150;150;sol;2;0,304;100
2013;T1;54;150;150;sol;2;0,124;100
2013;T1;55;150;150;sol;2;0,137;100
2013;T1;56;150;150;hauteur;2;0,383;100
2013;T1;57;150;150;hauteur;2;0,568;100
2013;T1;58;150;150;hauteur;2;0,504;100
2013;T1;59;150;150;hauteur;2;0,481;100
2013;T1;60;150;150;hauteur;2;0,431;100
2013;T1;61;200;150;sol;1;0,327;100
2013;T1;62;200;150;sol;1;0,232;100
2013;T1;63;200;150;sol;1;0,368;100
2013;T1;64;200;150;sol;1;0,269;100
2013;T1;65;200;150;sol;1;0,403;100
2013;T1;66;200;150;hauteur;1;0,509;100
2013;T1;67;200;150;hauteur;1;0,724;100
2013;T1;68;200;150;hauteur;1;0,499;100
2013;T1;69;200;150;hauteur;1;0,537;100
2013;T1;70;200;150;hauteur;1;0,638;100
2013;T1;71;200;150;sol;2;0,258;100
2013;T1;72;200;150;sol;2;0,359;100
2013;T1;73;200;150;sol;2;0,336;100
2013;T1;74;200;150;sol;2;0,35;100
2013;T1;75;200;150;sol;2;0,332;100
2013;T1;76;200;150;hauteur;2;0,565;100
2013;T1;77;200;150;hauteur;2;0,468;100
2013;T1;78;200;150;hauteur;2;0,607;100
2013;T1;79;200;150;hauteur;2;0,48;100
2013;T1;80;200;150;hauteur;2;0,65;100
2013;T2;1;40;150;sol;1;0,344;10
2013;T2;2;40;150;sol;1;0,336;10
2013;T2;3;40;150;sol;1;0,28;10
2013;T2;4;40;150;sol;1;0,248;10
2013;T2;5;40;150;sol;1;0,429;10
2013;T2;11;40;150;sol;2;0,398;10
2013;T2;12;40;150;sol;2;0,27;10
2013;T2;13;40;150;sol;2;0,26;10
2013;T2;14;40;150;sol;2;0,436;10
2013;T2;15;40;150;sol;2;0,301;10
2013;T2;21;80;150;sol;1;0,138;40
2013;T2;22;80;150;sol;1;0,116;40
2013;T2;23;80;150;sol;1;0,126;40
2013;T2;24;80;150;sol;1;0,192;40
2013;T2;25;80;150;sol;1;0,127;40
2013;T2;31;80;150;sol;2;0,237;40
2013;T2;32;80;150;sol;2;0,225;40
2013;T2;33;80;150;sol;2;0,134;40
2013;T2;34;80;150;sol;2;0,201;40
2013;T2;35;80;150;sol;2;0,224;40
2013;T2;41;150;150;sol;1;0,14;100
2013;T2;42;150;150;sol;1;0,158;100
2013;T2;43;150;150;sol;1;0,228;100
2013;T2;44;150;150;sol;1;0,123;100
2013;T2;45;150;150;sol;1;0,136;100
2013;T2;51;150;150;sol;2;0,191;100
2013;T2;52;150;150;sol;2;0,154;100
2013;T2;53;150;150;sol;2;0,216;100
2013;T2;54;150;150;sol;2;0,132;100
2013;T2;55;150;150;sol;2;0,174;100
2013;T2;61;200;150;sol;1;0,304;100
2013;T2;62;200;150;sol;1;0,279;100
2013;T2;63;200;150;sol;1;0,259;100
2013;T2;64;200;150;sol;1;0,286;100
2013;T2;65;200;150;sol;1;0,16;100
2013;T2;71;200;150;sol;2;0,243;100
2013;T2;72;200;150;sol;2;0,132;100
2013;T2;73;200;150;sol;2;0,211;100
2013;T2;74;200;150;sol;2;0,161;100
2013;T2;75;200;150;sol;2;0,238;100
2013;T2;6;40;150;hauteur;1;0,631;16
2013;T2;7;40;150;hauteur;1;0,679;16
2013;T2;8;40;150;hauteur;1;0,741;16
2013;T2;9;40;150;hauteur;1;0,559;16
2013;T2;10;40;150;hauteur;1;0,55;16
2013;T2;16;40;150;hauteur;2;0,79;16
2013;T2;17;40;150;hauteur;2;0,769;16
2013;T2;18;40;150;hauteur;2;0,825;16
2013;T2;19;40;150;hauteur;2;0,768;16
2013;T2;20;40;150;hauteur;2;0,59;16
2013;T2;26;80;150;hauteur;1;0,422;50
2013;T2;27;80;150;hauteur;1;0,324;50
2013;T2;28;80;150;hauteur;1;0,506;50
2013;T2;29;80;150;hauteur;1;0,328;50
2013;T2;30;80;150;hauteur;1;0,49;50
2013;T2;36;80;150;hauteur;2;0,464;50
2013;T2;37;80;150;hauteur;2;0,558;50
2013;T2;38;80;150;hauteur;2;0,386;50
2013;T2;39;80;150;hauteur;2;0,52;50
2013;T2;40;80;150;hauteur;2;0,562;50
2013;T2;46;150;150;hauteur;1;0,377;100
2013;T2;47;150;150;hauteur;1;0,419;100
2013;T2;48;150;150;hauteur;1;0,435;100
2013;T2;49;150;150;hauteur;1;0,581;100
2013;T2;50;150;150;hauteur;1;0,433;100
2013;T2;56;150;150;hauteur;2;0,437;100
2013;T2;57;150;150;hauteur;2;0,422;100
2013;T2;58;150;150;hauteur;2;0,433;100
2013;T2;59;150;150;hauteur;2;0,356;100
2013;T2;60;150;150;hauteur;2;0,388;100
2013;T2;66;200;150;hauteur;1;0,523;100
2013;T2;67;200;150;hauteur;1;0,548;100
2013;T2;68;200;150;hauteur;1;0,484;100
2013;T2;69;200;150;hauteur;1;0,446;100
2013;T2;70;200;150;hauteur;1;0,416;100
2013;T2;76;200;150;hauteur;2;0,515;100
2013;T2;77;200;150;hauteur;2;0,51;100
2013;T2;78;200;150;hauteur;2;0,533;100
2013;T2;79;200;150;hauteur;2;0,629;100
2013;T2;80;200;150;hauteur;2;0,55;100
