plant,rank,ranktop,HS,x,y
1,10,13,11.1,48.18,12.72
1,10,13,11.1,47.8,18.69
1,10,13,11.1,47.53,25.25
1,10,13,11.1,46.82,28.07
1,10,13,11.1,45.95,29.1
1,11,13,11.1,48.83,15.62
1,11,13,11.1,49.43,21.97
1,11,13,11.1,49.76,28.64
1,11,13,11.1,50.35,32.49
1,11,13,11.1,52.64,35.26
1,12,13,11.1,48.67,16.71
1,12,13,11.1,48.18,30.11
2,7,13,11.1,5.24,5.97
2,7,13,11.1,2.98,8.44
2,7,13,11.1,0.0,12.6
2,8,13,11.1,5.02,11.75
2,8,13,11.1,2.73,17.85
2,8,13,11.1,1.17,22.28
2,8,13,11.1,0.06,26.88
2,9,13,11.1,5.91,15.91
2,9,13,11.1,7.92,22.67
2,9,13,11.1,10.59,29.15
2,9,13,11.1,12.49,31.26
2,9,13,11.1,14.55,32.15
2,10,13,11.1,5.74,19.57
2,10,13,11.1,5.52,30.93
2,10,13,11.1,4.63,37.58
2,10,13,11.1,2.84,41.29
2,11,13,11.1,6.24,20.67
2,11,13,11.1,6.74,28.66
2,11,13,11.1,7.02,33.7
2,8,13,11.1,26.44,7.82
2,8,13,11.1,24.16,12.75
2,8,13,11.1,23.43,14.85
2,9,13,11.1,27.0,13.03
2,9,13,11.1,24.71,19.4
2,9,13,11.1,23.21,24.33
2,9,13,11.1,21.2,26.72
2,9,13,11.1,20.03,27.77
2,10,13,11.1,27.33,13.97
2,10,13,11.1,27.05,18.51
2,10,13,11.1,26.66,25.33
2,10,13,11.1,26.0,29.6
2,10,13,11.1,24.38,32.04
2,10,13,11.1,22.04,33.59
2,11,13,11.1,27.28,18.4
2,11,13,11.1,26.89,30.87
2,11,13,11.1,26.66,36.03
2,11,13,11.1,26.5,37.91
2,11,13,11.1,25.77,39.85
2,12,13,11.1,27.44,19.51
2,12,13,11.1,27.61,23.17
2,8,13,11.1,46.83,7.36
2,8,13,11.1,43.81,14.64
2,8,13,11.1,41.14,18.45
2,9,13,11.1,47.87,11.69
2,9,13,11.1,50.72,16.71
2,9,13,11.1,54.03,22.83
2,9,13,11.1,56.0,25.08
2,10,13,11.1,47.52,14.0
2,10,13,11.1,46.83,19.43
2,10,13,11.1,45.32,26.99
2,10,13,11.1,43.64,31.78
2,11,13,11.1,48.42,17.02
2,11,13,11.1,49.59,25.05
2,11,13,11.1,50.21,32.92
2,11,13,11.1,50.93,38.19
2,12,13,11.1,48.26,18.18
2,12,13,11.1,48.76,23.11
2,12,13,11.1,48.87,27.05
1,1,13,11.1,3.55,1.87
1,1,13,11.1,8.13,2.22
1,8,13,11.1,3.7,8.99
1,8,13,11.1,0.0,11.74
1,9,13,11.1,4.29,10.3
1,9,13,11.1,6.55,16.23
1,9,13,11.1,9.61,19.96
1,9,13,11.1,11.38,22.03
1,10,13,11.1,3.65,11.47
1,10,13,11.1,3.6,19.18
1,10,13,11.1,3.65,24.68
1,10,13,11.1,3.35,28.65
1,10,13,11.1,2.51,31.99
1,11,13,11.1,4.14,12.41
1,11,13,11.1,4.68,20.8
1,11,13,11.1,5.47,26.2
1,11,13,11.1,5.57,29.54
1,11,13,11.1,6.45,31.5
1,12,13,11.1,3.84,13.34
1,12,13,11.1,4.19,19.52
1,8,13,11.1,24.46,11.98
1,8,13,11.1,22.13,14.73
1,8,13,11.1,18.01,12.94
1,8,13,11.1,15.25,8.88
1,8,13,11.1,13.36,5.41
1,9,13,11.1,24.75,17.72
1,9,13,11.1,25.91,25.83
1,9,13,11.1,26.93,32.06
1,9,13,11.1,26.98,35.49
1,10,13,11.1,24.07,23.27
1,10,13,11.1,23.59,31.19
1,10,13,11.1,23.44,37.37
1,10,13,11.1,22.62,41.24
1,10,13,11.1,20.82,45.63
1,11,13,11.1,24.27,24.63
1,11,13,11.1,25.09,32.74
1,11,13,11.1,25.14,38.73
1,11,13,11.1,24.85,43.75
1,7,13,11.1,44.43,4.06
1,7,13,11.1,39.68,5.7
1,8,13,11.1,45.15,9.14
1,8,13,11.1,48.89,14.49
1,8,13,11.1,51.55,17.63
1,8,13,11.1,53.18,19.44
1,9,13,11.1,44.31,14.68
1,9,13,11.1,40.32,20.33
1,9,13,11.1,38.15,24.25
1,9,13,11.1,35.74,27.44
1,10,13,11.1,45.11,14.29
1,10,13,11.1,47.29,32.55
1,10,13,11.1,47.83,37.18
1,11,13,11.1,44.6,16.99
1,11,13,11.1,43.91,28.87
1,11,13,11.1,43.47,33.63
1,11,13,11.1,42.93,36.48
1,11,13,11.1,42.24,38.19
1,12,13,11.1,44.85,17.92
1,12,13,11.1,44.7,24.21
2,8,13,11.1,6.89,8.42
2,8,13,11.1,2.97,15.84
2,9,13,11.1,7.66,13.91
2,9,13,11.1,6.51,17.58
2,9,13,11.1,6.12,22.12
2,9,13,11.1,5.98,27.1
2,9,13,11.1,5.59,28.35
2,10,13,11.1,7.23,17.68
2,10,13,11.1,6.46,25.26
2,10,13,11.1,4.96,29.95
2,10,13,11.1,2.6,32.8
2,10,13,11.1,0.0,34.83
2,11,13,11.1,7.94,21.59
2,11,13,11.1,9.38,29.27
2,11,13,11.1,10.11,36.76
2,11,13,11.1,10.35,40.77
2,11,13,11.1,11.17,43.42
2,12,13,11.1,7.7,22.46
2,12,13,11.1,8.66,29.51
2,12,13,11.1,9.38,35.4
2,8,13,11.1,28.34,7.04
2,8,13,11.1,25.01,8.67
2,8,13,11.1,22.75,9.26
2,8,13,11.1,20.35,9.99
2,9,13,11.1,29.62,12.65
2,9,13,11.1,32.76,17.02
2,9,13,11.1,35.85,18.35
2,9,13,11.1,39.09,18.3
2,9,13,11.1,43.55,17.66
2,10,13,11.1,29.24,17.05
2,10,13,11.1,28.42,23.04
2,10,13,11.1,29.39,28.3
2,10,13,11.1,30.21,32.31
2,10,13,11.1,30.4,34.44
2,10,13,11.1,29.92,35.89
2,10,13,11.1,29.77,35.98
2,11,13,11.1,30.06,23.67
2,11,13,11.1,31.41,32.65
2,11,13,11.1,32.66,38.79
2,11,13,11.1,32.76,40.09
2,11,13,11.1,34.25,43.04
2,11,13,11.1,36.13,45.64
2,12,13,11.1,30.06,25.31
2,12,13,11.1,30.49,33.67
2,12,13,11.1,30.88,40.38
2,8,13,11.1,48.7,7.44
2,8,13,11.1,47.06,13.67
2,8,13,11.1,45.76,16.42
2,8,13,11.1,47.2,18.64
2,8,13,11.1,47.93,19.95
2,9,13,11.1,48.8,12.94
2,9,13,11.1,50.82,17.82
2,9,13,11.1,53.57,22.07
2,9,13,11.1,56.02,25.16
2,9,13,11.1,58.1,27.63
2,10,13,11.1,48.41,16.81
2,10,13,11.1,49.08,23.47
2,10,13,11.1,49.04,29.08
2,11,13,11.1,48.65,21.74
2,11,13,11.1,49.08,28.35
2,11,13,11.1,49.42,34.29
2,11,13,11.1,49.66,37.96
2,11,13,11.1,49.33,39.8
2,11,13,11.1,48.46,41.2
2,12,13,11.1,48.51,22.17
2,12,13,11.1,47.59,31.69
2,12,13,11.1,47.4,34.87
1,8,13,11.1,0.52,1.33
1,8,13,11.1,0.32,1.3
1,8,13,11.1,0.21,1.32
1,8,13,11.1,0.12,1.38
1,8,13,11.1,0.06,1.41
1,8,13,11.1,0.02,1.44
1,8,13,11.1,0.0,1.49
1,8,13,11.1,0.0,1.54
1,8,13,11.1,0.03,1.62
1,9,13,11.1,0.57,1.03
1,9,13,11.1,0.54,1.01
1,9,13,11.1,0.48,0.82
1,9,13,11.1,0.4,0.57
1,9,13,11.1,0.33,0.4
1,9,13,11.1,0.32,0.3
1,10,13,11.1,0.55,1.01
1,10,13,11.1,0.62,0.77
1,10,13,11.1,0.67,0.48
1,10,13,11.1,0.74,0.26
1,10,13,11.1,0.75,0.18
1,10,13,11.1,0.8,0.15
1,11,13,11.1,0.57,0.98
1,11,13,11.1,0.63,0.49
1,11,13,11.1,0.62,0.24
1,11,13,11.1,0.6,0.11
1,11,13,11.1,0.58,0.03
1,8,13,11.1,1.44,1.48
1,8,13,11.1,1.38,1.42
1,8,13,11.1,1.37,1.38
1,9,13,11.1,1.45,1.3
1,9,13,11.1,1.5,1.21
1,9,13,11.1,1.64,1.07
1,9,13,11.1,1.75,0.96
1,9,13,11.1,1.8,0.94
1,9,13,11.1,1.83,0.94
1,10,13,11.1,1.44,1.19
1,10,13,11.1,1.38,0.95
1,10,13,11.1,1.35,0.73
1,10,13,11.1,1.34,0.61
1,10,13,11.1,1.31,0.54
1,10,13,11.1,1.27,0.52
1,11,13,11.1,1.46,1.08
1,11,13,11.1,1.51,0.78
1,11,13,11.1,1.55,0.55
1,11,13,11.1,1.56,0.41
1,11,13,11.1,1.59,0.33
1,12,13,11.1,1.44,1.08
1,12,13,11.1,1.46,0.74
1,12,13,11.1,1.45,0.5
1,12,13,11.1,1.46,0.41
1,8,13,11.1,2.27,1.42
1,8,13,11.1,2.25,1.42
1,8,13,11.1,2.24,1.36
1,8,13,11.1,2.22,1.34
1,8,13,11.1,2.2,1.34
1,8,13,11.1,2.18,1.34
1,8,13,11.1,2.16,1.34
1,8,13,11.1,2.16,1.35
1,8,13,11.1,2.13,1.35
1,9,13,11.1,2.29,1.18
1,9,13,11.1,2.37,0.98
1,9,13,11.1,2.45,0.78
1,9,13,11.1,2.5,0.66
1,10,13,11.1,2.28,1.09
1,10,13,11.1,2.24,0.81
1,10,13,11.1,2.22,0.56
1,10,13,11.1,2.18,0.37
1,10,13,11.1,2.12,0.3
1,10,13,11.1,2.06,0.24
1,11,13,11.1,2.3,0.95
1,11,13,11.1,2.34,0.48
1,11,13,11.1,2.34,0.19
1,11,13,11.1,2.34,0.0
1,12,13,11.1,2.3,0.81
1,12,13,11.1,2.29,0.61
2,7,13,11.1,4.68,3.6
2,7,13,11.1,5.26,5.21
2,7,13,11.1,6.12,5.51
2,7,13,11.1,7.38,5.26
2,7,13,11.1,8.4,4.57
2,7,13,11.1,9.87,4.05
2,7,13,11.1,10.94,3.58
2,7,13,11.1,11.66,2.86
2,8,13,11.1,4.35,11.87
2,8,13,11.1,2.81,17.34
2,8,13,11.1,1.71,20.05
2,8,13,11.1,1.6,22.37
2,8,13,11.1,0.5,24.08
2,8,13,11.1,0.0,24.8
2,9,13,11.1,5.29,16.21
2,9,13,11.1,7.05,22.06
2,9,13,11.1,8.87,27.14
2,9,13,11.1,9.98,29.46
2,9,13,11.1,10.53,30.68
2,9,13,11.1,11.35,31.18
2,9,13,11.1,12.35,31.78
2,10,13,11.1,5.29,19.77
2,10,13,11.1,6.12,27.5
2,10,13,11.1,6.17,33.91
