operator	date	file	prelevement	blockA	blockB	rep	plant	tiller	id	id_Axe	rank	nmax	lmax	wmax	A_bl	A_bl_green	stat	w0.00	w0.05	w0.10	w0.15	w0.20	w0.25	w0.30	w0.35	w0.40	w0.45	w0.50	w0.55	w0.60	w0.65	w0.70	w0.75	w0.80	w0.85	w0.90	w0.95	w1.00
ABICHOU	09-Aug-2012 14:37:00	Boigneville_11042012_P02.tif	11/04/2012	1	NaN	NaN	2	TREMIE	P2-Talles-F	Talle	NaN	NaN	14,7978	0,41201	4,3862	4,3452	3	0	0,15449	0,20181	0,27046	0,25345	0,24746	0,22209	0,23679	0,26813	0,30948	0,36207	0,37583	0,36981	0,41899	0,37156	0,3292	0,35833	0,33879	0,30571	0,32029	0,143
ABICHOU	09-Aug-2012 14:37:00	Boigneville_11042012_P02.tif	11/04/2012	1	NaN	NaN	2	TREMIE	P2-Talles-F	Talle	NaN	NaN	11,1195	0,30416	2,6259	2,6168	3	0	0,077645	0,1611	0,24924	0,28022	0,30173	0,29796	0,26587	0,22855	0,258	0,26419	0,26317	0,26391	0,25377	0,2538	0,24701	0,24371	0,23526	0,24282	0,24329	0,22185
ABICHOU	09-Aug-2012 14:37:00	Boigneville_11042012_P02.tif	11/04/2012	1	NaN	NaN	2	TREMIE	P2-Talles-F	Talle	NaN	NaN	22,3943	0,70532	10,2104	10,1652	3	0	0,1037	0,15093	0,21985	0,24797	0,32157	0,38793	0,42096	0,446	0,46224	0,47459	0,57808	0,53015	0,57907	0,64876	0,62274	0,6746	0,6879	0,61926	0,6089	0,53661
ABICHOU	09-Aug-2012 14:37:00	Boigneville_11042012_P02.tif	11/04/2012	1	NaN	NaN	2	TREMIE	P2-Talles-F	Talle	NaN	NaN	19,9954	0,93251	13,6056	13,5624	3	0	0,097565	0,23149	0,31599	0,40881	0,58895	0,68068	0,73025	0,73196	0,72182	0,72115	0,7614	0,81493	0,84006	0,79244	0,77628	0,81728	0,90589	0,93701	0,88686	0,65967
ABICHOU	09-Aug-2012 14:37:00	Boigneville_11042012_P02.tif	11/04/2012	1	NaN	NaN	2	TREMIE	P2-Talles-F	Talle	NaN	NaN	19,7638	1,1742	16,8317	16,8255	3	0	0,14881	0,26167	0,40855	0,49338	0,55458	0,65288	0,75031	0,87404	0,98032	1,0449	1,0517	1,0435	1,1727	1,17	1,137	1,1272	1,1457	1,0089	0,96372	0,93597
ABICHOU	09-Aug-2012 14:37:00	Boigneville_11042012_P02.tif	11/04/2012	1	NaN	NaN	2	TREMIE	P2-Talles-F	Talle	NaN	NaN	20,2696	0,94863	13,9355	13,856	2	0	0,098156	0,16542	0,30393	0,41674	0,50915	0,63378	0,77885	0,8982	0,94491	0,94911	0,94298	0,91437	0,89595	0,85289	0,85961	0,8027	0,79745	0,7493	0,6597	0,50041
ABICHOU	09-Aug-2012 14:37:00	Boigneville_11042012_P02.tif	11/04/2012	1	NaN	NaN	2	TREMIE	P2-Talles-F	Talle	NaN	NaN	17,3401	1,0425	13,8998	13,8961	3	0	0,066768	0,21784	0,37649	0,52262	0,65886	0,74805	0,86338	0,98205	1,045	1,0289	0,99834	0,88981	0,94624	0,93286	0,90591	0,87749	0,90172	0,9105	0,95152	0,92873
ABICHOU	09-Aug-2012 14:37:00	Boigneville_11042012_P02.tif	11/04/2012	1	NaN	NaN	2	TREMIE	P2-Talles-F	Talle	NaN	NaN	20,9444	0,93986	14,837	14,8205	3	0	0,06653	0,20674	0,31059	0,40389	0,50608	0,68936	0,74729	0,81268	0,84915	0,86742	0,90917	0,84371	0,74178	0,8215	0,93066	0,91936	0,94657	0,9133	0,8347	0,70597
ABICHOU	09-Aug-2012 14:41:55	Boigneville_11042012_P03.tif	11/04/2012	1	NaN	NaN	3	TREMIE	P3-MB-F8	MB	7	NaN	14,0382	0,85854	8,7079	6,2984	2	0	0,14642	0,24013	0,23567	0,29492	0,39933	0,44949	0,61328	0,73747	0,72247	0,75872	0,82365	0,78512	0,85322	0,84867	0,78552	0,65752	0,74175	0,77756	0,74209	0,61197
ABICHOU	09-Aug-2012 14:41:55	Boigneville_11042012_P03.tif	11/04/2012	1	NaN	NaN	3	TREMIE	P3-MB-F9	MB	8	NaN	17,5541	1,2361	16,6177	16,5907	1	0	0,046038	0,24191	0,24124	0,40518	0,61821	0,91221	1,0314	1,091	1,1586	1,2103	1,2361	1,2338	1,1993	1,2176	1,2137	1,177	1,0959	1,044	0,968	0,90793
ABICHOU	09-Aug-2012 14:41:55	Boigneville_11042012_P03.tif	11/04/2012	1	NaN	NaN	3	TREMIE	P3-MB-F10	MB	9	NaN	22,4893	1,4679	24,9439	24,9352	1	0	0,2091	0,39122	0,58371	0,71948	0,8472	1,0251	1,1327	1,1856	1,2202	1,3125	1,3832	1,4447	1,4151	1,4521	1,4666	1,4643	1,4153	1,3635	1,2065	0,90444
ABICHOU	09-Aug-2012 14:41:55	Boigneville_11042012_P03.tif	11/04/2012	1	NaN	NaN	3	TREMIE	P3-MB-F11	MB	10	NaN	21,7237	1,5536	26,0132	26,01	1	0	0,19378	0,4698	0,65846	0,81009	0,89837	1,1017	1,2958	1,4659	1,5554	1,551	1,5027	1,4582	1,3839	1,3486	1,3131	1,4229	1,5049	1,4466	1,3284	1,0956
ABICHOU	09-Aug-2012 14:41:55	Boigneville_11042012_P03.tif	11/04/2012	1	NaN	NaN	3	TREMIE	P3-MB-F12	MB	11	NaN	5,7937	0,18493	0,72989	0,72989	3	0	0,037336	0,080408	0,10714	0,11939	0,10983	0,12098	0,13187	0,14095	0,12611	0,12376	0,13631	0,14953	0,1331	0,13959	0,096806	0,14455	0,16205	0,17186	0,17998	0,1417
ABICHOU	09-Aug-2012 14:41:55	Boigneville_11042012_P03.tif	11/04/2012	1	NaN	NaN	3	TREMIE	P3-Talles-F	Talle	NaN	NaN	12,0068	0,33324	2,3922	2,3689	3	0	0,13349	0,15899	0,16555	0,16081	0,15007	0,15916	0,1635	0,17185	0,16442	0,15998	0,16189	0,16109	0,17287	0,1601	0,24143	0,31328	0,33076	0,32633	0,33664	0,31668
ABICHOU	09-Aug-2012 14:41:55	Boigneville_11042012_P03.tif	11/04/2012	1	NaN	NaN	3	TREMIE	P3-Talles-F	Talle	NaN	NaN	10,1955	0,27737	2,2231	2,2225	3	0	0,052493	0,1174	0,19626	0,23309	0,25438	0,25459	0,27898	0,26104	0,23613	0,22013	0,22013	0,22014	0,22871	0,22426	0,23369	0,24636	0,24023	0,23436	0,24539	0,15134
