variete	prelevement	Date_analyse	operateur	outil_analyse	Nom_fichier	Rep	plant	id_Axe	rank	lmax	wmax	A_bl	A_bl_green	stat	w0.00	w0.05	w0.10	w0.15	w0.20	w0.25	w0.30	w0.35	w0.40	w0.45	w0.50	w0.55	w0.60	w0.65	w0.70	w0.75	w0.80	w0.85	w0.90	w0.95	w1.00
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P02.tif	1	2	MB	3	5,1301	0,38868	1,5477	0,042509	3	0	0,063478	0,1853	0,19966	0,1864	0,24582	0,24917	0,35576	0,36304	0,33024	0,35254	0,32548	0,34973	0,37605	0,35459	0,34762	0,37891	0,36253	0,36445	0,35854	0,17827
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P02.tif	1	2	MB	4	13,1669	0,55288	4,1441	0,054695	2	0	0,11945	0,18154	0,13367	0,15301	0,12883	0,10178	0,17364	0,24372	0,26491	0,26304	0,33535	0,47261	0,51756	0,52027	0,54629	0,54184	0,49779	0,4006	0,36607	0,31555
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P02.tif	1	2	MB	5	7,9616	0,49798	2,7632	0,11441	3	0	0,22491	0,36212	0,34887	0,29035	0,30508	0,3068	0,27422	0,27334	0,31961	0,37712	0,42122	0,42671	0,36999	0,34224	0,34458	0,35204	0,38965	0,49722	0,4819	0,12637
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P02.tif	1	2	MB	6	1,6719	0,74491	1,1956	1,1627	3	0	0,47121	0,69163	0,75253	0,74518	0,74298	0,74773	0,74722	0,74479	0,74499	0,74194	0,73054	0,71943	0,71679	0,71533	0,70663	0,69346	0,68011	0,66594	0,6491	0,62772
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P02.tif	1	2	MB	7	9,3463	1,1217	9,8117	9,7778	3	0	0,79443	0,84057	0,91799	1,0052	1,0559	1,0916	1,1164	1,1227	1,1225	1,1114	1,0981	1,0732	1,0762	1,0645	1,089	1,051	1,0459	1,0416	1,0397	0,9149
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P02.tif	1	2	Talle	NA	9,3241	0,41725	2,6171	0,27075	NA	0	0,097743	0,062735	0,18072	0,25227	0,22786	0,32526	0,33682	0,32461	0,32415	0,32183	0,2796	0,28599	0,34339	0,32173	0,29881	0,27775	0,31342	0,38947	0,42483	0,34853
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P02.tif	1	2	Talle	NA	5,8491	0,35458	1,6124	0,030466	NA	0	0,18016	0,23414	0,29013	0,26863	0,25114	0,26305	0,24658	0,24856	0,29384	0,30938	0,27198	0,2667	0,25468	0,28465	0,30046	0,3054	0,31356	0,35014	0,35597	0,27942
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P02.tif	1	2	Talle	NA	5,948	0,92615	4,9229	4,8908	NA	0	0,87983	0,90027	0,92032	0,93356	0,93264	0,90804	0,8973	0,88752	0,85478	0,84144	0,83241	0,82178	0,81484	0,80575	0,78281	0,7588	0,73551	0,69438	0,63489	0,55459
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P02.tif	1	2	Talle	NA	3,9522	0,41775	1,2429	1,2409	NA	0	0,056374	0,11988	0,19586	0,23624	0,25923	0,2836	0,31519	0,3361	0,35495	0,36586	0,384	0,39774	0,4137	0,42087	0,4148	0,40392	0,37759	0,33364	0,27901	0,25976
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P02.tif	1	2	Talle	NA	12,1545	0,39355	3,8702	3,3099	NA	0	0,11648	0,18129	0,23509	0,27	0,29403	0,33508	0,35464	0,34753	0,35921	0,3596	0,37372	0,37526	0,38602	0,38724	0,37243	0,37812	0,35937	0,34168	0,31547	0,19454
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P02.tif	1	2	Talle	NA	7,2897	0,30373	1,5229	0,51548	NA	0	0,038137	0,06714	0,052128	0,072948	0,11323	0,1532	0,21877	0,24028	0,24862	0,24587	0,24751	0,29622	0,30011	0,29323	0,29187	0,29725	0,28897	0,28893	0,25837	0,12912
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P02.tif	1	2	Talle	NA	11,7179	0,38374	3,2963	1,9596	NA	0	0,16659	0,13254	0,11266	0,10751	0,1476	0,33644	0,38103	0,37209	0,37269	0,38022	0,37616	0,31019	0,28334	0,29977	0,32835	0,36448	0,37784	0,35382	0,29769	0,19376
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P02.tif	1	2	Talle	NA	13,3546	0,52764	5,5578	4,4626	NA	0	0,14809	0,24758	0,27319	0,30819	0,39853	0,3518	0,40067	0,44791	0,449	0,47186	0,49812	0,51375	0,50195	0,51937	0,52916	0,51751	0,4871	0,46612	0,42906	0,38157
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P02.tif	1	2	Talle	NA	5,9778	0,48721	2,2272	2,2272	NA	0	0,059977	0,14425	0,20986	0,25459	0,31097	0,37366	0,40212	0,41393	0,41596	0,41174	0,40044	0,40018	0,40431	0,40545	0,42026	0,43966	0,47758	0,4968	0,44304	0,38867
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P02.tif	1	2	Talle	NA	8,9297	0,37287	2,2212	0,030179	NA	0	0,054567	0,059667	0,10459	0,16815	0,21007	0,26905	0,30988	0,28023	0,24909	0,2174	0,26171	0,26378	0,31398	0,34245	0,35223	0,32672	0,32576	0,3193	0,3601	0,2498
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P02.tif	1	2	Talle	NA	10,8444	0,5159	3,6661	0,21534	NA	0	0,12207	0,11873	0,18237	0,24414	0,29976	0,34061	0,35535	0,28672	0,28924	0,30072	0,30457	0,33908	0,38139	0,42539	0,46515	0,43205	0,49788	0,51427	0,49919	0,19068
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P02.tif	1	2	Talle	NA	12,9301	0,60684	3,0007	0,69598	NA	0	0,086943	0,2308	0,1797	0,20013	0,21129	0,26	0,26957	0,2888	0,27137	0,18997	0,17349	0,11093	0,143	0,14251	0,15087	0,1549	0,18873	0,41872	0,61282	0,5383
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P02.tif	1	2	Talle	NA	4,9066	0,11632	0,33276	0,037634	NA	0	0,079942	0,11134	0,10154	0,076057	0,07022	0,075259	0,05798	0,067825	0,059527	0,052607	0,059663	0,050579	0,045891	0,066057	0,071668	0,054383	0,056484	0,051952	0,065439	0,083766
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P03.tif	1	3	MB	4	7,1861	0,2149	0,9739	0,036631	3	0	0,13161	0,14237	0,15741	0,16466	0,14272	0,12699	0,11987	0,096236	0,11864	0,14997	0,15323	0,091662	0,10926	0,11841	0,11653	0,10023	0,15277	0,15945	0,20025	0,21172
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P03.tif	1	3	MB	5	7,4339	0,40886	1,734	0,075125	3	0	0,1766	0,31572	0,19963	0,16249	0,23839	0,24403	0,21246	0,23917	0,23218	0,20258	0,18139	0,23087	0,25229	0,2698	0,28377	0,27712	0,25613	0,31122	0,42037	0,3696
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P03.tif	1	3	MB	6	10,6396	0,49438	3,0765	0,034337	3	0	0,18121	0,29598	0,22907	0,17306	0,12568	0,15235	0,13736	0,11225	0,20216	0,28063	0,3813	0,40296	0,44371	0,47145	0,4957	0,44889	0,41099	0,31575	0,24496	0,15286
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P03.tif	1	3	MB	7	6,1288	0,7716	4,4079	4,3675	3	0	0,75517	0,71423	0,73469	0,75822	0,76085	0,77187	0,77379	0,76795	0,75941	0,74419	0,73868	0,73091	0,71046	0,70114	0,69953	0,68117	0,6687	0,65421	0,63059	0,49899
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P03.tif	1	3	MB	8	8,5224	0,89206	5,7199	5,7161	3	0	0,084337	0,20124	0,30651	0,37898	0,42982	0,50192	0,58779	0,66025	0,72943	0,78437	0,82049	0,8533	0,83393	0,82895	0,82795	0,83638	0,87109	0,88325	0,89919	0,8266
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P03.tif	1	3	Talle	NA	7,0898	0,27565	1,1114	0,11892	NA	0	0,053609	0,1152	0,085381	0,16898	0,15009	0,16481	0,11432	0,13055	0,17354	0,20018	0,1516	0,14899	0,2292	0,22796	0,17108	0,096582	0,18654	0,26705	0,2787	0,078445
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P03.tif	1	3	Talle	NA	11,6887	0,34864	3,2779	1,984	NA	0	0,04196	0,16218	0,2162	0,26999	0,29866	0,30569	0,33287	0,34009	0,31606	0,28283	0,32946	0,31459	0,30454	0,30592	0,34752	0,34211	0,34122	0,33449	0,32619	0,086408
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P03.tif	1	3	Talle	NA	9,1261	0,62307	4,4239	4,4105	NA	0	0,095334	0,22644	0,3092	0,37011	0,40515	0,42862	0,46797	0,5152	0,54797	0,58022	0,60722	0,6161	0,62156	0,6237	0,61052	0,58162	0,54196	0,49379	0,44606	0,40808
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P03.tif	1	3	Talle	NA	15,003	0,52176	3,9819	2,814	NA	0	0,057038	0,052412	0,079337	0,079495	0,12517	0,12616	0,14552	0,11788	0,2235	0,1622	0,14489	0,36743	0,50125	0,51947	0,5015	0,511	0,47482	0,44667	0,43541	0,31215
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P03.tif	1	3	Talle	NA	7,4467	0,20785	0,76057	0,029104	NA	0	0,061781	0,079052	0,061504	0,084145	0,08277	0,1444	0,14957	0,11473	0,083198	0,15077	0,19704	0,089914	0,098106	0,11342	0,15399	0,12477	0,058619	0,064762	0,062431	0,078291
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P03.tif	1	3	Talle	NA	5,4609	0,16037	0,39326	0,050824	NA	0	0,096057	0,065154	0,1143	0,10148	0,086958	0,0853	0,075121	0,095751	0,056938	0,090056	0,032238	0,074625	0,073087	0,064057	0,086882	0,051816	0,060638	0,090186	0,065317	0,026521
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P03.tif	1	3	Talle	NA	8,6035	0,35613	1,8301	0,3671	NA	0	0,063595	0,053197	0,064991	0,13881	0,083377	0,097032	0,19285	0,20615	0,22818	0,22791	0,30991	0,31222	0,31622	0,28314	0,29149	0,32505	0,32101	0,35927	0,34139	0,024066
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P03.tif	1	3	Talle	NA	19,391	0,39192	1,1635	0,024659	NA	0	0,046148	0,079708	0,087063	0,097836	0,073261	0,092589	0,088509	0,11727	0,11375	0,12087	0,15011	0,19215	0,14907	0,13331	0,13715	0,12508	0,12233	0,10553	0,077853	0,24188
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P04.tif	1	4	MB	5	12,7902	0,80668	4,0998	0,26115	3	0	0,84204	0,087607	0,08794	0,092971	0,12225	0,12679	0,21026	0,27919	0,2758	0,28783	0,36639	0,39905	0,48352	0,58571	0,60985	0,59725	0,63353	0,59646	0,41223	0,18941
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P04.tif	1	4	MB	6	5,959	0,75694	4,3335	4,2527	3	0	0,68443	0,70074	0,71917	0,73432	0,74311	0,74818	0,75283	0,75136	0,75971	0,75512	0,74285	0,73592	0,70891	0,71456	0,71806	0,71691	0,69645	0,69557	0,68482	0,65453
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P04.tif	1	4	MB	7	12,7459	1,0519	10,536	10,5253	1	0	0,13876	0,29327	0,39863	0,47935	0,60527	0,72583	0,81871	0,85854	0,97241	1,0461	1,0562	1,0386	1,0087	1,0249	1,0064	1,0071	0,99566	0,98052	0,92771	0,85115
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P04.tif	1	4	MB	8	1,2299	0,15355	0,13878	0,13878	3	0	0,030488	0,042668	0,053825	0,066624	0,083477	0,092775	0,099001	0,10968	0,11266	0,12168	0,12612	0,13956	0,13859	0,14591	0,14537	0,15219	0,15472	0,15011	0,15291	0,13184
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P04.tif	1	4	Talle	NA	10,3633	0,44995	2,4363	0,98351	NA	0	0,13625	0,085192	0,1078	0,092919	0,16579	0,088095	0,13426	0,15425	0,18092	0,18995	0,22444	0,29504	0,30557	0,33296	0,42526	0,45218	0,44513	0,40316	0,35397	0,1633
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P04.tif	1	4	Talle	NA	14,424	0,54732	6,1327	4,4753	NA	0	0,083956	0,25922	0,32721	0,35982	0,39914	0,46033	0,49696	0,5203	0,53842	0,55035	0,49404	0,37382	0,42958	0,41738	0,5022	0,50778	0,48233	0,47585	0,45206	0,26802
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P04.tif	1	4	Talle	NA	10,7516	0,44698	2,1671	0,23219	NA	0	0,067447	0,085873	0,097982	0,18109	0,11149	0,14219	0,10614	0,07509	0,071315	0,14855	0,13634	0,16795	0,25241	0,29843	0,32013	0,3009	0,3928	0,4482	0,44846	0,205
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P04.tif	1	4	Talle	NA	8,5183	0,91453	7,0117	6,9454	NA	0	0,97266	0,61583	0,79942	0,87926	0,9042	0,91576	0,90464	0,89397	0,87551	0,87382	0,85659	0,84162	0,83962	0,82957	0,80492	0,78421	0,74976	0,73321	0,69124	0,62759
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P04.tif	1	4	Talle	NA	5,1503	0,57167	2,1669	2,1669	NA	0	0,027707	0,067267	0,15587	0,26219	0,32513	0,3696	0,40431	0,4152	0,4245	0,43589	0,44987	0,46956	0,48469	0,50482	0,52562	0,56618	0,5706	0,58035	0,49219	0,40712
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P04.tif	1	4	Talle	NA	6,2092	0,27208	0,95878	0,30774	NA	0	0,047	0,047269	0,058852	0,11054	0,079049	0,04496	0,08057	0,13197	0,1459	0,13486	0,15708	0,1852	0,21176	0,27041	0,25326	0,24035	0,26429	0,26595	0,24573	0,15587
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P04.tif	1	4	Talle	NA	12,8997	0,44651	3,9419	3,8556	NA	0	0,078222	0,076715	0,12605	0,13979	0,14583	0,23158	0,2915	0,34133	0,37895	0,4009	0,41806	0,43749	0,42791	0,41344	0,44221	0,44886	0,43167	0,40103	0,26289	0,17387
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P04.tif	1	4	Talle	NA	8,5295	0,34034	1,8715	1,0567	NA	0	0,11793	0,15057	0,22698	0,22836	0,1366	0,082059	0,12309	0,22499	0,16654	0,16376	0,17799	0,22884	0,28804	0,32541	0,32762	0,33912	0,322	0,31376	0,32539	0,26733
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P04.tif	1	4	Talle	NA	12,7562	0,41846	4,1248	2,9421	NA	0	0,073813	0,12341	0,16532	0,2236	0,29219	0,32699	0,36841	0,36228	0,37668	0,3599	0,36887	0,36786	0,38131	0,41873	0,41403	0,40557	0,39055	0,37997	0,36837	0,28879
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P04.tif	1	4	Talle	NA	9,4529	0,48367	3,8841	3,8784	NA	0	0,094938	0,2047	0,26281	0,34993	0,39755	0,42927	0,44119	0,45043	0,4657	0,46118	0,47271	0,47436	0,47261	0,46481	0,46431	0,47107	0,48489	0,48098	0,40594	0,23501
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P05.tif	1	5	MB	4	4,8923	0,23394	0,64014	0,057133	3	0	0,080964	0,08555	0,073934	0,07868	0,10511	0,078668	0,083193	0,096386	0,11536	0,10424	0,15249	0,15325	0,14957	0,13759	0,2105	0,23097	0,23653	0,22525	0,21833	0,057178
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P05.tif	1	5	MB	5	2,4625	0,42612	0,71821	0,11656	3	0	0,23445	0,16	0,14077	0,11071	0,15851	0,20294	0,25895	0,29988	0,31586	0,33088	0,33162	0,332	0,35375	0,40074	0,428	0,42454	0,4512	0,35198	0,22023	0,1081
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P05.tif	1	5	MB	6	10,7603	0,38125	2,001	0,053477	2	0	0,07509	0,14158	0,086999	0,10326	0,15876	0,19445	0,20554	0,18951	0,15667	0,16132	0,13811	0,15347	0,13365	0,16878	0,19452	0,26666	0,32082	0,37922	0,37479	0,2477
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P05.tif	1	5	MB	7	14,2779	0,75288	4,8063	3,0188	2	0	0,10288	0,081068	0,11361	0,25124	0,15784	0,12946	0,20711	0,20859	0,16216	0,16802	0,20835	0,16881	0,20662	0,5946	0,73771	0,74873	0,71348	0,71841	0,68317	0,54825
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P05.tif	1	5	MB	8	7,3951	0,78338	3,9095	3,878	3	0	0,095537	0,20016	0,28191	0,35106	0,38668	0,41874	0,46536	0,4935	0,52682	0,55946	0,57502	0,57802	0,59636	0,59363	0,56059	0,72122	0,80623	0,77907	0,75141	0,7325
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P05.tif	1	5	Talle	NA	11,7587	0,55102	3,8136	2,4847	NA	0	0,11417	0,13463	0,1292	0,13973	0,19138	0,15628	0,123	0,14188	0,29985	0,40347	0,41032	0,40494	0,54978	0,54558	0,54179	0,53125	0,51876	0,4909	0,40904	0,25555
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P05.tif	1	5	Talle	NA	8,4589	0,32027	1,9558	1,6736	NA	0	0,058298	0,11735	0,17771	0,22504	0,25061	0,27081	0,29241	0,30248	0,32581	0,3145	0,30423	0,28937	0,27268	0,23487	0,24813	0,22974	0,21097	0,20468	0,18761	0,1581
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P05.tif	1	5	Talle	NA	8,1154	0,40777	1,9707	0,36523	NA	0	0,14332	0,11108	0,12238	0,094892	0,069223	0,11503	0,12928	0,21877	0,28275	0,30939	0,3157	0,29953	0,27556	0,283	0,30253	0,33878	0,38327	0,41072	0,39336	0,23246
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P05.tif	1	5	Talle	NA	3,3794	0,38082	1,0424	0,26753	NA	0	0,0669	0,065865	0,13142	0,21753	0,28448	0,33547	0,33273	0,33877	0,35506	0,36633	0,37755	0,37491	0,37542	0,3829	0,37715	0,36892	0,37102	0,36183	0,34324	0,28435
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P05.tif	1	5	Talle	NA	12,198	0,52446	3,2971	0,063727	NA	0	0,075057	0,10653	0,16815	0,26434	0,36231	0,36001	0,46124	0,5084	0,52908	0,46366	0,36808	0,28172	0,2679	0,22915	0,1842	0,16595	0,15782	0,13663	0,10015	0,085704
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P05.tif	1	5	Talle	NA	5,5068	0,24923	0,98265	0,039857	NA	0	0,088282	0,091193	0,14203	0,11076	0,11133	0,16087	0,22521	0,21409	0,21748	0,21834	0,24925	0,24405	0,22916	0,19947	0,22944	0,21875	0,20574	0,17661	0,097205	0,055322
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P05.tif	1	5	Talle	NA	8,9949	0,34754	0,71677	0,075412	NA	0	0,072503	0,2285	0,055821	0,20679	0,23806	0,10634	0,12165	0,13812	0,16397	0,1389	0,21074	0,25889	0,19792	0,17555	0,28267	0,35072	0,091853	0,035105	0,047149	0,040794
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P05.tif	1	5	Talle	NA	4,3445	0,36701	1,0245	0,37957	NA	0	0,13679	0,07198	0,080646	0,18648	0,18738	0,23013	0,19197	0,2299	0,1901	0,23846	0,24072	0,3195	0,35399	0,37253	0,36134	0,36167	0,35939	0,33751	0,31115	0,17999
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P05.tif	1	5	Talle	NA	3,6777	0,1263	0,34817	0,017921	NA	0	0,091815	0,10004	0,057367	0,09019	0,051976	0,12124	0,10659	0,088119	0,084936	0,1287	0,12356	0,10885	0,10513	0,098895	0,075409	0,10967	0,10842	0,1134	0,11967	0,11246
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P05.tif	1	5	Talle	NA	4,6069	0,33605	1,3845	1,2409	NA	0	0,32424	0,33761	0,33551	0,3325	0,33057	0,32618	0,32378	0,31901	0,31426	0,31157	0,30905	0,29894	0,29003	0,28291	0,28181	0,27472	0,27077	0,25648	0,22974	0,13302
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P05.tif	1	5	Talle	NA	6,0932	0,33688	0,70674	0,02638	NA	0	0,058527	0,051723	0,057743	0,046154	0,07817	0,075749	0,1027	0,11184	0,08371	0,073786	0,15129	0,45402	0,19178	0,14342	0,18727	0,21415	0,20999	0,15016	0,12658	0,11466
Tremie	09/03/2012	30/mars/2012	abichou	Lamina2Shape	Tremie_11032012_Bloc1_P05.tif	1	5	Talle	NA	11,3459	0,68198	4,3326	3,4616	NA	0	0,14695	0,2481	0,28542	0,3151	0,20509	0,075936	0,049641	0,070486	0,26207	0,36343	0,40796	0,46939	0,50515	0,60932	0,65072	0,67497	0,68704	0,67895	0,64273	0,55419
