DATE;TT;HS
2013-03-20;692,1;6,06
2013-03-21;697,8;6,11
2013-03-22;703,81;6,17
2013-03-23;712,67;6,25
2013-03-24;720,85;6,33
2013-03-25;726,47;6,38
2013-03-26;730,66;6,42
2013-03-27;733,68;6,44
2013-03-28;736,42;6,47
2013-03-29;738,56;6,49
2013-03-30;741,6;6,52
2013-03-31;743,69;6,54
2013-04-01;746,09;6,56
2013-04-02;750,2;6,6
2013-04-03;754,64;6,64
2013-04-04;759;6,68
2013-04-05;764,28;6,73
2013-04-06;769,68;6,78
2013-04-07;774,3;6,82
2013-04-08;780,3;6,88
2013-04-09;787,08;6,94
2013-04-10;795,59;7,02
2013-04-11;805,84;7,11
2013-04-12;817,03;7,22
2013-04-13;827,17;7,31
2013-04-14;838,35;7,41
2013-04-15;855,97;7,58
2013-04-16;870,49;7,71
2013-04-17;884,25;7,84
2013-04-18;902,2;8
2013-04-19;915,09;8,12
2013-04-20;923,37;8,2
2013-04-21;931,82;8,28
2013-04-22;940,95;8,36
2013-04-23;950,03;8,45
2013-04-24;961,88;8,56
2013-04-25;976,75;8,7
2013-04-26;994,3;8,86
2013-04-27;1005,53;8,96
2013-04-28;1013,28;9,03
2013-04-29;1020,45;9,1
2013-04-30;1029,95;9,19
2013-05-01;1038,75;9,27
2013-05-02;1048,78;9,36
2013-05-03;1059,78;9,46
2013-05-04;1071,05;9,57
2013-05-05;1082,83;9,68
2013-05-06;1096,32;9,8
2013-05-07;1109,61;9,93
2013-05-08;1124,35;10,06
2013-05-09;1139,43;10,2
2013-05-10;1151,44;10,31
2013-05-11;1162,08;10,41
2013-05-12;1174,17;10,52
2013-05-13;1185,4;10,63
2013-05-14;1197,21;10,74
2013-05-15;1209,26;10,85
2013-05-16;1220,12;10,95
2013-05-17;1230,21;11,04
2013-05-18;1241,15;11,14
2013-05-19;1251,6;11,24
2013-05-20;1263,1;11,35
2013-05-21;1273,54;11,44
2013-05-22;1284,41;11,54
2013-05-23;1295,79;11,65
2013-05-24;1304,06;11,73
2013-05-25;1309,91;11,78
2013-05-26;1318,29;11,86
2013-05-27;1328,23;11,95
2013-05-28;1340,8;12,07
2013-05-29;1351,44;12,17
2013-05-30;1362,09;12,26
2013-05-31;1373,57;12,37
2013-06-01;1386,5;12,49
2013-06-02;1401,54;12,63
2013-06-03;1414,69;12,75
2013-06-04;1426,81;12,86
2013-06-05;1439,95;12,99
2013-06-06;1457,23;13,15
2013-06-07;1476,81;13,33
2013-06-08;1497,61;13,52
2013-06-09;1516,02;13,69
2013-06-10;1530,48;13,82
2013-06-11;1545,66;13,96
2013-06-12;1561,88;14,11
2013-06-13;1579,85;14,28
2013-06-14;1593,9;14,41
2013-06-15;1607,9;14,54
2013-06-16;1622,16;14,67
2013-06-17;1639,03;14,83
2013-06-18;1658,85;15,01
2013-06-19;1680,71;15,21
2013-06-20;1700,21;15,4
2013-06-21;1717,66;15,56
2013-06-22;1732,95;15,7
2013-06-23;1748,45;15,84
2013-06-24;1762,51;15,97
2013-06-25;1775,42;16,09
2013-06-26;1788,59;16,21
2013-06-27;1802,73;16,34
2013-06-28;1817,8;16,48
2013-06-29;1832,31;16,62
2013-06-30;1848,09;16,76
2013-07-01;1864,9;16,92
2013-07-02;1883,72;17,09
2013-07-03;1903,23;17,28
2013-07-04;1919,5;17,43
2013-07-05;1936,27;17,58
2013-07-06;1955,05;17,76
2013-07-07;1975,81;17,95
2013-07-08;1998,56;18,16
2013-07-09;2020,7;18,36
2013-07-10;2043,33;18,57
2013-07-11;2064,57;18,77
2013-07-12;2081,22;18,92
2013-07-13;2099,47;19,09
2013-07-14;2117,29;19,26
2013-07-15;2138,15;19,45
2013-07-16;2160,93;19,66
2013-07-17;2183,71;19,87
2013-07-18;2206,67;20,09
2013-07-19;2230,54;20,31
2013-07-20;2255,38;20,54
2013-07-21;2279,93;20,76
2013-07-22;2305,8;21
2013-07-23;2331,59;21,24
2013-07-24;2355,85;21,47
2013-07-25;2378,42;21,68
2013-07-26;2402,13;21,9
2013-07-27;2425,97;22,12
2013-07-28;2450,11;22,34
2013-07-29;2470,34;22,53
2013-07-30;2490,09;22,71
2013-07-31;2510,35;22,9
2013-08-01;2532,37;23,1
