operator	date	file	prelevement	blockA	blockB	rep	plant	id_Axe	id	rank	nmax	lmax	wmax	A_bl	A_bl_green	stat	w0.00	w0.05	w0.10	w0.15	w0.20	w0.25	w0.30	w0.35	w0.40	w0.45	w0.50	w0.55	w0.60	w0.65	w0.70	w0.75	w0.80	w0.85	w0.90	w0.95	w1.00
ABICHOU	09-Aug-2012 13:28:14	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_002.tif	02/04/2012	1	NaN	NaN	8	MB	P8-MB-F9	9	NaN	14,8979	1,3021	15,1443	15,138	1	0	0,10834	0,32021	0,47552	0,67076	0,80494	0,90292	0,97183	1,0068	1,1421	1,2057	1,2341	1,2913	1,3086	1,2799	1,2683	1,2639	1,239	1,1849	1,1379	0,73621
ABICHOU	09-Aug-2012 13:28:14	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_002.tif	02/04/2012	1	NaN	NaN	8	MB	P8-MB-F10	10	NaN	19,7896	1,3601	20,7085	20,6722	1	0	0,1833	0,32891	0,539	0,65801	0,82249	0,96022	1,0434	1,0937	1,1625	1,2645	1,3197	1,3438	1,3641	1,3306	1,2793	1,3186	1,3087	1,247	1,1746	0,89521
ABICHOU	09-Aug-2012 13:43:43	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_003.tif	02/04/2012	1	NaN	NaN	24	MB	P24-MB-F8	8	NaN	16,4386	1,2887	16,4501	14,8125	2	0	0,23911	0,39767	0,47681	0,5298	0,78426	0,91636	1,0732	1,1835	1,2264	1,2269	1,2663	1,2892	1,284	1,2528	1,2508	1,2268	1,1927	1,1142	1,0068	0,80199
ABICHOU	09-Aug-2012 13:43:43	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_003.tif	02/04/2012	1	NaN	NaN	24	MB	P24-MB-F9	9	NaN	19,2068	1,4597	22,5675	22,4927	1	0	0,14943	0,4722	0,69467	0,83671	0,91784	1,1037	1,2258	1,3276	1,4058	1,4399	1,4603	1,453	1,4435	1,4078	1,4064	1,3881	1,3543	1,3025	1,1891	0,97673
ABICHOU	09-Aug-2012 13:43:43	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_003.tif	02/04/2012	1	NaN	NaN	25	MB	P25-MB-F9	9	NaN	11,0382	1,457	14,6466	14,4356	3	0	1,1308	1,1851	1,2654	1,3403	1,4017	1,4376	1,4575	1,4586	1,4476	1,4572	1,4517	1,4399	1,4279	1,4068	1,3709	1,3299	1,2334	1,1794	1,088	0,88146
ABICHOU	09-Aug-2012 13:43:43	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_003.tif	02/04/2012	1	NaN	NaN	25	MB	P25-MB-F10	10	NaN	21,5912	1,4897	25,3617	25,3199	1	0	0,22337	0,49831	0,69042	0,78477	0,9024	1,0289	1,1968	1,2763	1,3628	1,4296	1,4687	1,4825	1,4869	1,4696	1,4915	1,4746	1,4183	1,35	1,2407	0,67261
ABICHOU	09-Aug-2012 13:43:43	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_003.tif	02/04/2012	1	NaN	NaN	26	MB	P26-MB-F9	9	NaN	18,2278	1,3519	19,6894	19,3306	1	0	0,11292	0,40785	0,56395	0,70921	0,82717	0,9251	1,0781	1,1832	1,2858	1,3296	1,3246	1,3574	1,3447	1,3206	1,3145	1,3073	1,2381	1,1632	1,0842	0,84311
ABICHOU	09-Aug-2012 13:43:43	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_003.tif	02/04/2012	1	NaN	NaN	26	MB	P26-MB-F10	10	NaN	21,7224	1,5055	25,6506	25,633	1	0	0,18496	0,48201	0,6727	0,79045	0,88418	0,99729	1,1868	1,2967	1,3678	1,4503	1,4805	1,4861	1,5074	1,4995	1,4785	1,4208	1,3819	1,3443	1,2632	0,96805
ABICHOU	09-Aug-2012 13:43:43	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_003.tif	02/04/2012	1	NaN	NaN	27	MB	P27-MB-F8	8	NaN	16,11	1,1567	13,8702	13,7384	1	0	0,14453	0,21747	0,32938	0,46038	0,58378	0,69565	0,88167	0,99496	1,0563	1,1151	1,1115	1,1423	1,1657	1,1505	1,1151	1,0878	1,0597	1,0154	0,90549	0,70784
ABICHOU	09-Aug-2012 13:43:43	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_003.tif	02/04/2012	1	NaN	NaN	27	MB	P27-MB-F9	9	NaN	18,8192	1,1061	16,5325	16,5152	1	0	0,19866	0,4037	0,50233	0,63765	0,786	0,89753	0,97627	1,0293	1,0412	1,1001	1,114	1,0928	1,031	1,0559	1,0899	1,0763	1,0241	0,94732	0,88717	0,63491
ABICHOU	09-Aug-2012 13:43:43	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_003.tif	02/04/2012	1	NaN	NaN	10	MB	P10-MB-F8	8	NaN	9,9151	1,1766	9,663	9,5018	3	0	0,16677	0,17741	0,38859	0,97618	1,1716	1,1612	1,1506	1,1771	1,1797	1,1707	1,1473	1,1283	1,109	1,114	1,0881	1,0592	1,03	0,9709	0,86135	0,70991
ABICHOU	09-Aug-2012 13:43:43	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_003.tif	02/04/2012	1	NaN	NaN	10	MB	P10-MB-F9	9	NaN	19,4685	1,3655	20,9882	20,9736	1	0	0,36256	0,58024	0,72026	0,84469	0,96482	1,0795	1,1949	1,2587	1,3318	1,3222	1,3683	1,362	1,3106	1,3015	1,2823	1,2759	1,2578	1,189	1,0562	0,83378
ABICHOU	09-Aug-2012 13:43:43	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_003.tif	02/04/2012	1	NaN	NaN	10	MB	P10-MB-F10	10	NaN	23,7202	1,3242	25,6669	25,6602	1	0	0,19479	0,54663	0,70991	0,81551	0,90664	1,0468	1,1541	1,2414	1,292	1,3053	1,2861	1,2566	1,2544	1,2607	1,2225	1,264	1,3169	1,3195	1,1833	0,66568
ABICHOU	09-Aug-2012 13:43:43	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_003.tif	02/04/2012	1	NaN	NaN	11	MB	P11-MB-F9	9	NaN	17,8571	1,188	17,9235	17,9215	1	0	0,17916	0,48162	0,70007	0,78286	0,91789	1,0152	1,0789	1,1269	1,1461	1,1892	1,1872	1,178	1,1349	1,1274	1,1308	1,1403	1,1432	1,1241	1,0431	0,8532
ABICHOU	09-Aug-2012 13:43:43	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_003.tif	02/04/2012	1	NaN	NaN	11	MB	P11-MB-F10	10	NaN	22,0845	1,3562	23,7676	23,764	1	0	0,077279	0,42949	0,6537	0,76152	0,84446	1,0265	1,1447	1,2431	1,2802	1,2502	1,2804	1,3411	1,3617	1,3004	1,194	1,1384	1,1901	1,2493	1,1789	0,98656
ABICHOU	09-Aug-2012 13:43:43	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_003.tif	02/04/2012	1	NaN	NaN	12	MB	P12-MB-F8	8	NaN	9,8888	1,0755	8,8403	6,5541	3	0	0,35943	0,49162	0,53281	0,68794	0,87488	0,9574	0,97661	1,0174	1,0429	1,0639	1,0832	1,0714	1,0616	1,0356	1,0055	0,96569	0,95662	0,95725	0,87411	0,55958
ABICHOU	09-Aug-2012 13:43:43	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_003.tif	02/04/2012	1	NaN	NaN	12	MB	P12-MB-F9	9	NaN	15,8425	1,292	17,3005	16,9712	3	0	0,49387	0,63843	0,73046	0,83645	0,89255	1,0429	1,1338	1,1902	1,2185	1,2567	1,2885	1,2651	1,3	1,2783	1,2628	1,2703	1,2501	1,2236	1,1062	0,95867
ABICHOU	09-Aug-2012 13:43:43	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_003.tif	02/04/2012	1	NaN	NaN	12	MB	P12-MB-F10	10	NaN	20,9701	1,4511	23,8198	23,7772	1	0	0,19298	0,4361	0,64703	0,77551	0,84256	0,91865	1,0839	1,1965	1,2789	1,3323	1,4145	1,4502	1,4432	1,4593	1,4396	1,4315	1,3949	1,3367	1,2557	0,82697
ABICHOU	09-Aug-2012 13:43:43	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_003.tif	02/04/2012	1	NaN	NaN	20	MB	P20-MB-F9	9	NaN	17,1993	1,3509	18,1182	18,0344	1	0	0,17894	0,42732	0,6658	0,7584	0,84557	0,91188	1,129	1,2405	1,2821	1,3319	1,3536	1,3497	1,3208	1,2843	1,2303	1,202	1,1858	1,134	1,053	0,78843
ABICHOU	09-Aug-2012 13:43:43	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_003.tif	02/04/2012	1	NaN	NaN	20	MB	P20-MB-F10	10	NaN	21,173	1,4301	24,2926	24,2847	1	0	0,14451	0,48524	0,72342	0,8839	1,1085	1,2093	1,2472	1,2962	1,3491	1,3737	1,4508	1,4011	1,3824	1,3998	1,3725	1,3354	1,3058	1,2625	1,1411	0,91015
ABICHOU	09-Aug-2012 13:59:38	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_004.tif	02/04/2012	1	NaN	NaN	9	MB	Px-MB-F8	8	NaN	12,9306	1,0666	10,8099	10,656	1	0	0,12722	0,30723	0,45566	0,56836	0,68341	0,76013	0,82623	0,87449	0,96256	0,96507	1,0519	1,0737	1,026	0,99511	0,97327	0,99312	1,0181	0,98801	0,88893	0,61353
ABICHOU	09-Aug-2012 13:59:38	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_004.tif	02/04/2012	1	NaN	NaN	9	MB	Px-MB-F9	9	NaN	13,764	1,2725	14,3656	14,3562	1	0	0,15331	0,40425	0,6244	0,76206	0,86842	1,0147	1,0882	1,1434	1,1867	1,2169	1,2375	1,2822	1,2634	1,2462	1,2531	1,2546	1,2143	1,1709	1,0548	0,69095
ABICHOU	09-Aug-2012 13:59:38	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_004.tif	02/04/2012	1	NaN	NaN	9	MB	Px-MB-F10	10	NaN	18,9679	1,3507	19,9803	19,9773	1	0	0,26003	0,48226	0,60374	0,72467	0,87966	1,0156	1,1017	1,1545	1,1994	1,2582	1,3024	1,2925	1,3357	1,3635	1,2923	1,296	1,2798	1,2287	1,1125	0,61138
ABICHOU	09-Aug-2012 13:59:38	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_004.tif	02/04/2012	1	NaN	NaN	13	MB	Px1-MB-F8	8	NaN	15,7783	0,7911	9,7869	8,5555	2	0	0,081306	0,10792	0,2982	0,4121	0,48959	0,54421	0,64229	0,68127	0,7405	0,76474	0,78899	0,79644	0,77398	0,7787	0,73298	0,76969	0,76238	0,73668	0,69305	0,56065
ABICHOU	09-Aug-2012 13:59:38	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_004.tif	02/04/2012	1	NaN	NaN	13	MB	Px1-MB-F9	9	NaN	18,3678	1,1712	16,4491	16,0552	1	0	0,10724	0,25762	0,37692	0,50063	0,59775	0,71969	0,87559	1,0141	1,0797	1,1403	1,1741	1,1692	1,166	1,1507	1,1541	1,1325	1,1078	1,0511	0,9889	0,81343
ABICHOU	09-Aug-2012 13:59:38	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_004.tif	02/04/2012	1	NaN	NaN	13	MB	Px1-MB-F10	10	NaN	21,5479	1,4339	23,393	23,387	1	0	0,33068	0,50597	0,64829	0,7521	0,84467	0,99979	1,0989	1,1778	1,2428	1,317	1,3436	1,3826	1,4137	1,451	1,4154	1,3561	1,3353	1,2831	1,1815	0,93942
ABICHOU	09-Aug-2012 13:59:38	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_004.tif	02/04/2012	1	NaN	NaN	14	MB	Px2-MB-F8	8	NaN	11,9121	0,85222	7,6829	4,4697	3	0	0,17856	0,37227	0,48413	0,44297	0,48358	0,44353	0,67872	0,79235	0,81952	0,79543	0,84276	0,85957	0,82848	0,78364	0,74956	0,72009	0,7018	0,66814	0,66199	0,3023
ABICHOU	09-Aug-2012 13:59:38	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_004.tif	02/04/2012	1	NaN	NaN	14	MB	Px2-MB-F9	9	NaN	13,1278	1,1912	12,3024	12,254	1	0	0,17163	0,36437	0,50444	0,64327	0,74026	0,82804	0,95971	1,0215	1,0638	1,1417	1,1877	1,1943	1,176	1,1683	1,1587	1,1626	1,1127	1,0603	0,97878	0,75695
ABICHOU	09-Aug-2012 13:59:38	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_004.tif	02/04/2012	1	NaN	NaN	14	MB	Px2-MB-F10	10	NaN	19,1202	1,2773	20,5038	20,4764	1	0	0,12022	0,45152	0,64987	0,75353	0,90345	1,0593	1,1305	1,2039	1,2138	1,238	1,2559	1,274	1,277	1,2719	1,2649	1,2686	1,253	1,2154	1,1343	0,79731
ABICHOU	09-Aug-2012 13:59:38	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_004.tif	02/04/2012	1	NaN	NaN	15	MB	Px3-MB-F9	9	NaN	13,824	0,92374	10,0958	9,7651	1	0	0,15151	0,34082	0,43487	0,51913	0,65955	0,74684	0,80434	0,82597	0,87619	0,91202	0,92491	0,9076	0,88214	0,86701	0,83027	0,81231	0,77663	0,74103	0,68156	0,39451
ABICHOU	09-Aug-2012 13:59:38	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_004.tif	02/04/2012	1	NaN	NaN	15	MB	Px3-MB-F10	10	NaN	18,702	0,98339	15,1341	15,1312	1	0	0,28841	0,45057	0,54009	0,62838	0,78372	0,86116	0,90027	0,92718	0,95225	0,9668	0,95688	0,96861	0,98648	0,97583	0,93588	0,92001	0,88513	0,84097	0,824	0,55608
ABICHOU	09-Aug-2012 13:59:38	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_004.tif	02/04/2012	1	NaN	NaN	16	MB	P16-MB-F8	8	NaN	15,8284	0,87513	10,8448	10,4507	1	0	0,12116	0,23906	0,37034	0,449	0,48791	0,6167	0,71925	0,8067	0,82993	0,84038	0,86442	0,8764	0,86364	0,84963	0,82862	0,80041	0,75755	0,7811	0,74448	0,64545
ABICHOU	09-Aug-2012 13:59:38	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_004.tif	02/04/2012	1	NaN	NaN	16	MB	P16-MB-F9	9	NaN	18,8132	1,2163	18,1782	18,1107	1	0	0,12058	0,33864	0,47497	0,59566	0,77661	0,96848	1,0561	1,1147	1,1535	1,1815	1,1876	1,1931	1,2216	1,1981	1,2052	1,1447	1,1037	1,0548	0,98879	0,63079
ABICHOU	09-Aug-2012 13:59:38	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_004.tif	02/04/2012	1	NaN	NaN	16	MB	P16-MB-F10	10	NaN	24,1098	1,388	25,8564	25,8342	1	0	0,14609	0,42497	0,59328	0,73163	0,78904	0,87142	1,0315	1,1431	1,2412	1,2942	1,3074	1,3327	1,3524	1,3807	1,391	1,3243	1,2789	1,2678	1,1796	0,94313
ABICHOU	09-Aug-2012 13:59:38	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D2_02.04.2012\scanne_02.04.2012\tremie_02042012_004.tif	02/04/2012	1	NaN	NaN	17	MB	P17-MB-F9	9	NaN	18,5	1,0844	15,8474	15,8291	1	0	0,19933	0,38164	0,4901	0,59225	0,68011	0,74887	0,8644	0,93934	1,0131	1,0573	1,0799	1,0942	1,0803	1,0686	1,0622	1,0242	1,0069	0,97312	0,92123	0,75741
