operateur	MethodeAnalyse	Date_analyse	fichier	Variete	prelev	prelevement	rep	plant	id_Axe	rank	nmax	lmax	wmax	A_bl	A_bl_green	stat	w0.00	w0.05	w0.10	w0.15	w0.20	w0.25	w0.30	w0.35	w0.40	w0.45	w0.50	w0.55	w0.60	w0.65	w0.70	w0.75	w0.80	w0.85	w0.90	w0.95	w1.00
ABICHOU	Lamina2Shape	27-Aug-2012 10:13:06	09052012_R1_P1.tif	TREMIE	date 4	09/05/2012	1	1	Talle	NA	NA	13.8	1.7	16.3	16.3	2	0	0.05574	0.18909	0.42279	0.647	0.77032	0.86518	0.9678	1.0629	1.227	1.4729	1.6272	1.6751	1.6412	1.5737	1.517	1.4942	1.4732	1.4328	1.2981	1.0371
ABICHOU	Lamina2Shape	27-Aug-2012 10:25:59	09052012_R1_P2.tif	TREMIE	date 4	09/05/2012	1	2	Talle	NA	NA	18.7	0.6	6.2	0.8	2	0	0.047204	0.22947	0.24906	0.31688	0.48377	0.54154	0.5442	0.38757	0.29091	0.16958	0.19121	0.15116	0.19781	0.20015	0.26451	0.41145	0.48257	0.53919	0.51235	0.327
ABICHOU	Lamina2Shape	27-Aug-2012 10:26:00	09052012_R1_P2.tif	TREMIE	date 4	09/05/2012	1	2	Talle	NA	NA	23.6	1.1	16.7	15.4	2	0	0.069196	0.12564	0.18792	0.36701	0.48451	0.60321	0.68452	0.71711	0.77006	0.85147	0.88134	0.85154	0.86944	0.93989	0.95307	1.02	1.0994	1.0182	0.92033	0.54917
ABICHOU	Lamina2Shape	27-Aug-2012 10:26:00	09052012_R1_P2.tif	TREMIE	date 4	09/05/2012	1	2	Talle	NA	NA	22.1	1.4	24.4	24.2	2	0	0.12701	0.37713	0.56411	0.68874	0.84165	1.0515	1.1843	1.2794	1.3415	1.3847	1.3973	1.386	1.3423	1.3163	1.3586	1.3702	1.3593	1.3402	1.2269	0.99299
ABICHOU	Lamina2Shape	27-Aug-2012 10:26:00	09052012_R1_P2.tif	TREMIE	date 4	09/05/2012	1	2	Talle	NA	NA	18.1	1.6	23.1	23	2	0	0.16737	0.45737	0.67758	0.81067	1.1272	1.2499	1.3463	1.4226	1.4997	1.5729	1.5826	1.5992	1.5992	1.6014	1.651	1.5956	1.5566	1.4834	1.3055	0.74895
ABICHOU	Lamina2Shape	27-Aug-2012 10:26:00	09052012_R1_P2.tif	TREMIE	date 4	09/05/2012	1	2	Talle	NA	NA	12.4	1.6	15	15	2	0	0.15536	0.19178	0.42284	0.65865	0.87896	1.1008	1.2679	1.4113	1.4785	1.4967	1.5011	1.5206	1.5439	1.5701	1.5889	1.5814	1.5582	1.4744	1.2925	0.80419
ABICHOU	Lamina2Shape	27-Aug-2012 10:26:00	09052012_R1_P2.tif	TREMIE	date 4	09/05/2012	1	2	MB	8	13	12.6	0.8	6.3	0	3	0	0.18234	0.38006	0.4835	0.40668	0.35084	0.31854	0.63187	0.62675	0.49607	0.51223	0.62045	0.59752	0.70103	0.68713	0.59279	0.58175	0.4791	0.37545	0.30561	0.36336
ABICHOU	Lamina2Shape	27-Aug-2012 10:26:00	09052012_R1_P2.tif	TREMIE	date 4	09/05/2012	1	2	MB	9	13	1.4	0.4	0.3	0	3	0	0.097283	0.20819	0.32469	0.41492	0.39718	0.30298	0.2202	0.19981	0.20731	0.21132	0.21928	0.22753	0.23784	0.26142	0.3105	0.35371	0.34567	0.27223	0.19336	0.19648
ABICHOU	Lamina2Shape	27-Aug-2012 10:26:00	09052012_R1_P2.tif	TREMIE	date 4	09/05/2012	1	2	MB	10	13	23.7	4.2	32	23.7	3	0	0.037819	0.10441	2.1743	3.4805	3.3174	4.0817	4.3208	4.0562	3.559	3.5185	3.8586	3.7452	3.6406	3.2694	1.5664	1.2641	1.1024	1.0737	1.0912	0.90651
ABICHOU	Lamina2Shape	27-Aug-2012 10:26:00	09052012_R1_P2.tif	TREMIE	date 4	09/05/2012	1	2	MB	11	13	22.5	1.6	26.4	25.8	2	0	0.14636	0.37512	0.59471	0.72146	0.8988	1.0545	1.1977	1.3112	1.4313	1.546	1.616	1.5905	1.5362	1.5585	1.4821	1.3922	1.3086	1.2149	1.159	0.88809
ABICHOU	Lamina2Shape	27-Aug-2012 10:26:00	09052012_R1_P2.tif	TREMIE	date 4	09/05/2012	1	2	MB	12	13	19.5	1.8	26.3	26.2	1	0	0.052018	0.28699	0.59911	0.7514	0.89352	1.188	1.3394	1.4272	1.531	1.6022	1.6418	1.7192	1.83	1.8313	1.7612	1.6963	1.5892	1.5397	1.4039	1.1102
ABICHOU	Lamina2Shape	27-Aug-2012 10:26:00	09052012_R1_P2.tif	TREMIE	date 4	09/05/2012	1	2	MB	13	13	11.9	1.7	15.5	15.4	1	0	0.017734	0.22929	0.29639	0.47996	0.70851	0.94436	1.1801	1.3948	1.5377	1.5904	1.6134	1.598	1.6533	1.7234	1.7527	1.7101	1.6261	1.5019	1.2788	0.9817
ABICHOU	Lamina2Shape	27-Aug-2012 10:33:01	09052012_R1_P3.tif	TREMIE	date 4	09/05/2012	1	3	MB	13	13	15.4	1.5	15.9	15.9	1	0	0.11195	0.15487	0.28103	0.48811	0.65017	0.77784	0.86985	0.97912	1.0615	1.1629	1.244	1.3295	1.4101	1.4897	1.5164	1.4642	1.438	1.3972	1.2469	1.0422
ABICHOU	Lamina2Shape	27-Aug-2012 10:33:01	09052012_R1_P3.tif	TREMIE	date 4	09/05/2012	1	3	MB	12	13	23.3	1.3	22.9	22.7	2	0	0.20014	0.36558	0.45099	0.52819	0.75982	0.91679	1.0431	1.0913	1.1555	1.1789	1.1952	1.2202	1.2451	1.2816	1.2677	1.2149	1.2352	1.2837	1.1773	0.68725
ABICHOU	Lamina2Shape	27-Aug-2012 10:33:01	09052012_R1_P3.tif	TREMIE	date 4	09/05/2012	1	3	MB	11	13	22.2	1.4	19.3	14.8	2	0	0.065977	0.11031	0.2579	0.38557	0.40369	0.43041	0.66178	0.82679	1.0145	1.1045	1.1006	1.3082	1.3502	1.3871	1.3578	1.1887	1.1412	1.138	1.0178	0.56088
ABICHOU	Lamina2Shape	27-Aug-2012 10:33:01	09052012_R1_P3.tif	TREMIE	date 4	09/05/2012	1	3	MB	10	13	22.9	1.1	17.5	15.7	2	0	0.1598	0.29773	0.22011	0.33279	0.52265	0.78078	0.87763	1.0045	1.0265	1.0739	1.0406	0.98355	0.97145	0.93289	0.96915	0.94265	0.96207	0.82937	0.7011	0.52569
ABICHOU	Lamina2Shape	27-Aug-2012 10:33:01	09052012_R1_P3.tif	TREMIE	date 4	09/05/2012	1	3	MB	9	13	18.1	0.7	9.6	8.1	2	0	0.1528	0.15719	0.20959	0.26895	0.3048	0.47971	0.6059	0.67415	0.71785	0.70435	0.65578	0.68636	0.65514	0.65958	0.63696	0.64941	0.64547	0.62103	0.6637	0.23919
ABICHOU	Lamina2Shape	27-Aug-2012 10:33:01	09052012_R1_P3.tif	TREMIE	date 4	09/05/2012	1	3	Talle	NA	NA	13.4	1.4	14.1	14	2	0	0.11467	0.26493	0.43226	0.57477	0.71706	0.86511	1.0307	1.1926	1.2448	1.3375	1.397	1.3795	1.3682	1.3777	1.3944	1.3849	1.3888	1.2663	0.94963	0.41788
ABICHOU	Lamina2Shape	27-Aug-2012 10:33:01	09052012_R1_P3.tif	TREMIE	date 4	09/05/2012	1	3	Talle	NA	NA	20.6	1.4	22.8	22.6	2	0	0.14916	0.44685	0.58339	0.67088	0.96181	1.13	1.2351	1.2849	1.2865	1.2803	1.3387	1.4397	1.4312	1.3493	1.2987	1.2622	1.291	1.3513	1.2381	0.72407
ABICHOU	Lamina2Shape	27-Aug-2012 10:33:01	09052012_R1_P3.tif	TREMIE	date 4	09/05/2012	1	3	Talle	NA	NA	22.4	1.5	24.5	23.7	2	0	0.19088	0.3529	0.41319	0.53646	0.69371	0.83865	1.0264	1.2339	1.4019	1.4658	1.5119	1.5413	1.5287	1.4646	1.4467	1.4158	1.3512	1.3353	1.1021	0.73419
ABICHOU	Lamina2Shape	27-Aug-2012 10:33:01	09052012_R1_P3.tif	TREMIE	date 4	09/05/2012	1	3	Talle	NA	NA	23.2	1	15.2	12.6	2	0	0.092695	0.20848	0.27342	0.33419	0.39206	0.34971	0.4602	0.57177	0.73263	0.79565	0.83844	0.85947	0.88646	0.90669	0.92665	0.99459	0.97093	0.9528	0.87117	0.80574
ABICHOU	Lamina2Shape	27-Aug-2012 10:33:01	09052012_R1_P3.tif	TREMIE	date 4	09/05/2012	1	3	Talle	NA	NA	1	0.2	0.1	0	2	0	0.067906	0.074408	0.066342	0.073163	0.080753	0.087549	0.099642	0.11584	0.12899	0.13811	0.14998	0.16272	0.16762	0.16027	0.15557	0.1546	0.15342	0.15349	0.13832	0.084231
ABICHOU	Lamina2Shape	27-Aug-2012 10:33:01	09052012_R1_P3.tif	TREMIE	date 4	09/05/2012	1	3	Talle	NA	NA	17.3	0.6	7.7	0.4	2	0	0.19261	0.33127	0.21575	0.22353	0.42829	0.55542	0.56934	0.61329	0.63478	0.60385	0.53365	0.52694	0.52848	0.51327	0.47067	0.42494	0.43851	0.38803	0.36171	0.37544
ABICHOU	Lamina2Shape	27-Aug-2012 10:47:11	09052012_R1_P4.tif	TREMIE	date 4	09/05/2012	1	4	MB	13	13	12	1.5	12.6	12.6	1	0	0.31106	0.26603	0.50912	0.71071	0.89772	1.0114	1.081	1.1251	1.1633	1.1991	1.2394	1.2883	1.3519	1.4277	1.4974	1.5654	1.556	1.3818	1.0872	0.77583
ABICHOU	Lamina2Shape	27-Aug-2012 10:47:11	09052012_R1_P4.tif	TREMIE	date 4	09/05/2012	1	4	MB	12	13	20.6	1.5	25.6	25.1	1	0	0.10007	0.32407	0.55938	0.7679	1.0341	1.2501	1.3941	1.4841	1.4907	1.5066	1.4968	1.468	1.4385	1.4165	1.5054	1.488	1.487	1.4957	1.3393	0.6283
ABICHOU	Lamina2Shape	27-Aug-2012 10:47:11	09052012_R1_P4.tif	TREMIE	date 4	09/05/2012	1	4	MB	11	13	23.8	1.5	26.5	25.8	1	0	0.16052	0.38941	0.62737	0.84612	0.97883	1.1219	1.1894	1.2093	1.2098	1.2152	1.2553	1.2455	1.3176	1.3476	1.3963	1.4526	1.4515	1.4205	1.3437	0.74175
ABICHOU	Lamina2Shape	27-Aug-2012 10:47:11	09052012_R1_P4.tif	TREMIE	date 4	09/05/2012	1	4	MB	10	13	21.5	1.2	18	16	2	0	0.14069	0.31095	0.43514	0.47965	0.57099	0.72565	0.85497	0.90388	0.93124	0.98703	1.0199	1.0487	1.0511	1.0279	1.0767	1.1744	1.1589	1.0252	0.89785	0.84961
ABICHOU	Lamina2Shape	27-Aug-2012 10:47:11	09052012_R1_P4.tif	TREMIE	date 4	09/05/2012	1	4	MB	9	13	28.5	1.2	10.1	0.7	2	0	0.75261	0.19211	0.3006	0.38424	0.36426	0.40508	0.6127	0.63883	0.64567	0.67831	0.73541	0.65921	0.65387	0.77569	0.7811	0.67001	0.5876	0.51931	0.5629	0.31779
ABICHOU	Lamina2Shape	27-Aug-2012 10:47:11	09052012_R1_P4.tif	TREMIE	date 4	09/05/2012	1	4	Talle	NA	NA	12.9	1.5	14.5	14.5	2	0	0.10069	0.158	0.36886	0.58538	0.7562	0.90567	1.0372	1.133	1.2159	1.2892	1.3605	1.4218	1.4502	1.5052	1.5405	1.5408	1.5334	1.4748	1.3303	1.1543
ABICHOU	Lamina2Shape	27-Aug-2012 10:47:11	09052012_R1_P4.tif	TREMIE	date 4	09/05/2012	1	4	Talle	NA	NA	21.2	1.6	25.9	25.7	2	0	0.062475	0.35552	0.58806	0.6862	0.8967	1.0902	1.2437	1.3232	1.3644	1.4118	1.4666	1.5623	1.5611	1.5349	1.5463	1.4862	1.5057	1.456	1.2841	0.9601
ABICHOU	Lamina2Shape	27-Aug-2012 10:47:11	09052012_R1_P4.tif	TREMIE	date 4	09/05/2012	1	4	Talle	NA	NA	25.2	1.4	26	25.3	2	0	0.11784	0.19358	0.33262	0.60348	0.82879	0.99281	1.0989	1.1804	1.2476	1.3326	1.3659	1.3758	1.4117	1.3373	1.3469	1.3118	1.3194	1.2765	1.1644	0.421
ABICHOU	Lamina2Shape	27-Aug-2012 10:47:11	09052012_R1_P4.tif	TREMIE	date 4	09/05/2012	1	4	Talle	NA	NA	22.4	0.9	14.9	12	2	0	0.18732	0.27628	0.39349	0.41587	0.56927	0.72814	0.83305	0.84158	0.80228	0.80725	0.78088	0.77881	0.75594	0.73255	0.78504	0.77759	0.84256	0.68121	0.78914	0.33639
ABICHOU	Lamina2Shape	27-Aug-2012 10:49:07	09052012_R1_P4_suite.tif	TREMIE	date 4	09/05/2012	1	4	Talle	NA	NA	13.8	1.9	19.1	19	2	0	0.10895	0.19663	0.39214	0.64271	0.85954	1.0479	1.2055	1.3731	1.5435	1.6613	1.7642	1.8627	1.9201	1.954	1.9275	1.8655	1.7694	1.6013	1.4587	1.2771
ABICHOU	Lamina2Shape	27-Aug-2012 10:49:07	09052012_R1_P4_suite.tif	TREMIE	date 4	09/05/2012	1	4	Talle	NA	NA	22.9	1.5	27.7	27.5	2	0	0.061501	0.34213	0.58315	0.7378	0.8626	1.1116	1.2385	1.3402	1.4217	1.4909	1.5004	1.4612	1.5616	1.5071	1.4682	1.4513	1.4802	1.3589	1.272	0.88902
ABICHOU	Lamina2Shape	27-Aug-2012 10:49:07	09052012_R1_P4_suite.tif	TREMIE	date 4	09/05/2012	1	4	Talle	NA	NA	25.2	1.4	24.5	23.5	2	0	0.041636	0.13321	0.34058	0.48541	0.51111	0.61168	0.82006	0.89859	0.99714	1.1438	1.2611	1.3307	1.3934	1.4022	1.4095	1.385	1.4095	1.3304	1.194	0.6793
ABICHOU	Lamina2Shape	27-Aug-2012 10:49:07	09052012_R1_P4_suite.tif	TREMIE	date 4	09/05/2012	1	4	Talle	NA	NA	24.1	0.9	15.7	11.4	2	0	0.11389	0.15259	0.23829	0.47461	0.48769	0.55575	0.79806	0.85879	0.9034	0.8599	0.84239	0.82824	0.7943	0.74098	0.81348	0.79504	0.79589	0.70509	0.62272	0.45183
ABICHOU	Lamina2Shape	27-Aug-2012 10:49:07	09052012_R1_P4_suite.tif	TREMIE	date 4	09/05/2012	1	4	Talle	NA	NA	19.8	0.6	7.5	0.2	2	0	0.32837	0.30035	0.38158	0.32752	0.27993	0.24014	0.23602	0.28637	0.45067	0.52783	0.46922	0.45851	0.55181	0.5213	0.45903	0.41572	0.34937	0.31252	0.42656	0.22833
ABICHOU	Lamina2Shape	27-Aug-2012 10:50:11	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D4_09.05.2012\scannes_09.05.2012\09052012_R1_P5.tif	TREMIE	date 4	09/05/2012	1	5	MB	9	13	17.5	0.7	8.1	1.2	3	0	0.11622	0.10649	0.24347	0.48733	0.50079	0.48028	0.46512	0.34313	0.32491	0.3524	0.38738	0.47725	0.56068	0.63142	0.6885	0.68037	0.59382	0.59246	0.67108	0.51005
ABICHOU	Lamina2Shape	27-Aug-2012 10:50:11	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D4_09.05.2012\scannes_09.05.2012\09052012_R1_P5.tif	TREMIE	date 4	09/05/2012	1	5	MB	10	13	21.1	1	13.7	11.5	2	0	0.077327	0.16328	0.35066	0.32995	0.33784	0.42547	0.59297	0.69335	0.7173	0.74369	0.79666	0.83314	0.86886	0.91555	0.99009	0.90977	0.9003	0.82904	0.79927	0.46695
ABICHOU	Lamina2Shape	27-Aug-2012 10:50:11	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D4_09.05.2012\scannes_09.05.2012\09052012_R1_P5.tif	TREMIE	date 4	09/05/2012	1	5	MB	11	13	23.7	1.3	19.7	19	2	0	0.070871	0.15681	0.14729	0.2389	0.43472	0.6133	0.71274	0.84813	0.94653	1.0391	1.0909	1.2262	1.2212	1.2359	1.2811	1.2616	1.2556	1.0436	0.81112	0.67092
ABICHOU	Lamina2Shape	27-Aug-2012 10:50:11	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D4_09.05.2012\scannes_09.05.2012\09052012_R1_P5.tif	TREMIE	date 4	09/05/2012	1	5	MB	12	13	25	1.4	27.3	27.1	2	0	0.16207	0.30591	0.56739	0.80526	0.93982	1.0865	1.2471	1.3678	1.4331	1.4527	1.378	1.3114	1.2528	1.2148	1.2528	1.2958	1.3816	1.3632	1.2948	0.92266
ABICHOU	Lamina2Shape	27-Aug-2012 10:50:11	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D4_09.05.2012\scannes_09.05.2012\09052012_R1_P5.tif	TREMIE	date 4	09/05/2012	1	5	MB	13	13	16.5	1.6	18.9	18.9	1	0	0.038287	0.15961	0.2687	0.48897	0.68699	0.86598	1.0322	1.1688	1.2423	1.3069	1.3631	1.4379	1.5335	1.5622	1.5336	1.5178	1.52	1.5325	1.4454	1.003
ABICHOU	Lamina2Shape	27-Aug-2012 10:50:11	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D4_09.05.2012\scannes_09.05.2012\09052012_R1_P5.tif	TREMIE	date 4	09/05/2012	1	5	Talle	NA	NA	17.1	1.3	12.5	12.5	2	0	0.080063	0.081485	0.1904	0.27493	0.3896	0.49004	0.58047	0.63447	0.69472	0.76076	0.84164	0.93092	1.0035	1.0741	1.1461	1.2385	1.3296	1.1814	0.92354	0.25631
ABICHOU	Lamina2Shape	27-Aug-2012 10:50:11	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D4_09.05.2012\scannes_09.05.2012\09052012_R1_P5.tif	TREMIE	date 4	09/05/2012	1	5	Talle	NA	NA	19	0.7	9.4	9.1	2	0	0.11163	0.16004	0.11433	0.16255	0.22985	0.39864	0.5237	0.55271	0.55321	0.56071	0.62374	0.68259	0.72738	0.69081	0.63114	0.61917	0.67681	0.75823	0.66448	0.42368
ABICHOU	Lamina2Shape	27-Aug-2012 10:50:11	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D4_09.05.2012\scannes_09.05.2012\09052012_R1_P5.tif	TREMIE	date 4	09/05/2012	1	5	Talle	NA	NA	21.6	1.1	16.7	16.7	2	0	0.10999	0.2029	0.2133	0.33878	0.44598	0.61782	0.77162	0.88889	0.93346	1.0982	1.0879	1.0342	1.0353	1.0374	1.016	0.99561	1.0461	0.96649	0.90724	0.74258
ABICHOU	Lamina2Shape	27-Aug-2012 10:50:11	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D4_09.05.2012\scannes_09.05.2012\09052012_R1_P5.tif	TREMIE	date 4	09/05/2012	1	5	Talle	NA	NA	21.3	1.3	20.9	20.9	2	0	0.12061	0.291	0.44171	0.62685	0.76997	0.94082	1.0996	1.2753	1.2701	1.148	1.0535	1.0432	1.1028	1.1734	1.2253	1.2534	1.2957	1.3131	1.1867	0.66745
ABICHOU	Lamina2Shape	27-Aug-2012 10:50:99	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D4_09.05.2012\scannes_09.05.2012\09052012_R1_P5_suite.tif	TREMIE	date 4	09/05/2012	1	5	Talle	NA	NA	17.4	0.8	9.7	9.7	2	0	0.095313	0.21282	0.29181	0.38825	0.49944	0.59099	0.66998	0.67196	0.64978	0.61802	0.58563	0.58856	0.58447	0.60631	0.64008	0.65323	0.68684	0.74856	0.78254	0.68607
ABICHOU	Lamina2Shape	27-Aug-2012 10:50:99	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D4_09.05.2012\scannes_09.05.2012\09052012_R1_P5_suite.tif	TREMIE	date 4	09/05/2012	1	5	Talle	NA	NA	16.8	0.9	12.8	12.8	2	0	0.14508	0.38475	0.50415	0.5994	0.6793	0.77017	0.87397	0.89345	0.93302	0.93368	0.88196	0.88115	0.83866	0.86489	0.83411	0.80709	0.90731	0.90206	0.87268	0.76043
ABICHOU	Lamina2Shape	27-Aug-2012 10:50:99	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D4_09.05.2012\scannes_09.05.2012\09052012_R1_P5_suite.tif	TREMIE	date 4	09/05/2012	1	5	Talle	NA	NA	18.3	0.7	8.4	8.1	2	0	0.10083	0.19087	0.18392	0.23908	0.35362	0.39701	0.57195	0.65738	0.66098	0.65277	0.63337	0.65921	0.60284	0.54319	0.40459	0.45628	0.52437	0.51783	0.47322	0.51918
ABICHOU	Lamina2Shape	27-Aug-2012 10:50:99	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D4_09.05.2012\scannes_09.05.2012\09052012_R1_P5_suite.tif	TREMIE	date 4	09/05/2012	1	5	Talle	NA	NA	11.6	0.4	3.7	2.5	2	0	0.05325	0.083659	0.1265	0.17403	0.25719	0.31489	0.32763	0.37494	0.4127	0.43409	0.4298	0.41061	0.41417	0.38927	0.40455	0.38293	0.37016	0.36109	0.3185	0.33799
ABICHOU	Lamina2Shape	27-Aug-2012 10:50:99	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D4_09.05.2012\scannes_09.05.2012\09052012_R1_P5_suite.tif	TREMIE	date 4	09/05/2012	1	5	Talle	NA	NA	17.4	1.1	12.5	12.5	2	0	0.11126	0.17608	0.28466	0.41967	0.59122	0.66851	0.6927	0.71957	0.7486	0.78029	0.82821	0.8522	0.91421	0.97073	1.0148	1.0806	1.1533	1.115	1.0232	0.55038
ABICHOU	Lamina2Shape	27-Aug-2012 10:50:99	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D4_09.05.2012\scannes_09.05.2012\09052012_R1_P5_suite.tif	TREMIE	date 4	09/05/2012	1	5	Talle	NA	NA	22.5	1	16.5	16.2	2	0	0.19496	0.24449	0.46335	0.62669	0.63945	0.72328	0.84857	0.84702	0.8757	0.89172	0.8727	0.85396	0.82382	0.94727	0.97767	0.98778	1.0378	0.93876	0.82428	0.72021
ABICHOU	Lamina2Shape	27-Aug-2012 10:50:99	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D4_09.05.2012\scannes_09.05.2012\09052012_R1_P5_suite.tif	TREMIE	date 4	09/05/2012	1	5	Talle	NA	NA	21.2	1.2	18.9	18.9	2	0	0.15293	0.35913	0.51183	0.66365	0.89841	1.0586	1.1396	1.1274	1.1175	1.1403	1.1647	1.0516	0.8545	0.91763	1.0009	1.0507	1.0915	1.0877	1.0338	0.16367
ABICHOU	Lamina2Shape	27-Aug-2012 10:50:99	D:\MyWork\Data_Echap\Manipe_Boigneville20112012\Mesures\Essai_Tremie\MesuresINRA\D4_09.05.2012\scannes_09.05.2012\09052012_R1_P5_suite.tif	TREMIE	date 4	09/05/2012	1	5	Talle	NA	NA	21.4	0.6	8.1	7.4	2	0	0.066054	0.09694	0.13968	0.24476	0.31144	0.31908	0.30392	0.27835	0.28556	0.34336	0.41841	0.48945	0.52625	0.63852	0.61641	0.63918	0.55752	0.51296	0.49725	0.42334
