"Date","label","Rep","N","Axis","nff","HS","SSI","GL","SSIap","GLap"
"09/05/2012","Tremie12",2,11,"MS",13,13,8.1,4.9,NA,NA
"11/04/2012","Tremie12",2,11,"MS",13,NA,7.2,NA,NA,NA
"12/06/2012","Tremie12",2,11,"MS",13,13,11.38,1.62,NA,NA
"16/05/2012","Tremie12",2,11,"MS",13,13,8.28,4.72,NA,NA
"25/05/2012","Tremie12",2,11,"MS",13,13,9.27,3.73,NA,NA
"26/04/2012","Tremie12",2,11,"MS",13,NA,7.3,NA,NA,NA
"31/05/2012","Tremie12",2,11,"MS",13,13,10.05,2.95,NA,NA
"03/04/2012","Tremie12",2,12,"MS",13,NA,6.95,NA,6.95,NA
"03/05/2012","Tremie12",2,12,"MS",13,13,7.98,5.02,NA,NA
"09/05/2012","Tremie12",2,12,"MS",13,13,8.4,4.6,NA,NA
"11/04/2012","Tremie12",2,12,"MS",13,NA,7.15,NA,NA,NA
"12/06/2012","Tremie12",2,12,"MS",13,13,11.65,1.35,NA,NA
"16/05/2012","Tremie12",2,12,"MS",13,13,8.4,4.6,NA,NA
"25/05/2012","Tremie12",2,12,"MS",13,13,9.35,3.65,NA,NA
"26/04/2012","Tremie12",2,12,"MS",13,NA,7.4,NA,NA,NA
"31/05/2012","Tremie12",2,12,"MS",13,13,10.21,2.79,NA,NA
"03/04/2012","Tremie12",2,13,"MS",13,NA,7.5,NA,7.2,NA
"03/05/2012","Tremie12",2,13,"MS",13,13,NA,NA,NA,NA
"09/05/2012","Tremie12",2,13,"MS",13,13,9.15,3.85,NA,NA
"11/04/2012","Tremie12",2,13,"MS",13,NA,NA,NA,NA,NA
"12/06/2012","Tremie12",2,13,"MS",13,13,11.89,1.11,NA,NA
"16/05/2012","Tremie12",2,13,"MS",13,13,NA,NA,NA,NA
"25/05/2012","Tremie12",2,13,"MS",13,13,10.17,2.83,NA,NA
"26/04/2012","Tremie12",2,13,"MS",13,NA,8.2,NA,NA,NA
"31/05/2012","Tremie12",2,13,"MS",13,13,11.21,1.79,NA,NA
"03/04/2012","Tremie12",2,14,"MS",12,NA,6.4,NA,6.4,NA
"03/05/2012","Tremie12",2,14,"MS",12,12,7.3,4.7,NA,NA
"09/05/2012","Tremie12",2,14,"MS",12,12,7.5,4.5,NA,NA
"11/04/2012","Tremie12",2,14,"MS",12,NA,6.35,NA,NA,NA
"12/06/2012","Tremie12",2,14,"MS",12,12,10.97,1.03,NA,NA
"16/05/2012","Tremie12",2,14,"MS",12,12,7.82,4.18,NA,NA
"25/05/2012","Tremie12",2,14,"MS",12,12,9.13,2.87,NA,NA
"26/04/2012","Tremie12",2,14,"MS",12,NA,7.24,NA,NA,NA
"31/05/2012","Tremie12",2,14,"MS",12,12,9.55,2.45,NA,NA
"03/04/2012","Tremie12",2,15,"MS",13,NA,NA,NA,NA,NA
"03/05/2012","Tremie12",2,15,"MS",13,13,NA,NA,NA,NA
"09/05/2012","Tremie12",2,15,"MS",13,13,NA,NA,NA,NA
"11/04/2012","Tremie12",2,15,"MS",13,NA,NA,NA,NA,NA
"12/06/2012","Tremie12",2,15,"MS",13,13,11.63,1.37,NA,NA
"16/05/2012","Tremie12",2,15,"MS",13,13,NA,NA,NA,NA
"25/05/2012","Tremie12",2,15,"MS",13,13,9.65,3.35,NA,NA
"26/04/2012","Tremie12",2,15,"MS",13,NA,8.55,NA,NA,NA
"31/05/2012","Tremie12",2,15,"MS",13,13,10.55,2.45,NA,NA
"03/04/2012","Tremie12",2,16,"MS",13,NA,6.5,NA,6.5,NA
"03/05/2012","Tremie12",2,16,"MS",13,13,7.53,5.47,NA,NA
"09/05/2012","Tremie12",2,16,"MS",13,13,8.37,4.63,NA,NA
"11/04/2012","Tremie12",2,16,"MS",13,NA,7,NA,NA,NA
"12/06/2012","Tremie12",2,16,"MS",13,13,11.56,1.44,NA,NA
"16/05/2012","Tremie12",2,16,"MS",13,13,8.39,4.61,NA,NA
"25/05/2012","Tremie12",2,16,"MS",13,13,9.19,3.81,NA,NA
"26/04/2012","Tremie12",2,16,"MS",13,NA,7.2,NA,NA,NA
"31/05/2012","Tremie12",2,16,"MS",13,13,10.52,2.48,NA,NA
"03/04/2012","Tremie12",2,17,"MS",13,NA,7.05,NA,7,NA
"03/05/2012","Tremie12",2,17,"MS",13,NA,8.05,NA,NA,NA
"09/05/2012","Tremie12",2,17,"MS",13,13,8.25,4.75,NA,NA
"11/04/2012","Tremie12",2,17,"MS",13,NA,7.1,NA,NA,NA
"12/06/2012","Tremie12",2,17,"MS",13,13,11.27,1.73,NA,NA
"16/05/2012","Tremie12",2,17,"MS",13,13,NA,NA,NA,NA
"25/05/2012","Tremie12",2,17,"MS",13,13,9.18,3.82,NA,NA
"26/04/2012","Tremie12",2,17,"MS",13,NA,7.5,NA,NA,NA
"31/05/2012","Tremie12",2,17,"MS",13,13,10.32,2.68,NA,NA
"03/04/2012","Tremie12",2,18,"MS",13,NA,6.95,NA,7.05,NA
"03/05/2012","Tremie12",2,18,"MS",13,13,8.15,4.85,NA,NA
"09/05/2012","Tremie12",2,18,"MS",13,13,8.4,4.6,NA,NA
"11/04/2012","Tremie12",2,18,"MS",13,NA,7.2,NA,NA,NA
"12/06/2012","Tremie12",2,18,"MS",13,13,11.42,1.58,NA,NA
"16/05/2012","Tremie12",2,18,"MS",13,13,8.38,4.62,NA,NA
"25/05/2012","Tremie12",2,18,"MS",13,13,9.23,3.77,NA,NA
"26/04/2012","Tremie12",2,18,"MS",13,NA,7.8,NA,NA,NA
