"inerv","label","Source","plant","rank","ranktop","relative_ranktop","Nflig","HS","age","lmax","wmax","A","Agr","mass","stat","phiP"
35,"Soissons","field_040210",16,2,11,3,3,3.68439213803453,2.68439213803453,10.7483,0.33859,2.8352,2.4243,NA,2,1.2686119459078
36,"Soissons","field_040210",16,4,9,1,3,3.68439213803453,0.684392138034534,6.71,0.26068,1.3125,1.2918,NA,3,1.2686119459078
37,"Soissons","field_040210",17,1,12,5,4,4.49472377492253,4.49472377492253,4.1375,0.33601,0.91376,0.40882,0.0048,3,1.61970811584605
38,"Soissons","field_040210",17,5,8,1,4,4.49472377492253,0.494723774922528,3.0117,0.22004,0.49398,0.4919,NA,3,1.61970811584605
39,"Soissons","field_040210",17,3,10,3,4,4.49472377492253,2.49472377492253,7.4954,0.44884,2.5267,2.1209,0.01008,1,1.61970811584605
40,"Soissons","field_040210",17,4,9,2,4,4.49472377492253,1.49472377492253,7.4571,0.43695,2.5566,2.307,NA,1,1.61970811584605
41,"Soissons","field_040210",17,2,11,4,4,4.49472377492253,3.49472377492253,6.3844,0.39296,1.9027,1.6758,NA,1,1.61970811584605
42,"Soissons","field_040210",18,1,11,4,3,3.82342360547216,3.82342360547216,6.3892,0.2912,1.6421,1.3416,0.00575,1,1.53377418797011
43,"Soissons","field_040210",18,4,8,1,3,3.82342360547216,0.823423605472163,6.0705,0.41488,1.5696,1.4093,NA,3,1.53377418797011
44,"Soissons","field_040210",18,2,10,3,3,3.82342360547216,2.82342360547216,8.1629,0.32177,2.0789,1.3372,NA,2,1.53377418797011
45,"Soissons","field_040210",18,3,9,2,3,3.82342360547216,1.82342360547216,9.8956,0.40552,3.1257,2.7748,0.01305,2,1.53377418797011
46,"Soissons","field_040210",19,5,8,1,3,4.39363182961254,0.393631829612535,2.905,0.27558,0.54,0.53885,NA,3,2.17629787136815
47,"Soissons","field_040210",19,3,10,3,3,4.39363182961254,2.39363182961254,10.4983,0.45542,3.5601,3.4168,0.01524,1,2.17629787136815
48,"Soissons","field_040210",19,4,9,2,3,4.39363182961254,1.39363182961254,8.6472,0.49164,3.269,2.9045,NA,1,2.17629787136815
49,"Soissons","field_040210",19,1,12,5,3,4.39363182961254,4.39363182961254,5.9429,0.34669,1.3855,0.41512,0.00526,3,2.17629787136815
50,"Soissons","field_040210",19,2,11,4,3,4.39363182961254,3.39363182961254,6.6034,0.34286,2.1031,1.9171,NA,3,2.17629787136815
51,"Soissons","field_040210",2,3,10,2,3,3.71446456688226,1.71446456688226,8.3591,0.38705,2.392,1.9951,0.00942,2,1.61495933652316
52,"Soissons","field_040210",2,4,9,1,3,3.71446456688226,0.714464566882262,5.2007,0.40096,1.3895,1.3652,NA,3,1.61495933652316
53,"Soissons","field_040210",2,2,11,3,3,3.71446456688226,2.71446456688226,8.1045,0.30207,1.9032,1.7616,NA,2,1.61495933652316
54,"Soissons","field_040210",2,1,12,4,3,3.71446456688226,3.71446456688226,5.4268,0.26153,1.0327,0.80516,0.00499,2,1.61495933652316
55,"Soissons","field_040210",20,4,9,2,3,4,1,6.4585,0.4632,2.2971,2.2462,NA,3,1.51930799909716
56,"Soissons","field_040210",20,3,10,3,3,4,2,8.5614,0.44803,2.8707,2.8241,0.01153,1,1.51930799909716
57,"Soissons","field_040210",20,2,11,4,3,4,3,6.3744,0.35768,1.8117,1.438,NA,3,1.51930799909716
58,"Soissons","field_040210",3,4,8,2,3,4.31990537583882,1.31990537583882,8.0664,0.46716,2.9856,2.9175,NA,1,1.78001014015504
59,"Soissons","field_040210",3,5,7,1,3,4.31990537583882,0.319905375838822,2.6626,0.15328,0.32559,0.32229,NA,3,1.78001014015504
60,"Soissons","field_040210",3,3,9,3,3,4.31990537583882,2.31990537583882,9.9624,0.44751,3.3089,3.2467,0.0134,1,1.78001014015504
61,"Soissons","field_040210",3,2,10,4,3,4.31990537583882,3.31990537583882,9.2123,0.39108,2.4013,1.5464,NA,2,1.78001014015504
62,"Soissons","field_040210",3,1,11,5,3,4.31990537583882,4.31990537583882,6.4659,0.32638,1.6046,0.93003,0.00707,2,1.78001014015504
63,"Soissons","field_040210",5,4,8,1,3,3.74892938088459,0.748929380884588,5.8424,0.20395,0.89398,0.88917,NA,3,1.71026002743467
64,"Soissons","field_040210",5,3,9,2,3,3.74892938088459,1.74892938088459,10.9653,0.35348,2.5634,2.2905,0.0111,1,1.71026002743467
65,"Soissons","field_040210",5,2,10,3,3,3.74892938088459,2.74892938088459,8.0745,0.27053,1.8691,1.6709,NA,3,1.71026002743467
66,"Soissons","field_040210",5,1,11,4,3,3.74892938088459,3.74892938088459,6.8926,0.24954,1.5755,1.4556,0.00561,1,1.71026002743467
67,"Soissons","field_040210",6,2,10,4,3,4,3,9.579,0.3902,3.0047,2.2923,NA,2,1.44626618031162
68,"Soissons","field_040210",6,3,9,3,3,4,2,11.9995,0.44276,4.0518,3.2116,0.01582,1,1.44626618031162
69,"Soissons","field_040210",6,4,8,2,3,4,1,9.2489,0.49575,3.5389,3.2217,NA,3,1.44626618031162
70,"Soissons","field_040210",7,2,11,4,3,4.31921371598237,3.31921371598237,7.4792,0.35044,2.0638,1.9074,NA,1,1.71348541952677
71,"Soissons","field_040210",7,4,9,2,3,4.31921371598237,1.31921371598237,6.5737,0.4622,2.3471,2.3004,NA,3,1.71348541952677
72,"Soissons","field_040210",7,1,12,5,3,4.31921371598237,4.31921371598237,4.7868,0.32131,1.3695,1.2642,0.00538,1,1.71348541952677
73,"Soissons","field_040210",7,3,10,3,3,4.31921371598237,2.31921371598237,8.8848,0.4165,2.8391,2.7716,0.0119,1,1.71348541952677
74,"Soissons","field_040210",7,5,8,1,3,4.31921371598237,0.319213715982368,2.4807,0.22027,0.3833,0.36029,NA,3,1.71348541952677
75,"Soissons","field_040210",8,4,9,2,3,4.16758273814672,1.16758273814672,8.7574,0.50452,3.038,2.8825,NA,3,1.82315384944083
76,"Soissons","field_040210",8,5,8,1,3,4.16758273814672,0.167582738146718,2.1153,0.13091,0.20767,0.20631,NA,3,1.82315384944083
77,"Soissons","field_040210",8,2,11,4,3,4.16758273814672,3.16758273814672,10.7547,0.40868,3.3356,2.7452,NA,1,1.82315384944083
78,"Soissons","field_040210",8,3,10,3,3,4.16758273814672,2.16758273814672,10.9741,0.4527,3.8657,3.4853,0.01585,1,1.82315384944083
79,"Soissons","field_040210",9,5,8,1,3,4.35862159216667,0.358621592166672,3.2739,0.20979,0.47469,0.47369,NA,3,1.65513997103588
80,"Soissons","field_040210",9,3,10,3,3,4.35862159216667,2.35862159216667,11.5905,0.45188,3.8383,3.4067,0.01635,1,1.65513997103588
81,"Soissons","field_040210",9,4,9,2,3,4.35862159216667,1.35862159216667,9.3112,0.52089,3.6034,3.3945,NA,1,1.65513997103588
82,"Soissons","field_040210",9,2,11,4,3,4.35862159216667,3.35862159216667,10.1509,0.37992,2.9457,1.8675,NA,2,1.65513997103588
83,"Soissons","field_230310",1,3,10,4,5,5.60612077028395,3.60612077028395,7.7103,0.45532,2.4197,1.6812,NA,2,1.62724720716563
84,"Soissons","field_230310",1,4,9,3,5,5.60612077028395,2.60612077028395,7.4203,0.4973,2.9691,2.954,0.01217,1,1.62724720716563
85,"Soissons","field_230310",1,5,8,2,5,5.60612077028395,1.60612077028395,8.7429,0.57957,4.1272,4.1162,0.01848,1,1.62724720716563
86,"Soissons","field_230310",1,6,7,1,5,5.60612077028395,0.606120770283948,5.1341,0.46473,1.5226,1.5218,NA,3,1.62724720716563
87,"Soissons","field_230310",10,5,7,4,6,6.93857290214716,2.93857290214716,7.6002,0.62096,3.7272,3.0429,NA,1,1.62594982262793
88,"Soissons","field_230310",10,7,5,2,6,6.93857290214716,0.938572902147157,10.4707,0.89245,7.4972,7.492,NA,3,1.62594982262793
89,"Soissons","field_230310",10,6,6,3,6,6.93857290214716,1.93857290214716,8.4856,0.65312,4.5409,4.4895,0.02,1,1.62594982262793
90,"Soissons","field_230310",11,6,7,3,6,6.97285343910275,1.97285343910275,7.7936,0.56407,3.6115,3.5963,0.016,1,1.46084058905528
91,"Soissons","field_230310",11,4,9,5,6,6.97285343910275,3.97285343910275,5.5066,0.48835,1.9373,0.72609,NA,3,1.46084058905528
92,"Soissons","field_230310",11,5,8,4,6,6.97285343910275,2.97285343910275,6.2904,0.47942,2.3714,2.2613,NA,2,1.46084058905528
93,"Soissons","field_230310",11,7,6,2,6,6.97285343910275,0.972853439102749,8.306,0.70395,4.6727,4.669,NA,3,1.46084058905528
94,"Soissons","field_230310",12,5,8,4,6,7.17604423584632,3.17604423584632,6.1415,0.53411,2.6431,2.5879,0.011,1,2.04947056467432
95,"Soissons","field_230310",12,8,5,1,6,7.17604423584632,0.176044235846323,2.6829,0.13384,0.27735,0.27713,NA,3,2.04947056467432
96,"Soissons","field_230310",12,7,6,2,6,7.17604423584632,1.17604423584632,8.623,0.70145,4.9765,4.9753,NA,3,2.04947056467432
97,"Soissons","field_230310",12,6,7,3,6,7.17604423584632,2.17604423584632,7.554,0.6095,3.8204,3.7902,0.016,1,2.04947056467432
98,"Soissons","field_230310",12,4,9,5,6,7.17604423584632,4.17604423584632,6.6212,0.41339,1.6741,0.30064,NA,2,2.04947056467432
99,"Soissons","field_230310",16,6,7,2,6,6.78929685442777,1.78929685442777,9.417,0.62466,4.8454,4.8363,0.017,1,1.51472295006789
100,"Soissons","field_230310",16,7,6,1,6,6.78929685442777,0.789296854427774,7.5508,0.76358,4.4719,4.4682,NA,3,1.51472295006789
101,"Soissons","field_230310",16,5,8,3,6,6.78929685442777,2.78929685442777,5.3477,0.53236,2.6763,2.5844,NA,3,1.51472295006789
102,"Soissons","field_230310",16,4,9,4,6,6.78929685442777,3.78929685442777,7.3188,0.49335,2.6288,1.2059,NA,3,1.51472295006789
103,"Soissons","field_230310",17,5,8,3,6,6.75750959621631,2.75750959621631,8.7515,0.63725,4.3314,4.0612,0.018,1,1.59311572392319
104,"Soissons","field_230310",17,6,7,2,6,6.75750959621631,1.75750959621631,10.1673,0.67797,5.5619,5.5336,0.023,1,1.59311572392319
105,"Soissons","field_230310",17,4,9,4,6,6.75750959621631,3.75750959621631,7.8349,0.52111,3.1514,0.77025,NA,3,1.59311572392319
106,"Soissons","field_230310",17,7,6,1,6,6.75750959621631,0.757509596216311,8.8514,0.79266,5.4448,5.4439,NA,3,1.59311572392319
107,"Soissons","field_230310",18,5,7,3,6,6.76107214410638,2.76107214410638,8.1996,0.62232,4.1135,3.9733,0.016,1,1.69511943076563
108,"Soissons","field_230310",18,6,6,2,6,6.76107214410638,1.76107214410638,9.3675,0.69295,5.2011,5.1791,0.023,1,1.69511943076563
109,"Soissons","field_230310",18,7,5,1,6,6.76107214410638,0.761072144106379,8.9709,0.89188,6.1584,6.1522,NA,3,1.69511943076563
110,"Soissons","field_230310",18,4,8,4,6,6.76107214410638,3.76107214410638,6.8887,0.56052,3.2698,2.1969,NA,3,1.69511943076563
111,"Soissons","field_230310",2,4,9,5,6,6.95396717603666,3.95396717603666,6.9562,0.51842,2.5361,1.5413,0.00811,2,1.61972285769275
112,"Soissons","field_230310",2,7,6,2,6,6.95396717603666,0.953967176036659,8.9251,0.67676,5.0009,4.9958,NA,3,1.61972285769275
113,"Soissons","field_230310",2,5,8,4,6,6.95396717603666,2.95396717603666,6.4809,0.53366,2.7993,2.6105,0.00552,1,1.61972285769275
114,"Soissons","field_230310",2,6,7,3,6,6.95396717603666,1.95396717603666,7.9858,0.54931,3.7386,3.7354,0.01436,1,1.61972285769275
115,"Soissons","field_230310",3,6,7,2,6,6.58913460356057,1.58913460356057,10.3944,0.63187,5.1548,5.145,0.02323,1,1.6346770970619
116,"Soissons","field_230310",3,4,9,4,6,6.58913460356057,3.58913460356057,8.5376,0.48597,3.1153,2.8656,0.01482,1,1.6346770970619
117,"Soissons","field_230310",3,7,6,1,6,6.58913460356057,0.589134603560571,7.0313,0.51008,2.4705,2.4694,NA,3,1.6346770970619
118,"Soissons","field_230310",3,5,8,3,6,6.58913460356057,2.58913460356057,8.4137,0.52934,3.5718,3.4733,0.01633,1,1.6346770970619
119,"Soissons","field_230310",4,4,8,4,6,6.46810798601447,3.46810798601447,7.019,0.5288,3.0452,1.9308,NA,2,1.89524433787212
120,"Soissons","field_230310",4,5,7,3,6,6.46810798601447,2.46810798601447,8.633,0.56573,3.9836,3.9004,0.01734,1,1.89524433787212
121,"Soissons","field_230310",4,7,5,1,6,6.46810798601447,0.468107986014465,5.8703,0.52861,2.1939,2.1934,NA,3,1.89524433787212
122,"Soissons","field_230310",4,6,6,2,6,6.46810798601447,1.46810798601447,10.4516,0.62367,5.4785,5.4597,0.0248,1,1.89524433787212
123,"Soissons","field_230310",5,5,8,3,6,6.79252805559566,2.79252805559566,6.7854,0.51911,2.6609,2.4715,NA,2,1.52439067824501
124,"Soissons","field_230310",5,4,9,4,6,6.79252805559566,3.79252805559566,7.6545,0.51605,2.9929,1.3321,NA,3,1.52439067824501
125,"Soissons","field_230310",5,7,6,1,6,6.79252805559566,0.79252805559566,8.4036,0.7194,4.7449,4.7434,NA,3,1.52439067824501
126,"Soissons","field_230310",5,6,7,2,6,6.79252805559566,1.79252805559566,9.9562,0.62118,5.2991,5.291,0.0248,1,1.52439067824501
127,"Soissons","field_230310",6,4,8,4,6,6.5644905661763,3.5644905661763,7.8014,0.54616,3.3607,3.1225,0.012,2,1.62896228567449
128,"Soissons","field_230310",6,7,5,1,6,6.5644905661763,0.564490566176297,7.6344,0.60086,3.7404,3.7354,NA,3,1.62896228567449
129,"Soissons","field_230310",6,5,7,3,6,6.5644905661763,2.5644905661763,9.024,0.60465,4.4459,4.3806,0.02,1,1.62896228567449
130,"Soissons","field_230310",6,6,6,2,6,6.5644905661763,1.5644905661763,11.3141,0.70677,6.4518,6.4382,0.031,1,1.62896228567449
131,"Soissons","field_230310",7,3,10,5,6,6.63470310587248,4.63470310587248,5.0954,0.58799,2.5518,1.134,NA,3,1.69800320544571
132,"Soissons","field_230310",7,6,7,2,6,6.63470310587248,1.63470310587248,10.0198,0.784,6.3981,6.3956,0.028,1,1.69800320544571
133,"Soissons","field_230310",7,7,6,1,6,6.63470310587248,0.63470310587248,6.3516,0.67201,3.4411,3.4388,NA,3,1.69800320544571
134,"Soissons","field_230310",7,4,9,4,6,6.63470310587248,3.63470310587248,7.9341,0.6545,3.9859,3.5459,NA,1,1.69800320544571
135,"Soissons","field_230310",7,5,8,3,6,6.63470310587248,2.63470310587248,8.3637,0.68808,4.6234,4.5978,0.024,1,1.69800320544571
136,"Soissons","field_230310",8,6,7,1,5,5.41607634988744,0.416076349887443,5.4982,0.32617,1.2184,1.2173,NA,3,2.23114371058624
137,"Soissons","field_230310",8,5,8,2,5,5.41607634988744,1.41607634988744,12.9152,0.69411,7.2484,7.2414,NA,1,2.23114371058624
138,"Soissons","field_230310",8,4,9,3,5,5.41607634988744,2.41607634988744,10.2454,0.59361,4.9251,4.8864,0.021,1,2.23114371058624
139,"Soissons","field_230310",9,8,5,1,7,7.36412285470497,0.364122854704973,4.7769,0.51332,1.7402,1.6734,NA,3,1.50493340892013
140,"Soissons","field_230310",9,4,9,5,7,7.36412285470497,4.36412285470497,7.071,0.48472,2.473,0.87362,NA,2,1.50493340892013
141,"Soissons","field_230310",9,6,7,3,7,7.36412285470497,2.36412285470497,7.3784,0.57681,3.613,3.6018,0.014,1,1.50493340892013
142,"Soissons","field_230310",9,3,10,6,7,7.36412285470497,5.36412285470497,7.4302,0.45465,2.3285,0.54502,NA,3,1.50493340892013
143,"Soissons","field_230310",9,7,6,2,7,7.36412285470497,1.36412285470497,8.9513,0.72276,5.2316,5.2234,NA,1,1.50493340892013
144,"Soissons","field_230310",9,5,8,4,7,7.36412285470497,3.36412285470497,6.3159,0.55491,2.8306,2.8042,0.011,1,1.50493340892013
145,"Soissons","field_130410",10,6,7,5,8,9,4,8.1964,0.60086,3.9406,3.8141,NA,1,1.45792712394244
146,"Soissons","field_130410",10,9,4,2,8,9,1,17.345,1.2754,16.6663,16.6635,NA,3,1.45792712394244
147,"Soissons","field_130410",10,8,5,3,8,9,2,15.8016,1.0274,12.7844,12.71,0.0588,1,1.45792712394244
148,"Soissons","field_130410",10,7,6,4,8,9,3,6.8098,0.75318,4.6993,4.6036,0.0216,3,1.45792712394244
149,"Soissons","field_130410",11,6,6,4,8,8.43308389559152,3.43308389559152,10.299,0.67193,5.5522,5.1014,NA,1,1.56609395874294
150,"Soissons","field_130410",11,8,4,2,8,8.43308389559152,1.43308389559152,19.9413,1.0949,17.6512,17.6101,0.0739,1,1.56609395874294
151,"Soissons","field_130410",11,9,3,1,8,8.43308389559152,0.433083895591523,10.8704,0.82736,6.5089,6.5064,NA,3,1.56609395874294
152,"Soissons","field_130410",11,7,5,3,8,8.43308389559152,2.43308389559152,14.7843,0.85004,10.0279,9.492,0.0419,1,1.56609395874294
153,"Soissons","field_130410",12,8,5,2,8,8.59746376158407,1.59746376158407,16.6271,1.0423,13.844,13.7886,0.0618,1,1.43534487487842
154,"Soissons","field_130410",12,6,7,4,8,8.59746376158407,3.59746376158407,8.9614,0.59955,4.4531,4.284,NA,1,1.43534487487842
155,"Soissons","field_130410",12,7,6,3,8,8.59746376158407,2.59746376158407,11.8528,0.76521,7.469,7.3036,0.0332,1,1.43534487487842
156,"Soissons","field_130410",12,9,4,1,8,8.59746376158407,0.597463761584068,12.1351,1.0244,9.4616,9.4502,NA,3,1.43534487487842
157,"Soissons","field_130410",13,8,5,2,8,8.39672132144004,1.39672132144004,18.7536,1.0935,15.5899,15.5765,0.0722,1,1.63972668932214
158,"Soissons","field_130410",13,9,4,1,8,8.39672132144004,0.39672132144004,9.5801,0.66549,4.9105,4.908,NA,3,1.63972668932214
159,"Soissons","field_130410",13,7,6,3,8,8.39672132144004,2.39672132144004,14.6997,0.75934,8.8359,8.5818,0.0457,1,1.63972668932214
160,"Soissons","field_130410",13,6,7,4,8,8.39672132144004,3.39672132144004,10.719,0.62625,5.3657,5.2119,NA,1,1.63972668932214
161,"Soissons","field_130410",14,8,5,2,8,8.46515866412682,1.46515866412682,16.7467,1.1112,14.0155,14.0024,0.0573,1,1.54826196535665
162,"Soissons","field_130410",14,7,6,3,8,8.46515866412682,2.46515866412682,11.3981,0.74808,7.0703,7.0256,0.0303,1,1.54826196535665
163,"Soissons","field_130410",14,5,8,5,8,8.46515866412682,4.46515866412682,5.9344,0.45211,1.9859,1.0277,NA,2,1.54826196535665
164,"Soissons","field_130410",14,6,7,4,8,8.46515866412682,3.46515866412682,7.5275,0.55019,3.4469,3.4082,NA,1,1.54826196535665
165,"Soissons","field_130410",14,9,4,1,8,8.46515866412682,0.46515866412682,8.3792,0.52552,2.849,2.8489,NA,3,1.54826196535665
166,"Soissons","field_130410",15,8,5,3,8,8.90427035759515,1.90427035759515,17.8755,1.0461,14.8612,14.6983,0.0722,1,1.53357917297781
167,"Soissons","field_130410",15,6,7,5,8,8.90427035759515,3.90427035759515,9.7546,0.67183,5.4235,4.7129,NA,1,1.53357917297781
168,"Soissons","field_130410",15,7,6,4,8,8.90427035759515,2.90427035759515,12.6643,0.8352,8.6724,8.2226,0.0397,1,1.53357917297781
169,"Soissons","field_130410",15,9,4,2,8,8.90427035759515,0.904270357595149,19.7818,1.2625,19.2567,19.2447,NA,3,1.53357917297781
170,"Soissons","field_130410",16,7,5,3,8,8.68852037501701,2.68852037501701,11.965,0.71961,7.0378,6.8024,0.0296,1,1.62612674826407
171,"Soissons","field_130410",16,8,4,2,8,8.68852037501701,1.68852037501701,17.2953,1.0074,13.65,13.6203,0.0586,1,1.62612674826407
172,"Soissons","field_130410",16,6,6,4,8,8.68852037501701,3.68852037501701,8.7191,0.58279,4.1879,4.0163,NA,1,1.62612674826407
173,"Soissons","field_130410",16,9,3,1,8,8.68852037501701,0.688520375017013,14.5186,1.0754,11.7331,11.7294,NA,3,1.62612674826407
174,"Soissons","field_130410",30,8,5,3,8,9,2,16.3887,0.93887,12.5604,12.4978,0.0512,1,1.50463125473809
175,"Soissons","field_130410",30,6,7,5,8,9,4,8.2094,0.55814,3.3462,2.3619,NA,2,1.50463125473809
176,"Soissons","field_130410",30,9,4,2,8,9,1,20.0875,1.2,17.8254,17.8183,NA,1,1.50463125473809
177,"Soissons","field_130410",30,7,6,4,8,9,3,10.6815,0.71398,6.1965,6.1256,0.0226,1,1.50463125473809
178,"Soissons","field_130410",31,9,3,1,8,8.42119931793919,0.421199317939193,9.3757,0.68548,5.3335,5.3305,NA,3,1.5426007027777
179,"Soissons","field_130410",31,8,4,2,8,8.42119931793919,1.42119931793919,18.2438,1.1095,16.2275,16.1778,0.0694,1,1.5426007027777
180,"Soissons","field_130410",31,7,5,3,8,8.42119931793919,2.42119931793919,12.2669,0.80659,7.9699,7.9085,0.0349,1,1.5426007027777
181,"Soissons","field_130410",31,6,6,4,8,8.42119931793919,3.42119931793919,9.4912,0.62657,4.8917,4.8132,NA,1,1.5426007027777
182,"Soissons","field_130410",32,6,7,4,8,8.51487614950432,3.51487614950432,9.7237,0.63976,5.0495,4.9716,NA,1,1.67853617848303
183,"Soissons","field_130410",32,8,5,2,8,8.51487614950432,1.51487614950432,17.9623,1.0971,15.7443,15.7229,0.0708,1,1.67853617848303
184,"Soissons","field_130410",32,9,4,1,8,8.51487614950432,0.514876149504323,11.2927,1.0338,8.5744,8.5698,NA,3,1.67853617848303
185,"Soissons","field_130410",32,7,6,3,8,8.51487614950432,2.51487614950432,12.7378,0.83891,8.7133,8.5597,0.0367,1,1.67853617848303
186,"Soissons","field_130410",33,6,7,5,9,9,4,7.2995,0.63558,3.681,2.4648,NA,2,1.50503514773029
187,"Soissons","field_130410",33,7,6,4,9,9,3,8.3863,0.73095,4.7791,4.6753,0.0204,1,1.50503514773029
188,"Soissons","field_130410",33,9,4,2,9,9,1,14.7058,1.1294,12.5259,12.5018,NA,1,1.50503514773029
189,"Soissons","field_130410",33,8,5,3,9,9,2,10.5462,0.85406,7.527,7.462,0.0333,1,1.50503514773029
190,"Soissons","field_130410",34,8,4,2,8,8.51122706135277,1.51122706135277,17.6173,1.1012,15.3466,15.3235,0.0651,1,1.58620674120532
191,"Soissons","field_130410",34,6,6,4,8,8.51122706135277,3.51122706135277,9.1424,0.6072,4.4857,4.1907,NA,1,1.58620674120532
192,"Soissons","field_130410",34,9,3,1,8,8.51122706135277,0.511227061352773,10.8967,0.89259,7.3451,7.3434,NA,3,1.58620674120532
193,"Soissons","field_130410",34,7,5,3,8,8.51122706135277,2.51122706135277,11.5757,0.7675,7.2175,7.1784,0.0301,1,1.58620674120532
194,"Soissons","field_130410",35,8,5,3,8,9,2,12.7037,0.92896,9.8366,9.792,0.0407,1,1.57025153015568
