"inerv","label","Source","plant","rank","ranktop","age","lmax","wmax","A","Agr","mass","stat","phiP"
55,"Tremie12","sampled_plants_090512",4,10,4,5.34230490142793,21.5,1.2,18,16,NA,2,1.57512877204009
61,"Tremie12","sampled_plants_110412",4,10,3.63333333333333,2.26158220167124,21.7896,1.401,24.104,23.818,NA,1,1.552360719999
64,"Tremie12","sampled_plants_120612",4,10,4,9.69762413867656,NA,NA,NA,NA,NA,NA,1.59547823352358
73,"Tremie13","sampled_plants_290413",4,10,2.28888888888889,0.446519246250602,NA,NA,NA,NA,NA,NA,1.57965024027657
77,"Tremie12","sampled_plants_090512",5,10,4,5.30984917237782,21.1,1,13.7,11.5,NA,2,1.61020390224638
5,"Tremie12","sampled_plants_090512",1,10,4,4.51664238918542,20.5,1.2,16.3,15.6,NA,2,1.56625132513994
84,"Tremie12","sampled_plants_110412",5,10,3.63333333333333,1.39581219199688,19.8058,1.3962,20.9032,20.8644,NA,1,1.53496775079728
87,"Tremie12","sampled_plants_120612",5,10,4,10.4976241386766,NA,NA,NA,NA,NA,NA,1.616850088236
96,"Tremie13","sampled_plants_290413",5,10,2.28888888888889,0.454749230900349,NA,NA,NA,NA,NA,NA,1.58741548478641
99,"Tremie12","sampled_plants_090512",6,10,4,4.63947850432584,23.4,1.5,25.5,21.5,NA,2,1.51702462927898
104,"Tremie12","sampled_plants_110412",6,10,3.63333333333333,3.185083685306,18.4338,1.2825,17.8339,17.7414,NA,1,1.40328235765788
108,"Tremie12","sampled_plants_120612",6,10,4,9.69762413867656,NA,NA,NA,NA,NA,NA,1.63072778769601
116,"Tremie13","sampled_plants_290413",6,10,2.28888888888889,0.707063404133708,NA,NA,NA,NA,NA,NA,1.57445924762869
120,"Tremie12","sampled_plants_090512",7,10,4,4.53008366487996,22.7,1.3,20,18.8,NA,2,1.56309619288848
11,"Tremie12","sampled_plants_110412",1,10,3.63333333333333,1.92482572968073,23.2277,1.0753,18.6318,18.5815,NA,1,1.57859093937739
127,"Tremie12","sampled_plants_110412",7,10,3.63333333333333,1.53267173355662,22.2454,1.4002,23.8114,23.7344,NA,1,1.68789899583984
131,"Tremie12","sampled_plants_120612",7,10,4,9.69762413867656,NA,NA,NA,NA,NA,NA,1.60498647579416
142,"Tremie12","sampled_plants_090512",8,10,4,5.44409223607114,20.1,1,14.7,12.6,NA,3,1.50526178180536
148,"Tremie12","sampled_plants_110412",8,10,3.63333333333333,1.27926262226849,22.7392,1.4046,23.5951,23.1709,NA,1,1.54345402182571
152,"Tremie12","sampled_plants_120612",8,10,4,9.69762413867656,NA,NA,NA,NA,NA,NA,1.55918618448958
160,"Tremie13","sampled_plants_290413",8,10,2.28888888888889,0.720523043914691,NA,NA,NA,NA,NA,NA,1.5961276132221
163,"Tremie12","sampled_plants_090512",9,10,4,4.92778752519454,23.1,1.1,15.6,12.7,NA,2,1.56601376895701
16,"Tremie12","sampled_plants_120612",1,10,4,10.5976241386766,NA,NA,NA,NA,NA,NA,1.61562552363292
169,"Tremie12","sampled_plants_110412",9,10,3.63333333333333,2.67339851620357,19.6616,1.396,22.0081,21.8034,NA,1,1.53487991375034
173,"Tremie12","sampled_plants_120612",9,10,4,9.69762413867656,NA,NA,NA,NA,NA,NA,1.53063822417515
180,"Tremie13","sampled_plants_290413",9,10,2.28888888888889,0.718364900702726,NA,NA,NA,NA,NA,NA,1.63292053691671
184,"Tremie12","sampled_plants_090512",10,10,4,5.98925691408692,19.9,0.8,9.4,4,NA,3,1.53310177699951
190,"Tremie12","sampled_plants_110412",10,10,3.63333333333333,1.9539113520168,19.6907,1.3044,19.9027,19.8261,NA,1,1.71818488877458
193,"Tremie12","sampled_plants_120612",10,10,4,9.89762413867656,NA,NA,NA,NA,NA,NA,1.59736966966151
200,"Tremie13","sampled_plants_290413",10,10,2.28888888888889,0.880102050118328,NA,NA,NA,NA,NA,NA,1.53122495034962
204,"Tremie12","sampled_plants_090512",11,10,4,5.14274555570447,23.2,0.7,10.2,9.3,NA,2,1.53198241297012
210,"Tremie12","sampled_plants_110412",11,10,3.63333333333333,2.75712517195125,20.4812,1.4358,23.1577,23.1056,NA,1,1.60385252572731
214,"Tremie12","sampled_plants_120612",11,10,4,9.69762413867656,NA,NA,NA,NA,NA,NA,1.61457551547395
221,"Tremie13","sampled_plants_290413",11,10,2.28888888888889,0.528628256117527,NA,NA,NA,NA,NA,NA,1.54818416053308
226,"Tremie12","sampled_plants_090512",12,10,4,5.35230413486541,18.9,0.9,12.3,11.7,NA,2,1.56223384759867
232,"Tremie12","sampled_plants_110412",12,10,3.63333333333333,1.26730095769952,21.5002,1.5503,24.9222,24.8667,NA,1,1.51871723718102
237,"Tremie12","sampled_plants_120612",12,10,4,9.29762413867656,NA,NA,NA,NA,NA,NA,1.59009835791501
244,"Tremie13","sampled_plants_290413",12,10,2.28888888888889,0.910646022404418,NA,NA,NA,NA,NA,NA,1.5721647498467
249,"Tremie12","sampled_plants_090512",13,10,4,3.73591135520805,25.3,1.5,24.3,23.8,NA,2,1.55889077144225
22,"Tremie12","sampled_plants_090512",2,10,4,4.9145635749682,NA,NA,NA,NA,NA,NA,1.55158113673415
255,"Tremie12","sampled_plants_110412",13,10,3.63333333333333,1.48635241824457,21.724,1.4606,24.9839,24.9796,NA,1,1.59878984457031
260,"Tremie12","sampled_plants_120612",13,10,4,9.69762413867656,NA,NA,NA,NA,NA,NA,1.56275855722034
267,"Tremie13","sampled_plants_290413",13,10,2.28888888888889,0.738690488771853,NA,NA,NA,NA,NA,NA,1.58037646062187
270,"Tremie12","sampled_plants_090512",14,10,4,5.53370761795977,19.5,1.3,18.2,15.6,NA,2,1.63181192701115
276,"Tremie12","sampled_plants_110412",14,10,3.63333333333333,0.981062918375798,23.7046,1.5641,27.9934,27.9808,NA,1,1.59714982130644
280,"Tremie12","sampled_plants_120612",14,10,4,10.3976241386766,NA,NA,NA,NA,NA,NA,1.60256492307831
288,"Tremie13","sampled_plants_290413",14,10,2.28888888888889,0.614535781378839,NA,NA,NA,NA,NA,NA,1.6300033592657
293,"Tremie12","sampled_plants_090512",15,10,4,4.9145635749682,21.5,1.2,19.7,18.5,NA,2,1.55704593054474
28,"Tremie12","sampled_plants_110412",2,10,3.63333333333333,2.81868881320081,19.2924,1.0884,15.5506,14.8421,NA,2,1.48989020841916
299,"Tremie12","sampled_plants_110412",15,10,3.63333333333333,2.23730991911759,23.9638,1.5261,27.8886,27.8518,NA,1,1.55598497053094
304,"Tremie12","sampled_plants_120612",15,10,4,10.4976241386766,NA,NA,NA,NA,NA,NA,1.56913128487628
311,"Tremie13","sampled_plants_290413",15,10,2.28888888888889,0.704937397924894,NA,NA,NA,NA,NA,NA,1.61123283771049
313,"Tremie12","sampled_plants_090512",16,10,4,4.65890355275491,22.3,1.5,23.9,22,NA,2,1.56680227010617
319,"Tremie12","sampled_plants_110412",16,10,3.63333333333333,2.00000093647236,24.1383,1.363,25.0212,24.7979,NA,1,1.63920015261663
323,"Tremie12","sampled_plants_120612",16,10,4,9.89762413867656,NA,NA,NA,NA,NA,NA,1.56463737981163
331,"Tremie13","sampled_plants_290413",16,10,2.28888888888889,0.731201786060893,NA,NA,NA,NA,NA,NA,1.58077584476171
334,"Tremie12","sampled_plants_090512",17,10,4,4.50895873340186,19.7,1.4,19.7,19.2,NA,2,1.54538941961974
32,"Tremie12","sampled_plants_120612",2,10,4,9.89762413867656,NA,NA,NA,NA,NA,NA,1.50394463272459
340,"Tremie12","sampled_plants_110412",17,10,3.63333333333333,2.5565845964591,19.5362,1.3708,20.5331,20.1137,NA,1,1.65071666418419
344,"Tremie12","sampled_plants_120612",17,10,4,9.89762413867656,NA,NA,NA,NA,NA,NA,1.60942347304689
352,"Tremie13","sampled_plants_290413",17,10,2.28888888888889,0.819853053121502,NA,NA,NA,NA,NA,NA,1.59920850455183
356,"Tremie12","sampled_plants_090512",18,10,4,4.50632438724415,22.8,1.5,24.8,23.5,NA,2,1.529927445568
362,"Tremie12","sampled_plants_110412",18,10,3.63333333333333,2.1585488837578,23.4729,1.5936,29.3223,29.0592,NA,1,1.53801741883254
366,"Tremie12","sampled_plants_120612",18,10,4,9.89762413867656,NA,NA,NA,NA,NA,NA,1.60120391666036
378,"Tremie12","sampled_plants_090512",19,10,4,4.53505337986113,22.9,1.4,24.8,22.5,NA,2,1.57547061323053
383,"Tremie12","sampled_plants_120612",19,10,4,10.4976241386766,NA,NA,NA,NA,NA,NA,1.59034673543643
395,"Tremie12","sampled_plants_090512",20,10,4,5.38690412731845,21.2,1.2,17.6,15.1,NA,2,1.47274939124776
400,"Tremie12","sampled_plants_120612",20,10,4,9.99762413867656,NA,NA,NA,NA,NA,NA,1.61410928046524
412,"Tremie12","sampled_plants_090512",21,10,4,4.9145635749682,22.4,1.4,22.5,21.2,NA,2,1.56546764000664
418,"Tremie12","sampled_plants_120612",21,10,4,9.89762413867656,NA,NA,NA,NA,NA,NA,1.49394585658965
426,"Tremie13","sampled_plants_290413",21,10,2.28888888888889,0.714447986466512,NA,NA,NA,NA,NA,NA,1.5727750714901
39,"Tremie12","sampled_plants_090512",3,11,3,3.75555576574321,22.2,1.4,19.3,14.8,NA,2,1.58743370052777
430,"Tremie12","sampled_plants_090512",22,11,3,4.34692451729029,21.2,1.6,25.8,25.1,NA,1,1.57850855823988
437,"Tremie12","sampled_plants_110412",22,11,2.63333333333333,0.449094195528136,24.0621,1.8571,34.6204,34.6168,NA,3,1.58066301809612
441,"Tremie12","sampled_plants_120612",22,11,3,8.89762413867656,NA,NA,NA,NA,NA,NA,1.58330369839487
452,"Tremie12","sampled_plants_090512",23,11,3,3.39031950693201,19.7,1.6,24.1,24,NA,1,1.52548540571443
458,"Tremie12","sampled_plants_110412",23,11,2.63333333333333,1.42844646947558,24.3114,1.6843,32.5106,32.4627,NA,1,1.29645011644965
462,"Tremie12","sampled_plants_120612",23,11,3,8.79762413867656,NA,NA,NA,NA,NA,NA,1.63555804787843
45,"Tremie12","sampled_plants_110412",3,11,2.63333333333333,0.925289627336259,21.7237,1.5536,26.0132,26.01,NA,1,1.46898705022356
475,"Tremie12","sampled_plants_110412",24,11,2.63333333333333,0.657520580699867,27.2454,1.765,37.1342,37.0004,NA,3,1.50343645207293
477,"Tremie12","sampled_plants_120612",24,11,3,8.89762413867656,NA,NA,NA,NA,NA,NA,1.58938514758344
489,"Tremie12","sampled_plants_110412",25,11,2.63333333333333,2.39137969783748,21.5046,1.4756,25.1705,25.0769,NA,1,1.58191054565715
492,"Tremie12","sampled_plants_120612",25,11,3,9.19762413867656,NA,NA,NA,NA,NA,NA,1.57744343353246
505,"Tremie12","sampled_plants_110412",26,11,2.63333333333333,1.11507575278038,25.5833,1.7655,35.1031,35.0221,NA,1,1.52812422063863
50,"Tremie12","sampled_plants_120612",3,11,3,8.59762413867656,NA,NA,NA,NA,NA,NA,1.50325574089696
509,"Tremie12","sampled_plants_120612",26,11,3,8.89762413867656,NA,NA,NA,NA,NA,NA,1.58145677781687
519,"Tremie12","sampled_plants_110412",27,11,2.63333333333333,0.513183011833537,19.062,1.1293,14.871,14.8666,NA,3,1.56970855127732
524,"Tremie12","sampled_plants_120612",27,11,3,9.09762413867656,NA,NA,NA,NA,NA,NA,1.61638788531614
535,"Tremie12","sampled_plants_110412",28,11,2.63333333333333,0.155948769260375,16.9885,1.371,16.5048,16.5014,NA,3,1.53291888292655
538,"Tremie12","sampled_plants_120612",28,11,3,9.59762413867656,NA,NA,NA,NA,NA,NA,1.5707963267949
548,"Tremie12","sampled_plants_110412",29,11,2.63333333333333,0.379304633844763,20.7748,1.6811,27.7101,27.7053,NA,3,1.52016199549913
552,"Tremie12","sampled_plants_120612",29,11,3,9.29762413867656,NA,NA,NA,NA,NA,NA,1.58222658260964
562,"Tremie12","sampled_plants_110412",30,11,2.63333333333333,1.07279660354477,24.6182,1.4946,29.0221,29.0158,NA,3,1.52436729431939
565,"Tremie12","sampled_plants_120612",30,11,3,9.39762413867656,NA,NA,NA,NA,NA,NA,1.54475761646207
56,"Tremie12","sampled_plants_090512",4,11,3,4.34230490142793,23.8,1.5,26.5,25.8,NA,1,1.57512877204009
62,"Tremie12","sampled_plants_110412",4,11,2.63333333333333,1.26158220167124,18.225,1.3851,19.1987,19.1509,NA,1,1.552360719999
65,"Tremie12","sampled_plants_120612",4,11,3,8.69762413867656,NA,NA,NA,NA,NA,NA,1.59547823352358
78,"Tremie12","sampled_plants_090512",5,11,3,4.30984917237782,23.7,1.3,19.7,19,NA,2,1.61020390224638
6,"Tremie12","sampled_plants_090512",1,11,3,3.51664238918542,23.9,1.6,19.3,18,NA,1,1.56625132513994
85,"Tremie12","sampled_plants_110412",5,11,2.63333333333333,0.395812191996884,16.2618,1.2605,15.0866,15.0846,NA,3,1.53496775079728
88,"Tremie12","sampled_plants_120612",5,11,3,9.49762413867656,NA,NA,NA,NA,NA,NA,1.616850088236
100,"Tremie12","sampled_plants_090512",6,11,3,3.63947850432584,24.3,1.6,27.6,26.9,NA,2,1.51702462927898
105,"Tremie12","sampled_plants_110412",6,11,2.63333333333333,2.185083685306,23.3246,1.3258,22.8386,22.8183,NA,1,1.40328235765788
109,"Tremie12","sampled_plants_120612",6,11,3,8.69762413867656,NA,NA,NA,NA,NA,NA,1.63072778769601
121,"Tremie12","sampled_plants_090512",7,11,3,3.53008366487996,24.8,1.5,26,25.1,NA,2,1.56309619288848
12,"Tremie12","sampled_plants_110412",1,11,2.63333333333333,0.924825729680727,22.4178,1.1779,17.903,17.9004,NA,1,1.57859093937739
128,"Tremie12","sampled_plants_110412",7,11,2.63333333333333,0.532671733556619,20.1575,1.2139,19.7837,19.7762,NA,3,1.68789899583984
132,"Tremie12","sampled_plants_120612",7,11,3,8.69762413867656,NA,NA,NA,NA,NA,NA,1.60498647579416
143,"Tremie12","sampled_plants_090512",8,11,3,4.44409223607114,24.7,1.4,18.2,17.5,NA,3,1.50526178180536
149,"Tremie12","sampled_plants_110412",8,11,2.63333333333333,0.279262622268494,17.2569,1.1419,15.2672,15.2637,NA,3,1.54345402182571
153,"Tremie12","sampled_plants_120612",8,11,3,8.69762413867656,NA,NA,NA,NA,NA,NA,1.55918618448958
164,"Tremie12","sampled_plants_090512",9,11,3,3.92778752519454,22.5,1.4,23.8,22.9,NA,2,1.56601376895701
17,"Tremie12","sampled_plants_120612",1,11,3,9.59762413867656,NA,NA,NA,NA,NA,NA,1.61562552363292
170,"Tremie12","sampled_plants_110412",9,11,2.63333333333333,1.67339851620357,22.2564,1.5036,26.8473,26.8381,NA,1,1.53487991375034
174,"Tremie12","sampled_plants_120612",9,11,3,8.69762413867656,NA,NA,NA,NA,NA,NA,1.53063822417515
185,"Tremie12","sampled_plants_090512",10,11,3,4.98925691408692,23.4,1.2,17.4,14.9,NA,3,1.53310177699951
191,"Tremie12","sampled_plants_110412",10,11,2.63333333333333,0.953911352016796,20.9718,1.2884,21.3848,21.3751,NA,3,1.71818488877458
194,"Tremie12","sampled_plants_120612",10,11,3,8.89762413867656,NA,NA,NA,NA,NA,NA,1.59736966966151
205,"Tremie12","sampled_plants_090512",11,11,3,4.14274555570447,23.3,1.4,24.2,23.9,NA,1,1.53198241297012
211,"Tremie12","sampled_plants_110412",11,11,2.63333333333333,1.75712517195125,21.1809,1.5296,25.1301,25.1009,NA,1,1.60385252572731
215,"Tremie12","sampled_plants_120612",11,11,3,8.69762413867656,NA,NA,NA,NA,NA,NA,1.61457551547395
227,"Tremie12","sampled_plants_090512",12,11,3,4.35230413486541,23.8,1.3,23,21.6,NA,2,1.56223384759867
233,"Tremie12","sampled_plants_110412",12,11,2.63333333333333,0.267300957699522,15.5592,1.2785,15.2927,15.2919,NA,3,1.51871723718102
238,"Tremie12","sampled_plants_120612",12,11,3,8.29762413867656,NA,NA,NA,NA,NA,NA,1.59009835791501
250,"Tremie12","sampled_plants_090512",13,11,3,2.73591135520805,25.1,1.6,31.1,31,NA,1,1.55889077144225
23,"Tremie12","sampled_plants_090512",2,11,3,3.9145635749682,22.5,1.6,26.4,25.8,NA,2,1.55158113673415
256,"Tremie12","sampled_plants_110412",13,11,2.63333333333333,0.486352418244573,19.6807,1.2659,20.6972,20.6947,NA,3,1.59878984457031
261,"Tremie12","sampled_plants_120612",13,11,3,8.69762413867656,NA,NA,NA,NA,NA,NA,1.56275855722034
271,"Tremie12","sampled_plants_090512",14,11,3,4.53370761795977,26.7,1.5,30.1,26.3,NA,2,1.63181192701115
277,"Tremie12","sampled_plants_110412",14,11,2.63333333333333,-0.0189370816242018,9.9743,0.5409,3.7682,3.7681,NA,3,1.59714982130644
281,"Tremie12","sampled_plants_120612",14,11,3,9.39762413867656,NA,NA,NA,NA,NA,NA,1.60256492307831
294,"Tremie12","sampled_plants_090512",15,11,3,3.9145635749682,23.9,1.5,24.5,23.9,NA,2,1.55704593054474
29,"Tremie12","sampled_plants_110412",2,11,2.63333333333333,1.81868881320081,25.2078,1.328,23.6352,23.1645,NA,1,1.48989020841916
300,"Tremie12","sampled_plants_110412",15,11,2.63333333333333,1.23730991911759,24.7097,1.6859,32.0856,32.0738,NA,1,1.55598497053094
305,"Tremie12","sampled_plants_120612",15,11,3,9.49762413867656,NA,NA,NA,NA,NA,NA,1.56913128487628
314,"Tremie12","sampled_plants_090512",16,11,3,3.65890355275491,23.8,1.7,28.6,27.4,NA,2,1.56680227010617
320,"Tremie12","sampled_plants_110412",16,11,2.63333333333333,1.00000093647236,25.2217,1.4515,28.8402,28.8095,NA,1,1.63920015261663
324,"Tremie12","sampled_plants_120612",16,11,3,8.89762413867656,NA,NA,NA,NA,NA,NA,1.56463737981163
335,"Tremie12","sampled_plants_090512",17,11,3,3.50895873340186,19.3,1.5,22.8,22.7,NA,1,1.54538941961974
33,"Tremie12","sampled_plants_120612",2,11,3,8.89762413867656,NA,NA,NA,NA,NA,NA,1.50394463272459
341,"Tremie12","sampled_plants_110412",17,11,2.63333333333333,1.5565845964591,21.8069,1.5657,26.8379,26.4928,NA,1,1.65071666418419
345,"Tremie12","sampled_plants_120612",17,11,3,8.89762413867656,NA,NA,NA,NA,NA,NA,1.60942347304689
357,"Tremie12","sampled_plants_090512",18,11,3,3.50632438724415,22.7,1.7,30.3,29.9,NA,1,1.529927445568
363,"Tremie12","sampled_plants_110412",18,11,2.63333333333333,1.1585488837578,22.4921,1.8552,31.6841,31.5926,NA,1,1.53801741883254
367,"Tremie12","sampled_plants_120612",18,11,3,8.89762413867656,NA,NA,NA,NA,NA,NA,1.60120391666036
379,"Tremie12","sampled_plants_090512",19,11,3,3.53505337986113,22.7,1.7,30.4,30.1,NA,1,1.57547061323053
384,"Tremie12","sampled_plants_120612",19,11,3,9.49762413867656,NA,NA,NA,NA,NA,NA,1.59034673543643
396,"Tremie12","sampled_plants_090512",20,11,3,4.38690412731845,22.2,1.6,24.6,23.3,NA,2,1.47274939124776
401,"Tremie12","sampled_plants_120612",20,11,3,8.99762413867656,NA,NA,NA,NA,NA,NA,1.61410928046524
413,"Tremie12","sampled_plants_090512",21,11,3,3.9145635749682,21,1.7,27.4,27.1,NA,1,1.56546764000664
419,"Tremie12","sampled_plants_120612",21,11,3,8.89762413867656,NA,NA,NA,NA,NA,NA,1.49394585658965
40,"Tremie12","sampled_plants_090512",3,12,2,2.75555576574321,23.3,1.3,22.9,22.7,NA,2,1.58743370052777
431,"Tremie12","sampled_plants_090512",22,12,2,3.34692451729029,21.6,1.6,27,27,NA,1,1.57850855823988
442,"Tremie12","sampled_plants_120612",22,12,2,7.89762413867656,NA,NA,NA,NA,NA,NA,1.58330369839487
453,"Tremie12","sampled_plants_090512",23,12,2,2.39031950693201,18.5,1.7,22.9,22.9,NA,1,1.52548540571443
459,"Tremie12","sampled_plants_110412",23,12,1.63333333333333,0.428446469475579,15.5576,1.3323,16.3906,16.3603,NA,3,1.29645011644965
463,"Tremie12","sampled_plants_120612",23,12,2,7.79762413867656,NA,NA,NA,NA,NA,NA,1.63555804787843
478,"Tremie12","sampled_plants_120612",24,12,2,7.89762413867656,NA,NA,NA,NA,NA,NA,1.58938514758344
493,"Tremie12","sampled_plants_120612",25,12,2,8.19762413867656,NA,NA,NA,NA,NA,NA,1.57744343353246
506,"Tremie12","sampled_plants_110412",26,12,1.63333333333333,0.115075752780378,10.5428,1.1419,8.3421,8.3396,NA,3,1.52812422063863
51,"Tremie12","sampled_plants_120612",3,12,2,7.59762413867656,NA,NA,NA,NA,NA,NA,1.50325574089696
510,"Tremie12","sampled_plants_120612",26,12,2,7.89762413867656,NA,NA,NA,NA,NA,NA,1.58145677781687
520,"Tremie12","sampled_plants_110412",27,12,1.63333333333333,-0.486816988166463,NA,NA,NA,NA,NA,NA,1.56970855127732
525,"Tremie12","sampled_plants_120612",27,12,2,8.09762413867656,NA,NA,NA,NA,NA,NA,1.61638788531614
539,"Tremie12","sampled_plants_120612",28,12,2,8.59762413867656,NA,NA,NA,NA,NA,NA,1.5707963267949
553,"Tremie12","sampled_plants_120612",29,12,2,8.29762413867656,NA,NA,NA,NA,NA,NA,1.58222658260964
566,"Tremie12","sampled_plants_120612",30,12,2,8.39762413867656,NA,NA,NA,NA,NA,NA,1.54475761646207
57,"Tremie12","sampled_plants_090512",4,12,2,3.34230490142793,20.6,1.5,25.6,25.1,NA,1,1.57512877204009
66,"Tremie12","sampled_plants_120612",4,12,2,7.69762413867656,NA,NA,NA,NA,NA,NA,1.59547823352358
79,"Tremie12","sampled_plants_090512",5,12,2,3.30984917237782,25,1.4,27.3,27.1,NA,2,1.61020390224638
7,"Tremie12","sampled_plants_090512",1,12,2,2.51664238918542,17.4,1.6,19,19,NA,1,1.56625132513994
89,"Tremie12","sampled_plants_120612",5,12,2,8.49762413867656,NA,NA,NA,NA,NA,NA,1.616850088236
101,"Tremie12","sampled_plants_090512",6,12,2,2.63947850432584,21.9,1.7,29.8,29.6,NA,1,1.51702462927898
106,"Tremie12","sampled_plants_110412",6,12,1.63333333333333,1.185083685306,20.3197,1.3856,19.8961,19.8814,NA,3,1.40328235765788
110,"Tremie12","sampled_plants_120612",6,12,2,7.69762413867656,NA,NA,NA,NA,NA,NA,1.63072778769601
122,"Tremie12","sampled_plants_090512",7,12,2,2.53008366487996,23.8,1.6,29.1,29,NA,1,1.56309619288848
13,"Tremie12","sampled_plants_110412",1,12,1.63333333333333,-0.0751742703192733,5.8086,0.22117,0.77821,0.77821,NA,3,1.57859093937739
133,"Tremie12","sampled_plants_120612",7,12,2,7.69762413867656,NA,NA,NA,NA,NA,NA,1.60498647579416
144,"Tremie12","sampled_plants_090512",8,12,2,3.44409223607114,25.9,1.8,36.5,36.2,NA,2,1.50526178180536
150,"Tremie12","sampled_plants_110412",8,12,1.63333333333333,-0.720737377731506,NA,NA,NA,NA,NA,NA,1.54345402182571
154,"Tremie12","sampled_plants_120612",8,12,2,7.69762413867656,NA,NA,NA,NA,NA,NA,1.55918618448958
165,"Tremie12","sampled_plants_090512",9,12,2,2.92778752519454,17.2,1.5,19.7,19.6,NA,1,1.56601376895701
18,"Tremie12","sampled_plants_120612",1,12,2,8.59762413867656,NA,NA,NA,NA,NA,NA,1.61562552363292
171,"Tremie12","sampled_plants_110412",9,12,1.63333333333333,0.673398516203566,16.1121,1.2096,15.6913,15.6904,NA,3,1.53487991375034
175,"Tremie12","sampled_plants_120612",9,12,2,7.69762413867656,NA,NA,NA,NA,NA,NA,1.53063822417515
186,"Tremie12","sampled_plants_090512",10,12,2,3.98925691408692,24.3,1.6,30.2,29.7,NA,1,1.53310177699951
195,"Tremie12","sampled_plants_120612",10,12,2,7.89762413867656,NA,NA,NA,NA,NA,NA,1.59736966966151
206,"Tremie12","sampled_plants_090512",11,12,2,3.14274555570447,20.5,1.3,20.2,20.1,NA,2,1.53198241297012
