Date	var	Rep	N	axe	Nflig	Nfvis	fertile	Daxe_mm	Hcol	sheath_length_F8	sheath_length_F9	sheath_length_F10	sheath_length_F11	sheath_length_F12	sheath_length_F13	internode_length_F1	internode_length_F2	internode_length_F3	internode_length_F4	internode_length_F5	internode_length_F6	internode_length_F7	internode_length_F8	internode_length_F9	internode_length_F10	internode_length_F11	internode_length_F12	internode_length_F13	lped	Wped_mm
12/07/2012	Tremie	2	12	MB	12	0	oui	4,93	65	13	13,8	13,2	13,5	15,6									2,8	5,3	8	14,5	19,2		22,2	2,74
12/07/2012	Tremie	2	12	Tx			oui	5,02	72							3,5	7	11,8	15,2	19,1									20,8	2,5
12/07/2012	Tremie	2	12	Tx			oui	4,73	69							3,7	6,5	11	15,2	19,1									28,5	2,76
12/07/2012	Tremie	2	13	MB	12	0	oui	4,3	58,5		11,2	12,1	12,8	14,5									2	2,8	8,1	13,4	17		22,2	2,28
12/07/2012	Tremie	2	13	Tx			oui	4,82	65,4							3	4,7	8,2	15,8	18,4									26,5	2,76
12/07/2012	Tremie	2	13	Tx			oui	4,13	60,5							1,6	4,7	8,8	15	18,4									22	2,01
12/07/2012	Tremie	2	13	Tx			oui	4,22	62							2,5	3,8	9,8	14,6	19									26,5	1,85
12/07/2012	Tremie	2	14	MB	12	0	oui	4,68	56,5		13,7	11,8	14,7	15,8									0	4,2	6,2	14	17		26,8	2,67
12/07/2012	Tremie	2	14	Tx			oui	4,5	68							1,8	4,8	12,1	15,3	19,3									25	2,65
12/07/2012	Tremie	2	15	MB	12	0	oui	5,72	59	9,6	12,8	12,2	15,7	16,4									2,6	3,6	6	12	18,5		26,5	3,31
12/07/2012	Tremie	2	15	Tx			oui	4,6	63,6							1	4,7	10,8	13,3	19,5									23	2,32
12/07/2012	Tremie	2	15	Tx			oui	4,8	73,3							1,8	3,2	16	17	20,2									21,8	2,39
12/07/2012	Tremie	2	16	MB	12	0	oui	5,28	61		13,2	12,6	13,4	15,3									1,6	3,8	7,2	13,8	19,2		24	2,71
12/07/2012	Tremie	2	16	Tx			oui	4,9	59							2	3,8	5	13,7	19,6									27,5	2,9
12/07/2012	Tremie	2	16	Tx			oui	4,5	67,7							1,7	7,4	11,8	14	18,2									21,6	2,12
12/07/2012	Tremie	2	17	MB	13	0	oui	5,32	61,7			11,4	12,5	14	16								0	1,1	1,7	8	16,1	19,4	27	2,66
12/07/2012	Tremie	2	17	Tx			oui	4,73	72,5							1,1	7,8	13	15,7	20,6									19,8	2,28
12/07/2012	Tremie	2	18	MB	13	0	oui	4,86	55			10,3	11,8	13	15,3									1,5	2	6,9	12	18,2	28	2,73
12/07/2012	Tremie	2	19	MB	13	0	oui	4,8	71,6		13,8	11,8	12,6	14	15,3								1	2	3,7	13,7	16,2	20	22,3	2,66
12/07/2012	Tremie	2	19	Tx			oui	3,75	54							0,7	1,7	10,1	11	16,7									24,2	2,24
12/07/2012	Tremie	2	19	Tx			oui	4,33	62							1,7	1,8	10,1	11	16,7									23,3	2,42
12/07/2012	Tremie	2	19	Tx			oui	5,01	57,3							0,7	1,8	9	13	17,5									22	2,35
12/07/2012	Tremie	2	20	MB	12	0	oui	5,69	60	9	13	13,7	15,2	16,4									1	3	6,7	14,4	18,8		25	2,68
12/07/2012	Tremie	2	20	Tx			oui	5,03	74							2	2,7	8	13,2	15,1	19,1								21	2,48
12/07/2012	Tremie	2	20	Tx			oui	4,65	62,5							1,5	4,2	10	14,5	18,4									27,8	2,9
12/07/2012	Tremie	3	21	MB	13	0	oui	5,23	71,3		13,6	10,8	14	14,2	16,2								1,3	2,8	4	12,2	15,7	19,2	22	2,34
12/07/2012	Tremie	3	21	Tx			oui	5,16	72,2							1,1	2,6	6,3	12,8	14,7	18,8								23	2,44
12/07/2012	Tremie	3	21	Tx			oui	5,14	70,2							1,5	4,2	132	15,6	19,22									25	3,21
12/07/2012	Tremie	3	21	Tx			oui	3,67	65,8							0,7	5,5	13,3	14	18,2									22,5	1,77
12/07/2012	Tremie	3	22	MB	13	0	oui	5,08			13,5	12,2	15,1	15,5	16,8										5,4	10,4	16	18	19	3,02
12/07/2012	Tremie	3	22	Tx			oui	4,43	60							2,5	8,7	13,7	18,7										23,2	2,26
12/07/2012	Tremie	3	22	Tx			oui	4,9																					25,2	2,35
12/07/2012	Tremie	3	22	Tx			oui	4,7	67,3							1	4,3	11,5	15,5	19,2									23,5	2,83
12/07/2012	Tremie	3	22	Tx			oui	3,42	61							1	7	10,3	12,6	16,2									21,5	1,6
12/07/2012	Tremie	3	23	MB	12	0	oui	6,05	60,3	10,5	13,3	12,2	15,7	17,5									1,8	3,4	5,3	14	18,7		25	2,97
12/07/2012	Tremie	3	23	Tx			oui	4,99	65							1,5	3,3	8	16,5	18,7									28,5	3,01
12/07/2012	Tremie	3	23	Tx			oui	4,19	61							1	3,7	10,3	13,6	17,2									24	2,46
12/07/2012	Tremie	3	23	Tx			oui	5,14	68,7							2,5	5	10,6	16	18,3									23,2	2,63
12/07/2012	Tremie	3	23	Tx			oui	3,86	59,3							2,5	11,2	12,5	18,1										23	2,34
12/07/2012	Tremie	3	24	MB	13	0	oui	5,31	65	10	10,8	11	13	13,8	16								1,4	2,3	2,6	8,3	14,7	19,2	26,7	2,53
12/07/2012	Tremie	3	24	Tx			oui	4,5	57							2,7	8,8	12	18,8										23	2,11
12/07/2012	Tremie	3	25	MB	13	0	oui	5,26	76		11,2	12,1	14,1	15,8	14,8								1,5	2,8	3,2	12,3	17,5	24,2	13,5	2,04
12/07/2012	Tremie	3	25	Tx			oui	4,13	64,5							3,6	13	13,3	18,5										22,5	2,29
12/07/2012	Tremie	3	25	Tx			oui	4,11	74,2							1,5	11,6	12,4	14	20,6									23,3	2,41
12/07/2012	Tremie	3	25	Tx			oui	4,4	66							1,5	2	11,3	14,4	19,3									26,2	2,62
12/07/2012	Tremie	3	26	MB	13	0	oui	4,49	62,7	6,8	9,7	10,2	11,8	13,5	15,2								0	0	2	10,8	13,6	19,8	23,7	2,6
12/07/2012	Tremie	3	26	Tx			oui	4,8	53,5							2	7	13,3	17,7										16,7	1,8
12/07/2012	Tremie	3	26	Tx			oui	4,2	66,8							1	3,3	12,5	14	20,5									23,3	2,4
12/07/2012	Tremie	3	27	MB	13	0	oui	5,5	77,5			13,2	13,5	14,5	16								1,8	3,5	6,6	12,5	16,2	20,5	16	2,37
12/07/2012	Tremie	3	27	Tx			oui	4,83	71,7							1,7	3	7,4	9,3	15,1	19,6								25	2,6
12/07/2012	Tremie	3	28	MB	13	0	oui	5,57	73,5	9,2	12,2	12,1	14,8	15,3	17								0,7	2,7	7	10,2	15	21	24	2,61
12/07/2012	Tremie	3	28	Tx			oui	4,6	70,6							1	6,3	11,7	14,6	21,2									23,5	2,52
12/07/2012	Tremie	3	29	MB	13	0	oui	4,95	72	8,7	9,6	11,1	12,3	13,5	15								1,8	2,1	6,2	11,7	15,8	20	22	2,51
12/07/2012	Tremie	3	29	Tx			oui	3,5	57,5							1	8,8	13,3	19,2										23,4	2,07
12/07/2012	Tremie	3	30	MB	13	0	oui	4,76	69,2	8,8	12,2	11,5	13,2	14	15,5								0	3	5,6	10,8	14,7	19,5	22,5	2,6
12/07/2012	Tremie	3	30	Tx			oui	5,04	64,3							1,8	3,2	9,5	15,5	19,4									24	2,62
