Date;var;Image;ID_Plant;ID_Axis;Organ;ID_Metamer_top;XY;Pt1;Pt2;Pt3;Pt4;Pt5;Pt6;Pt7;Pt8;Pt9;Pt10;Pt11;Pt12;Pt13;Pt14;Pt15;Pt16;Pt17;Pt18
29/04/2013;Tremie;P1040969;10;1;2;4;0;5,71;5,37;4,81;3,47;2,69;2,35;1,57;0,45;0;;;;;;;;;
29/04/2013;Tremie;P1040969;10;1;2;4;1;11,4;13,1;15,35;17,39;18,85;20,21;21,22;22,02;22,47;;;;;;;;;
29/04/2013;Tremie;P1040969;11;2;0;0;0;30,45;30,9;30,9;30,9;30,9;30,9;30,78;30,9;;;;;;;;;;
29/04/2013;Tremie;P1040969;11;2;0;0;1;0,79;3,73;6,89;10,73;14,34;17,5;19,64;21,56;;;;;;;;;;
29/04/2013;Tremie;P1040969;11;2;2;1;0;31,01;30,78;31,01;31,01;31,01;30,67;30,67;30,34;;;;;;;;;;
29/04/2013;Tremie;P1040969;11;2;2;1;1;20,55;22,81;26,19;28,34;30,48;32,63;34,43;36,8;;;;;;;;;;
29/04/2013;Tremie;P1040969;11;2;2;2;0;30,78;30,9;30,78;30,56;29,89;29,22;27,99;26,87;25,63;24,18;22,95;21,38;;;;;;
29/04/2013;Tremie;P1040969;11;2;2;2;1;20,1;24,61;27,55;30,03;33,19;35;35,79;37,48;38,84;39,51;40,64;41,43;;;;;;
29/04/2013;Tremie;P1040969;11;2;2;3;0;30,78;30,22;29,1;27,99;27,09;26,19;25,19;24,07;23,4;;;;;;;;;
29/04/2013;Tremie;P1040969;11;2;2;3;1;13,66;15,13;17,16;19,08;20,89;22,47;24,05;25,74;25,97;;;;;;;;;
29/04/2013;Tremie;P1040969;11;2;2;4;0;30,9;31,9;33,47;34,59;35,6;35,93;;;;;;;;;;;;
29/04/2013;Tremie;P1040969;11;2;2;4;1;6,89;8,02;9,37;9,94;9,82;9,48;;;;;;;;;;;;
29/04/2013;Tremie;P1040969;12;3;0;0;0;55,08;55,19;55,19;54,96;55,3;55,3;55,19;55,08;55,08;;;;;;;;;
29/04/2013;Tremie;P1040969;12;3;0;0;1;0;2,94;5,98;10,61;14,9;17,95;21,45;23,82;24,27;;;;;;;;;
29/04/2013;Tremie;P1040969;12;3;2;1;0;55,19;54,85;53,96;53,51;52,72;52,28;;;;;;;;;;;;
29/04/2013;Tremie;P1040969;12;3;2;1;1;22,92;25,06;28,34;30,71;32,63;33,53;;;;;;;;;;;;
29/04/2013;Tremie;P1040969;12;3;2;2;0;55,19;55,19;55,08;55,19;54,85;54,85;54,52;53,73;52,61;;;;;;;;;
29/04/2013;Tremie;P1040969;12;3;2;2;1;22,58;25,97;29,35;32,18;35,68;38,16;40,19;41,89;43,92;;;;;;;;;
29/04/2013;Tremie;P1040969;12;3;2;3;0;54,74;55,3;56,08;56,08;56,42;56,31;56,98;57,31;58,1;;;;;;;;;
29/04/2013;Tremie;P1040969;12;3;2;3;1;17,95;19,42;22,35;24,84;27,77;30,26;32,4;34,21;34,66;;;;;;;;;
29/04/2013;Tremie;P1040969;12;3;2;4;0;55,08;54,07;53,06;52,05;50,71;49,7;48,25;46,12;;;;;;;;;;
29/04/2013;Tremie;P1040969;12;3;2;4;1;11,85;12,87;14,9;16,6;18,63;19,87;21,34;22,35;;;;;;;;;;
29/04/2013;Tremie;P1040972;13;1;0;0;0;8,68;8,45;8,11;8,11;8,23;8,23;8,45;8,57;8,57;8,9;8,57;;;;;;;
29/04/2013;Tremie;P1040972;13;1;0;0;1;0,11;1,72;3,33;5,16;7,23;10,44;12,85;15,49;17,67;19,39;21,92;;;;;;;
29/04/2013;Tremie;P1040972;13;1;2;1;0;8,57;8,57;8,68;9,02;9,24;9,69;9,58;9,24;9,02;8,57;8,23;8,34;;;;;;
29/04/2013;Tremie;P1040972;13;1;2;1;1;21,34;24,1;25,93;27,77;29,95;31,79;33,85;35,69;38,1;39,93;41,88;43,26;;;;;;
29/04/2013;Tremie;P1040972;13;1;2;2;0;8,68;7,89;7,66;7,1;6,65;5,97;4,96;;;;;;;;;;;
29/04/2013;Tremie;P1040972;13;1;2;2;1;20,54;23,18;26,51;29,38;31,56;35;37,75;;;;;;;;;;;
29/04/2013;Tremie;P1040972;13;1;2;3;0;8,34;8,68;9,58;10,59;11,38;12,17;12,74;13,07;13,52;14,65;;;;;;;;
29/04/2013;Tremie;P1040972;13;1;2;3;1;12,97;14,11;15,61;17,33;19,05;20,77;22,26;23,41;24,79;25,47;;;;;;;;
29/04/2013;Tremie;P1040972;13;1;2;4;0;7,66;7,21;6,09;4,62;3,04;1,69;0;;;;;;;;;;;
29/04/2013;Tremie;P1040972;13;1;2;4;1;7;8,84;10,44;11,82;13,2;14,23;15,49;;;;;;;;;;;
29/04/2013;Tremie;P1040972;14;2;0;0;0;35,05;34,71;34,49;34,37;34,04;34,15;34,15;34,15;33,92;;;;;;;;;
29/04/2013;Tremie;P1040972;14;2;0;0;1;0;1,72;4,7;6,77;11,02;13,31;15,15;17,21;19,16;;;;;;;;;
29/04/2013;Tremie;P1040972;14;2;2;1;0;33,7;33,7;33,36;33,25;33,36;33,25;33,25;32,91;33,25;;;;;;;;;
29/04/2013;Tremie;P1040972;14;2;2;1;1;19,85;21,8;25,59;28,23;30,41;32,93;34,88;37,41;38,67;;;;;;;;;
29/04/2013;Tremie;P1040972;14;2;2;2;0;33,92;33,81;33,13;32,91;33,25;33,36;33,25;33,36;33,25;33,7;;;;;;;;
29/04/2013;Tremie;P1040972;14;2;2;2;1;17,79;19,05;20,88;23,06;25,25;27,54;30,41;31,67;33,85;35,23;;;;;;;;
29/04/2013;Tremie;P1040972;14;2;2;3;0;34,26;34,49;35,05;36,18;37,19;37,98;38,99;40,01;40,68;;;;;;;;;
29/04/2013;Tremie;P1040972;14;2;2;3;1;12,62;14,11;15,61;18,47;20,66;22,95;25,13;26,16;26,85;;;;;;;;;
29/04/2013;Tremie;P1040972;14;2;2;4;0;34,15;33,47;32,23;31,11;28,96;27,95;25,81;24,79;;;;;;;;;;
29/04/2013;Tremie;P1040972;14;2;2;4;1;8,61;9,87;10,67;11,13;12,74;13,2;13,77;14,34;;;;;;;;;;
29/04/2013;Tremie;P1040972;14;2;2;5;0;34,6;34,94;35,5;36,29;37,3;38,54;39,56;40,57;41,47;;;;;;;;;
29/04/2013;Tremie;P1040972;14;2;2;5;1;3,79;4,59;4,59;4,25;4,25;4,59;5,16;5,74;7,11;;;;;;;;;
29/04/2013;Tremie;P1040972;15;3;0;0;0;58,72;58,27;57,93;57,7;58,15;58,15;58,15;58,15;58,15;58,38;;;;;;;;
29/04/2013;Tremie;P1040972;15;3;0;0;1;0;1,61;3,33;5,97;9,07;12,28;14,57;17,9;19,85;24,79;;;;;;;;
29/04/2013;Tremie;P1040972;15;3;2;1;0;58,27;58,6;59,05;59,05;58,94;58,83;58,6;58,27;57,7;;;;;;;;;
29/04/2013;Tremie;P1040972;15;3;2;1;1;23,64;25,82;29,15;32,59;35,92;39,59;42,34;44,87;45,79;;;;;;;;;
29/04/2013;Tremie;P1040972;15;3;2;2;0;58,6;58,04;57,48;56,8;56,69;56,8;56,8;56,8;56,8;;;;;;;;;
29/04/2013;Tremie;P1040972;15;3;2;2;1;21,69;22,72;25,36;27,65;30,18;32,93;35,46;37,87;40,16;;;;;;;;;
29/04/2013;Tremie;P1040972;15;3;2;3;0;58,15;58,94;60,07;61,76;63,11;63,79;64,8;66,15;;;;;;;;;;
29/04/2013;Tremie;P1040972;15;3;2;3;1;13,66;15,26;17,44;19,51;21,34;23,29;24,56;25,25;;;;;;;;;;
29/04/2013;Tremie;P1040972;15;3;2;4;0;58,04;57,59;56,24;55,34;54,43;53,42;51,5;;;;;;;;;;;
29/04/2013;Tremie;P1040972;15;3;2;4;1;6,43;7,69;9,64;11,13;12,39;13,88;15,26;;;;;;;;;;;
29/04/2013;Tremie;P1040974;16;1;0;0;0;7,04;7,04;6,82;6,49;6,05;6,16;5,94;6,16;5,94;6,05;;;;;;;;
29/04/2013;Tremie;P1040974;16;1;0;0;1;0,81;2,91;5,8;9,79;13,67;17,11;19,99;21,1;23,43;24,31;;;;;;;;
29/04/2013;Tremie;P1040974;16;1;2;1;0;6,05;6,05;5,83;5,72;5,72;;;;;;;;;;;;;
29/04/2013;Tremie;P1040974;16;1;2;1;1;23,87;25,31;26,86;28,64;30,08;;;;;;;;;;;;;
29/04/2013;Tremie;P1040974;16;1;2;2;0;5,94;5,72;5,5;5,28;5,39;5,39;5,39;5,72;5,61;5,72;5,17;;;;;;;
29/04/2013;Tremie;P1040974;16;1;2;2;1;22,98;24,87;28,86;31,41;33,74;36,4;38,84;41,05;43,83;44,93;45,38;;;;;;;
29/04/2013;Tremie;P1040974;16;1;2;3;0;5,94;6,49;7,04;7,37;7,37;8,03;8,58;9,46;10,78;;;;;;;;;
29/04/2013;Tremie;P1040974;16;1;2;3;1;20,32;22,98;25,31;27,75;30,74;33,18;35,29;37,06;38,17;;;;;;;;;
29/04/2013;Tremie;P1040974;16;1;2;4;0;6,38;5,72;4,51;3,74;2,64;2,09;0;;;;;;;;;;;
29/04/2013;Tremie;P1040974;16;1;2;4;1;11,56;13,56;16;18,66;20,65;22,87;25,2;;;;;;;;;;;
29/04/2013;Tremie;P1040974;16;1;2;5;0;6,82;7,15;7,04;7,59;8,25;8,36;6,6;;;;;;;;;;;
29/04/2013;Tremie;P1040974;16;1;2;5;1;7,24;8,24;9,79;11,78;13,11;14,78;16,88;;;;;;;;;;;
29/04/2013;Tremie;P1040974;17;2;0;0;0;30,91;30,36;29,7;30,03;29,92;30,25;30,25;30,58;30,58;30,47;;;;;;;;
29/04/2013;Tremie;P1040974;17;2;0;0;1;0,59;3,14;5,35;7,57;10,23;12,56;14,33;17,99;19,77;20,99;;;;;;;;
29/04/2013;Tremie;P1040974;17;2;2;1;0;30,69;30,69;31,13;31,13;31,02;;;;;;;;;;;;;
29/04/2013;Tremie;P1040974;17;2;2;1;1;20,99;22,21;24,65;27,2;28,19;;;;;;;;;;;;;
29/04/2013;Tremie;P1040974;17;2;2;2;0;30,47;30,69;30,8;30,69;30,69;30,69;30,8;31,02;30,91;;;;;;;;;
29/04/2013;Tremie;P1040974;17;2;2;2;1;20,54;22,98;26,42;29,08;31,3;34,07;35,73;39,72;42,38;;;;;;;;;
29/04/2013;Tremie;P1040974;17;2;2;3;0;30,69;31,46;32,34;33,99;35,2;35,97;37,18;37,95;38,72;;;;;;;;;
29/04/2013;Tremie;P1040974;17;2;2;3;1;18,55;20,88;23,09;25,86;27,86;29,19;30,52;31,41;32,52;;;;;;;;;
29/04/2013;Tremie;P1040974;17;2;2;4;0;30,03;29,37;28,71;27,61;26,73;24,64;;;;;;;;;;;;
29/04/2013;Tremie;P1040974;17;2;2;4;1;10,79;12,56;14,56;16,77;18,44;20,76;;;;;;;;;;;;
29/04/2013;Tremie;P1040974;17;2;2;5;0;30,03;30,14;31,13;33,33;35,64;37,84;38,94;40,04;;;;;;;;;;
29/04/2013;Tremie;P1040974;17;2;2;5;1;4,91;5,91;6,13;6,24;6,35;6,35;6,35;4,8;;;;;;;;;;
29/04/2013;Tremie;P1040974;18;3;0;0;0;55,3;55,47;55,47;55,38;55,38;55,38;55,56;55,65;;;;;;;;;;
29/04/2013;Tremie;P1040974;18;3;0;0;1;0;2,56;5,92;9,54;11,49;14,49;16,79;19,62;;;;;;;;;;
29/04/2013;Tremie;P1040974;18;3;2;1;0;55,73;56;56,35;56,96;57,05;56,96;56,96;56,17;;;;;;;;;;
29/04/2013;Tremie;P1040974;18;3;2;1;1;20,23;23,41;25,36;28,01;31,28;34,02;35,43;37,82;;;;;;;;;;
29/04/2013;Tremie;P1040974;18;3;2;2;0;55,73;55,82;55,65;55,47;55,65;55,73;55,91;56,61;56,61;;;;;;;;;
29/04/2013;Tremie;P1040974;18;3;2;2;1;18,82;21,47;23,94;26,33;27,92;30,48;32,96;34,11;34,64;;;;;;;;;
29/04/2013;Tremie;P1040974;18;3;2;3;0;55,56;56,17;57,49;59,15;61,17;63,18;65,03;65,81;;;;;;;;;;
29/04/2013;Tremie;P1040974;18;3;2;3;1;11,66;12,81;13,7;14,4;14,84;15,37;15,73;16,26;;;;;;;;;;
29/04/2013;Tremie;P1040974;18;3;2;4;0;55,38;54,42;53,19;52,32;51,44;50,65;49,42;49,07;;;;;;;;;;
29/04/2013;Tremie;P1040974;18;3;2;4;1;5,39;6,72;7,69;9,1;9,37;9,37;8,75;8,22;;;;;;;;;;
29/04/2013;Tremie;P1040974;18;3;2;5;0;55,3;56,08;57,57;59,42;60,03;60,12;;;;;;;;;;;;
29/04/2013;Tremie;P1040974;18;3;2;5;1;2,03;2,03;1,94;1,86;2,39;3,45;;;;;;;;;;;;
29/04/2013;Tremie;P1040976;19;1;0;0;0;9,93;10,61;10,51;10,22;10,22;9,55;9,07;8,87;8,68;;;;;;;;;
29/04/2013;Tremie;P1040976;19;1;0;0;1;0,11;2,89;5,87;8,85;11,63;14,9;22,3;24,12;24,98;;;;;;;;;
29/04/2013;Tremie;P1040976;19;1;2;1;0;8,97;8,87;8,58;8,97;8,78;8,97;8,87;9,16;;;;;;;;;;
29/04/2013;Tremie;P1040976;19;1;2;1;1;24,02;26,81;29,4;32,28;37,76;41,31;44,29;46,88;;;;;;;;;;
29/04/2013;Tremie;P1040976;19;1;2;2;0;9,16;8,1;6,85;5,69;4,92;4,05;3,09;1,54;0;;;;;;;;;
29/04/2013;Tremie;P1040976;19;1;2;2;1;22,49;24,6;28,15;30,75;33,44;36,13;38,05;39,3;39,68;;;;;;;;;
29/04/2013;Tremie;P1040976;19;1;2;3;0;9,74;10,13;10,9;11,67;12,34;13,21;14,76;;;;;;;;;;;
29/04/2013;Tremie;P1040976;19;1;2;3;1;14,9;17,21;19,8;22,2;24,7;26,33;28,25;;;;;;;;;;;
29/04/2013;Tremie;P1040976;19;1;2;4;0;10,03;9,07;7,81;7,33;7,14;7,23;7,72;;;;;;;;;;;
29/04/2013;Tremie;P1040976;19;1;2;4;1;7,89;9,52;11,44;13,36;14,52;16,53;18,45;;;;;;;;;;;
29/04/2013;Tremie;P1040976;19;1;2;5;0;10,8;10,9;11,48;11,67;11,67;11,19;10,8;;;;;;;;;;;
29/04/2013;Tremie;P1040976;19;1;2;5;1;6,64;8,47;8,27;7,79;6,74;6,06;4,82;;;;;;;;;;;
29/04/2013;Tremie;P1040976;20;2;0;0;0;34,62;35,2;35,3;35,01;34,82;34,91;34,91;34,53;34,43;;;;;;;;;
29/04/2013;Tremie;P1040976;20;2;0;0;1;0,59;2,89;6,06;9,33;13,56;16,34;18,93;21,43;22,78;;;;;;;;;
29/04/2013;Tremie;P1040976;20;2;2;1;0;34,43;34,43;34,14;33,37;32,79;32,5;31,73;31,25;30,77;29,99;29,22;28,74;28,26;;;;;
29/04/2013;Tremie;P1040976;20;2;2;1;1;22,39;24,02;27;30,17;32,86;34,3;36,89;38,43;40,06;41,5;42,37;43,04;43,52;;;;;
