"Source","N","id_Axe","prelevement","rep","rank","stat","lmax","wmax","A_bl","A_bl_green","variety","nff","Nflig","Nfvis","stem_half_area"
"sampled_plants_020412",29,"MB","02/04/2012",3,7,2,13.711,0.77683,7.9315,5.6458,"Tremie12",NA,9,1,NA
"sampled_plants_020412",29,"MB","02/04/2012",3,9,1,20.248,1.2196,20.041,19.9812,"Tremie12",NA,9,1,NA
"sampled_plants_090312",1,"MB","09/03/2012",1,6,2,13.9315,0.54573,5.0584,1.4001,"Tremie12",NA,7,1,NA
"sampled_plants_090312",1,"MB","09/03/2012",1,4,3,8.5598,0.4296,2.49608,0.440935,"Tremie12",NA,7,1,NA
"sampled_plants_090312",1,"MB","09/03/2012",1,5,3,9.9802,0.47348,2.4875,0.60509,"Tremie12",NA,7,1,NA
"sampled_plants_090312",1,"MB","09/03/2012",1,7,2,14.2511,0.80234,7.3933,6.992,"Tremie12",NA,7,1,NA
"sampled_plants_090312",1,"Talle","09/03/2012",1,NA,NA,6.7844,0.19901,0.6405,0.10387,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",1,"Talle","09/03/2012",1,NA,NA,7.8273,0.38592,1.9999,0.73606,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",1,"Talle","09/03/2012",1,NA,NA,10.7986,0.39141,2.5577,0.043656,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",1,"Talle","09/03/2012",1,NA,NA,14.1412,0.55901,3.7118,2.8293,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",1,"Talle","09/03/2012",1,NA,NA,11.0365,0.36733,3.2115,3.1705,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",1,"Talle","09/03/2012",1,NA,NA,7.3288,0.26588,0.90136,0.3286,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",2,"MB","09/03/2012",1,7,3,9.3463,1.1217,9.8117,9.7778,"Tremie12",NA,6,1,NA
"sampled_plants_090312",2,"MB","09/03/2012",1,6,3,1.6719,0.74491,1.1956,1.1627,"Tremie12",NA,6,1,NA
"sampled_plants_090312",2,"MB","09/03/2012",1,4,2,13.1669,0.55288,4.1441,0.054695,"Tremie12",NA,6,1,NA
"sampled_plants_090312",2,"MB","09/03/2012",1,5,3,7.9616,0.49798,2.7632,0.11441,"Tremie12",NA,6,1,NA
"sampled_plants_090312",2,"MB","09/03/2012",1,3,3,5.1301,0.38868,1.5477,0.042509,"Tremie12",NA,6,1,NA
"sampled_plants_090312",2,"Talle","09/03/2012",1,NA,NA,9.3241,0.41725,2.6171,0.27075,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",2,"Talle","09/03/2012",1,NA,NA,5.8491,0.35458,1.6124,0.030466,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",2,"Talle","09/03/2012",1,NA,NA,5.948,0.92615,4.9229,4.8908,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",2,"Talle","09/03/2012",1,NA,NA,3.9522,0.41775,1.2429,1.2409,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",2,"Talle","09/03/2012",1,NA,NA,12.1545,0.39355,3.8702,3.3099,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",2,"Talle","09/03/2012",1,NA,NA,7.2897,0.30373,1.5229,0.51548,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",2,"Talle","09/03/2012",1,NA,NA,11.7179,0.38374,3.2963,1.9596,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",2,"Talle","09/03/2012",1,NA,NA,13.3546,0.52764,5.5578,4.4626,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",2,"Talle","09/03/2012",1,NA,NA,5.9778,0.48721,2.2272,2.2272,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",2,"Talle","09/03/2012",1,NA,NA,8.9297,0.37287,2.2212,0.030179,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",2,"Talle","09/03/2012",1,NA,NA,10.8444,0.5159,3.6661,0.21534,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",2,"Talle","09/03/2012",1,NA,NA,12.9301,0.60684,3.0007,0.69598,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",2,"Talle","09/03/2012",1,NA,NA,4.9066,0.11632,0.33276,0.037634,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",3,"MB","09/03/2012",1,6,3,10.6396,0.49438,3.0765,0.034337,"Tremie12",NA,7,1,NA
"sampled_plants_090312",3,"MB","09/03/2012",1,7,3,6.1288,0.7716,4.4079,4.3675,"Tremie12",NA,7,1,NA
"sampled_plants_090312",3,"MB","09/03/2012",1,4,3,7.1861,0.2149,0.9739,0.036631,"Tremie12",NA,7,1,NA
"sampled_plants_090312",3,"MB","09/03/2012",1,8,3,8.5224,0.89206,5.7199,5.7161,"Tremie12",NA,7,1,NA
"sampled_plants_090312",3,"MB","09/03/2012",1,5,3,7.4339,0.40886,1.734,0.075125,"Tremie12",NA,7,1,NA
"sampled_plants_090312",3,"Talle","09/03/2012",1,NA,NA,7.0898,0.27565,1.1114,0.11892,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",3,"Talle","09/03/2012",1,NA,NA,11.6887,0.34864,3.2779,1.984,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",3,"Talle","09/03/2012",1,NA,NA,9.1261,0.62307,4.4239,4.4105,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",3,"Talle","09/03/2012",1,NA,NA,15.003,0.52176,3.9819,2.814,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",3,"Talle","09/03/2012",1,NA,NA,7.4467,0.20785,0.76057,0.029104,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",3,"Talle","09/03/2012",1,NA,NA,5.4609,0.16037,0.39326,0.050824,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",3,"Talle","09/03/2012",1,NA,NA,8.6035,0.35613,1.8301,0.3671,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",3,"Talle","09/03/2012",1,NA,NA,19.391,0.39192,1.1635,0.024659,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",4,"MB","09/03/2012",1,6,3,5.959,0.75694,4.3335,4.2527,"Tremie12",NA,7,1,NA
"sampled_plants_090312",4,"MB","09/03/2012",1,7,1,12.7459,1.0519,10.536,10.5253,"Tremie12",NA,7,1,NA
"sampled_plants_090312",4,"MB","09/03/2012",1,5,3,12.7902,0.80668,4.0998,0.26115,"Tremie12",NA,7,1,NA
"sampled_plants_090312",4,"MB","09/03/2012",1,8,3,1.2299,0.15355,0.13878,0.13878,"Tremie12",NA,7,1,NA
"sampled_plants_090312",4,"Talle","09/03/2012",1,NA,NA,10.3633,0.44995,2.4363,0.98351,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",4,"Talle","09/03/2012",1,NA,NA,14.424,0.54732,6.1327,4.4753,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",4,"Talle","09/03/2012",1,NA,NA,10.7516,0.44698,2.1671,0.23219,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",4,"Talle","09/03/2012",1,NA,NA,8.5183,0.91453,7.0117,6.9454,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",4,"Talle","09/03/2012",1,NA,NA,5.1503,0.57167,2.1669,2.1669,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",4,"Talle","09/03/2012",1,NA,NA,6.2092,0.27208,0.95878,0.30774,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",4,"Talle","09/03/2012",1,NA,NA,12.8997,0.44651,3.9419,3.8556,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",4,"Talle","09/03/2012",1,NA,NA,8.5295,0.34034,1.8715,1.0567,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",4,"Talle","09/03/2012",1,NA,NA,12.7562,0.41846,4.1248,2.9421,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",4,"Talle","09/03/2012",1,NA,NA,9.4529,0.48367,3.8841,3.8784,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",5,"MB","09/03/2012",1,7,2,14.2779,0.75288,4.8063,3.0188,"Tremie12",NA,7,1,NA
"sampled_plants_090312",5,"MB","09/03/2012",1,8,3,7.3951,0.78338,3.9095,3.878,"Tremie12",NA,7,1,NA
"sampled_plants_090312",5,"MB","09/03/2012",1,4,3,4.8923,0.23394,0.64014,0.057133,"Tremie12",NA,7,1,NA
"sampled_plants_090312",5,"MB","09/03/2012",1,6,2,10.7603,0.38125,2.001,0.053477,"Tremie12",NA,7,1,NA
"sampled_plants_090312",5,"MB","09/03/2012",1,5,3,2.4625,0.42612,0.71821,0.11656,"Tremie12",NA,7,1,NA
"sampled_plants_090312",5,"Talle","09/03/2012",1,NA,NA,11.7587,0.55102,3.8136,2.4847,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",5,"Talle","09/03/2012",1,NA,NA,8.4589,0.32027,1.9558,1.6736,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",5,"Talle","09/03/2012",1,NA,NA,8.1154,0.40777,1.9707,0.36523,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",5,"Talle","09/03/2012",1,NA,NA,3.3794,0.38082,1.0424,0.26753,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",5,"Talle","09/03/2012",1,NA,NA,12.198,0.52446,3.2971,0.063727,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",5,"Talle","09/03/2012",1,NA,NA,5.5068,0.24923,0.98265,0.039857,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",5,"Talle","09/03/2012",1,NA,NA,8.9949,0.34754,0.71677,0.075412,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",5,"Talle","09/03/2012",1,NA,NA,4.3445,0.36701,1.0245,0.37957,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",5,"Talle","09/03/2012",1,NA,NA,3.6777,0.1263,0.34817,0.017921,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",5,"Talle","09/03/2012",1,NA,NA,4.6069,0.33605,1.3845,1.2409,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",5,"Talle","09/03/2012",1,NA,NA,6.0932,0.33688,0.70674,0.02638,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",5,"Talle","09/03/2012",1,NA,NA,11.3459,0.68198,4.3326,3.4616,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",5,"Talle","09/03/2012",1,NA,NA,4.0335,0.61122,1.7422,1.7359,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",6,"MB","09/03/2012",1,3,3,6.1214,0.32529,1.0915,0.028244,"Tremie12",NA,7,1,NA
"sampled_plants_090312",6,"MB","09/03/2012",1,8,3,8.1914,0.96644,7.055,7.0265,"Tremie12",NA,7,1,NA
"sampled_plants_090312",6,"MB","09/03/2012",1,4,3,8.2645,0.46618,2.2704,0.050036,"Tremie12",NA,7,1,NA
"sampled_plants_090312",6,"MB","09/03/2012",1,5,3,9.615,0.49122,2.5214,0.26351,"Tremie12",NA,7,1,NA
"sampled_plants_090312",6,"MB","09/03/2012",1,7,3,2.8606,0.93193,2.4348,2.3948,"Tremie12",NA,7,1,NA
"sampled_plants_090312",6,"MB","09/03/2012",1,6,2,14.8389,0.70385,7.6266,3.2044,"Tremie12",NA,7,1,NA
"sampled_plants_090312",6,"Talle","09/03/2012",1,NA,NA,9.8967,0.36119,1.8501,0.10201,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",6,"Talle","09/03/2012",1,NA,NA,14.2976,0.67621,4.585,2.1135,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",6,"Talle","09/03/2012",1,NA,NA,5.3158,0.65641,2.3016,2.1466,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",6,"Talle","09/03/2012",1,NA,NA,2.2728,0.60762,1.2755,1.2039,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",6,"Talle","09/03/2012",1,NA,NA,10.0079,0.65131,3.4125,1.0887,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",6,"Talle","09/03/2012",1,NA,NA,6.6556,0.28039,1.2996,0.36,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",6,"Talle","09/03/2012",1,NA,NA,12.8248,0.36971,3.8433,3.2057,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",6,"Talle","09/03/2012",1,NA,NA,8.6554,0.5592,4.2963,4.2695,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",6,"Talle","09/03/2012",1,NA,NA,2.0458,0.20441,0.27527,0.27527,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",6,"Talle","09/03/2012",1,NA,NA,4.9078,0.47569,2.0663,2.0346,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",6,"Talle","09/03/2012",1,NA,NA,13.2477,0.65824,7.3957,7.3952,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",6,"Talle","09/03/2012",1,NA,NA,9.9317,0.36427,2.6871,2.0229,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",7,"MB","09/03/2012",1,7,3,4.6877,0.73329,2.4861,2.1715,"Tremie12",NA,8,1,NA
"sampled_plants_090312",7,"MB","09/03/2012",1,8,2,14.1912,1.1351,11.4557,11.1881,"Tremie12",NA,8,1,NA
"sampled_plants_090312",7,"MB","09/03/2012",1,9,3,2.9672,0.191,0.4534,0.4534,"Tremie12",NA,8,1,NA
"sampled_plants_090312",7,"MB","09/03/2012",1,6,2,11.4723,0.62786,5.16,2.7203,"Tremie12",NA,8,1,NA
"sampled_plants_090312",7,"Talle","09/03/2012",1,NA,NA,12.5042,0.73651,5.2086,4.3034,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",7,"Talle","09/03/2012",1,NA,NA,2.1519,0.35624,0.59885,0.59799,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",7,"Talle","09/03/2012",1,NA,NA,8.2586,0.26546,1.6467,1.3562,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",7,"Talle","09/03/2012",1,NA,NA,11.7202,0.38151,2.8776,2.3319,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",7,"Talle","09/03/2012",1,NA,NA,11.9999,0.5255,5.2097,5.209,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",7,"Talle","09/03/2012",1,NA,NA,9.0883,0.75128,5.3962,5.3928,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",7,"Talle","09/03/2012",1,NA,NA,9.2063,0.32636,2.5406,2.4654,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",7,"Talle","09/03/2012",1,NA,NA,12.9656,0.58492,5.8207,4.4732,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",7,"Talle","09/03/2012",1,NA,NA,10.6998,0.35684,3.1084,3.1006,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",7,"Talle","09/03/2012",1,NA,NA,9.7916,0.44721,2.4365,0.88444,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",7,"Talle","09/03/2012",1,NA,NA,12.7442,0.74104,6.657,6.1768,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",7,"Talle","09/03/2012",1,NA,NA,4.8562,0.18691,0.71498,0.71469,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",7,"Talle","09/03/2012",1,NA,NA,13.571,0.51384,5.2895,4.4569,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",7,"Talle","09/03/2012",1,NA,NA,14.0501,0.76349,8.1473,8.0098,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",7,"Talle","09/03/2012",1,NA,NA,9.1041,0.37079,2.191,1.2607,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",7,"Talle","09/03/2012",1,NA,NA,8.0437,0.36229,2.1864,1.9002,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",7,"Talle","09/03/2012",1,NA,NA,5.5796,0.20172,0.9215,0.921,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",7,"Talle","09/03/2012",1,NA,NA,4.2124,0.15399,0.52724,0.52724,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",7,"Talle","09/03/2012",1,NA,NA,2.9016,0.19735,0.35713,0.10502,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",7,"Talle","09/03/2012",1,NA,NA,3.0419,0.22346,0.60279,0.48523,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",8,"MB","09/03/2012",1,6,2,13.2797,0.65274,4.0614,3.2889,"Tremie12",NA,7,1,NA
"sampled_plants_090312",8,"MB","09/03/2012",1,7,3,11.4806,0.96815,8.8129,8.8102,"Tremie12",NA,7,1,NA
"sampled_plants_090312",8,"Talle","09/03/2012",1,NA,NA,9.3954,0.34559,1.7552,0.34638,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",8,"Talle","09/03/2012",1,NA,NA,13.2854,0.46433,3.8228,1.7392,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",8,"Talle","09/03/2012",1,NA,NA,8.7009,0.49808,2.9682,2.9189,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",8,"Talle","09/03/2012",1,NA,NA,4.2299,0.38102,0.99405,0.54322,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",8,"Talle","09/03/2012",1,NA,NA,13.7715,0.54807,5.8949,5.1812,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",8,"Talle","09/03/2012",1,NA,NA,11.2311,0.78045,7.7148,7.693,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",8,"Talle","09/03/2012",1,NA,NA,2.4483,0.30926,0.54882,0.54882,"Tremie12",NA,NA,NA,NA
"sampled_plants_090312",9,"MB","09/03/2012",1,6,2,14.8023,0.92318,9.8156,5.2376,"Tremie12",NA,7,1,NA
"sampled_plants_090312",9,"MB","09/03/2012",1,7,1,13.8044,1.197,12.7942,12.7912,"Tremie12",NA,7,1,NA
"sampled_plants_090312",9,"MB","09/03/2012",1,8,3,1.9892,0.16891,0.25111,0.25104,"Tremie12",NA,7,1,NA
"sampled_plants_090312",9,"MB","09/03/2012",1,5,3,8.72,0.51286,2.595,0.25262,"Tremie12",NA,7,1,NA
"sampled_plants_090312",9,"Talle","09/03/2012",1,NA,NA,8.9754,0.38959,2.7682,1.9706,"Tremie12",NA,NA,NA,NA
