Date;var;Image;ID_Plant;ID_Axis;Organ;ID_Metamer;XY;Pt1;Pt2;Pt3;Pt4;Pt5;Pt6;Pt7;Pt8;Pt9;Pt10;Pt11;Pt12;Pt13;Pt14;Pt15;Pt16;Pt17;Pt18
09/03/2012;Tremie;Boigneville-09032012-P17-P18-P19;19;1;0;0;1;0,04;5,43;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P17-P18-P19;19;1;1;7;0;55,44;56,01;56,06;57,25;62,48;63,34;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P17-P18-P19;19;1;1;7;1;4,61;5,48;6,27;6,05;8,66;8,29;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P17-P18-P19;19;1;1;6;0;55,3;54,83;55,32;55,92;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P17-P18-P19;19;1;1;6;1;5,48;11,14;11,94;11,81;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P20;20;1;0;0;0;8,73;8,79;8,81;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P20;20;1;0;0;1;0;7,08;8,87;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P20;20;1;1;6;0;8,54;7,05;6,33;1,91;0;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P20;20;1;1;6;1;5,57;9,59;9,61;9,1;9,76;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P20;20;1;1;7;0;8,8;8,91;8,74;8,36;8,13;7,61;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P20;20;1;1;7;1;9,02;12,39;15,18;18,43;21,1;21,68;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P21-P22-P23-;21;1;0;0;0;7,21;6,49;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P21-P22-P23-;21;1;0;0;1;1,37;7,97;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P21-P22-P23-;21;1;1;7;0;6,39;5,39;3,72;2,2;0;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P21-P22-P23-;21;1;1;7;1;7,46;10,09;13,1;15,15;16,92;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P21-P22-P23-;21;1;1;8;0;6,49;6,68;7,4;6,97;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P21-P22-P23-;21;1;1;8;1;8,2;12,31;14,75;17,71;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P21-P22-P23-;22;1;0;0;0;30,83;30,99;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P21-P22-P23-;22;1;0;0;1;1,82;8,36;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P21-P22-P23-;22;1;1;6;0;30,87;30,21;27,15;25,51;27,01;29,7;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P21-P22-P23-;22;1;1;6;1;6,88;7,19;4,73;2,89;1,46;0;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P21-P22-P23-;22;1;1;7;0;30,99;31,85;32,38;33,71;35,05;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P21-P22-P23-;22;1;1;7;1;8,54;12,17;15,08;16,8;20;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P21-P22-P23-;23;1;0;0;0;56,47;56,55;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P21-P22-P23-;23;1;0;0;1;1,79;7,36;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P21-P22-P23-;23;1;1;7;0;56,38;54,39;53,62;53,58;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P21-P22-P23-;23;1;1;7;1;6,38;10,59;12,4;15,36;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P21-P22-P23-;23;1;1;8;0;56,54;57;56,82;55,68;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P21-P22-P23-;23;1;1;8;1;7,49;12,34;15,05;17,44;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P24-P25-P26;24;1;0;0;0;2,56;2,61;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P24-P25-P26;24;1;0;0;1;0;5,97;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P24-P25-P26;24;1;1;7;0;2,54;1,52;0,82;0,48;0;0,12;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P24-P25-P26;24;1;1;7;1;5,45;8,27;11,52;11,5;9,51;7,69;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P24-P25-P26;24;1;1;8;0;2,61;2,61;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P24-P25-P26;24;1;1;8;1;6,1;13,92;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P24-P25-P26;25;1;0;0;0;26,71;27,14;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P24-P25-P26;25;1;0;0;1;0,26;6,35;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P24-P25-P26;25;1;1;7;0;27;26,58;26,21;25,29;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P24-P25-P26;25;1;1;7;1;5,64;10,7;13,95;15,21;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P24-P25-P26;25;1;1;8;0;27,12;27,87;28,98;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P24-P25-P26;25;1;1;8;1;6,63;10,68;14,34;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P24-P25-P26;26;1;0;0;0;52,09;52,18;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P24-P25-P26;26;1;0;0;1;0,16;5,62;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P24-P25-P26;26;1;1;7;0;52,23;53,46;55,81;57,43;59,29;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P24-P25-P26;26;1;1;7;1;4,16;5,13;6,03;5,13;3,92;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P24-P25-P26;26;1;1;8;0;52,09;51,31;50,63;49,81;49,17;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P24-P25-P26;26;1;1;8;1;5,69;11,14;12,58;12,65;12,51;;;;;;;;;;;;;
