Date;TT
18/04/2013;902,2
19/04/2013;915,09
20/04/2013;923,37
21/04/2013;931,82
22/04/2013;940,95
23/04/2013;950,03
24/04/2013;961,88
25/04/2013;976,75
26/04/2013;994,3
27/04/2013;1005,53
28/04/2013;1013,28
29/04/2013;1020,45
30/04/2013;1029,95
01/05/2013;1038,75
02/05/2013;1048,78
03/05/2013;1059,78
04/05/2013;1071,05
05/05/2013;1082,83
06/05/2013;1096,32
07/05/2013;1109,61
08/05/2013;1124,35
09/05/2013;1139,43
10/05/2013;1151,44
11/05/2013;1162,08
12/05/2013;1174,17
13/05/2013;1185,4
14/05/2013;1197,21
15/05/2013;1209,26
16/05/2013;1220,12
17/05/2013;1230,21
18/05/2013;1241,15
19/05/2013;1251,6
20/05/2013;1263,1
21/05/2013;1273,54
22/05/2013;1284,41
23/05/2013;1295,79
24/05/2013;1304,06
25/05/2013;1309,91
26/05/2013;1318,29
27/05/2013;1328,23
28/05/2013;1340,8
29/05/2013;1351,44
30/05/2013;1362,09
31/05/2013;1373,57
01/06/2013;1386,5
02/06/2013;1401,54
03/06/2013;1414,69
04/06/2013;1426,81
05/06/2013;1439,95
06/06/2013;1457,23
07/06/2013;1476,81
08/06/2013;1497,61
09/06/2013;1516,02
10/06/2013;1530,48
11/06/2013;1545,66
12/06/2013;1561,88
13/06/2013;1579,85
14/06/2013;1593,9
15/06/2013;1607,9
16/06/2013;1622,16
17/06/2013;1639,03
18/06/2013;1658,85
19/06/2013;1680,71
20/06/2013;1700,21
21/06/2013;1717,66
22/06/2013;1732,95
23/06/2013;1748,45
24/06/2013;1762,51
25/06/2013;1775,42
26/06/2013;1788,59
27/06/2013;1802,73
28/06/2013;1817,8
29/06/2013;1832,31
30/06/2013;1848,09
01/07/2013;1864,9
02/07/2013;1883,72
03/07/2013;1903,23
04/07/2013;1919,5
05/07/2013;1936,27
06/07/2013;1955,05
07/07/2013;1975,81
08/07/2013;1998,56
09/07/2013;2020,7
10/07/2013;2043,33
11/07/2013;2064,57
12/07/2013;2081,22
13/07/2013;2099,47
14/07/2013;2117,29
15/07/2013;2138,15
16/07/2013;2160,93
17/07/2013;2183,71
18/07/2013;2206,67
19/07/2013;2230,54
20/07/2013;2255,38
21/07/2013;2279,93
22/07/2013;2305,8
23/07/2013;2331,59
24/07/2013;2355,85
25/07/2013;2378,42
26/07/2013;2402,13
27/07/2013;2425,97
28/07/2013;2450,11
29/07/2013;2470,34
30/07/2013;2490,09
31/07/2013;2510,35
01/08/2013;2532,37
