"Date","label","N","nff","TT","HS","SSI","GL"
"22/04/2013","Tremie13",23,NA,940.95,8.44594731337644,NA,NA
"22/04/2013","Tremie13",17,NA,940.95,8.38067919881483,NA,NA
"22/04/2013","Tremie13",24,NA,940.95,8.40778465537873,NA,NA
"22/04/2013","Tremie13",18,NA,940.95,8.33939395057391,NA,NA
"22/04/2013","Tremie13",25,NA,940.95,7.94960398906768,NA,NA
"22/04/2013","Tremie13",19,NA,940.95,8.75527356060253,5.629805033,3.12546852760253
"22/04/2013","Tremie13",26,NA,940.95,8.36280242981332,NA,NA
"22/04/2013","Tremie13",20,NA,940.95,8.83933000695139,5.9768709141,2.86245909285139
"22/04/2013","Tremie13",27,NA,940.95,8.88118023937092,5.99039458168,2.89078565769092
"22/04/2013","Tremie13",21,NA,940.95,8.68178665157969,5.7495321421,2.93225450947969
"22/04/2013","Tremie13",42,NA,940.95,9.38135185656833,5.7135657997,3.66778605686833
"22/04/2013","Tremie13",36,NA,940.95,8.61944077993359,NA,NA
"22/04/2013","Tremie13",43,NA,940.95,9.31475382831471,5.902864679,3.4118891493147
"22/04/2013","Tremie13",37,NA,940.95,8.6482000244208,NA,NA
"22/04/2013","Tremie13",31,NA,940.95,8.4997817974981,NA,NA
"22/04/2013","Tremie13",38,NA,940.95,8.35943701687053,NA,NA
"22/04/2013","Tremie13",32,NA,940.95,8.83374665187548,5.5151849164,3.31856173547548
"22/04/2013","Tremie13",39,NA,940.95,8.73559104389123,5.5579999541,3.17759108979123
"22/04/2013","Tremie13",33,NA,940.95,8.82363584825946,5.8271910761,2.99644477215946
"22/04/2013","Tremie13",40,NA,940.95,8.33673945861956,4.9902878865,3.34645157211956
"22/04/2013","Tremie13",34,NA,940.95,8.87002623253858,6.13002848653,2.73999774600858
"22/04/2013","Tremie13",41,NA,940.95,8.92206202471058,6.331382179,2.59067984571058
"22/04/2013","Tremie13",35,NA,940.95,8.86459540575403,5.8285467743,3.03604863145403
"22/04/2013","Tremie13",44,NA,940.95,9.34334923078596,5.5972964472,3.74605278358596
"22/04/2013","Tremie13",45,NA,940.95,8.68551082929001,5.4367268223,3.24878400699001
"02/04/2013","Tremie13",1,NA,750.2,NA,4,NA
"02/04/2013","Tremie13",2,NA,750.2,NA,4.1,NA
"02/04/2013","Tremie13",3,NA,750.2,NA,3.55,NA
"02/04/2013","Tremie13",4,NA,750.2,NA,NA,NA
"02/04/2013","Tremie13",5,NA,750.2,NA,3.05,NA
"02/04/2013","Tremie13",6,NA,750.2,NA,NA,NA
"02/04/2013","Tremie13",7,NA,750.2,NA,3.35,NA
"02/04/2013","Tremie13",8,NA,750.2,NA,3.2,NA
"02/04/2013","Tremie13",9,NA,750.2,NA,4.1,NA
"02/04/2013","Tremie13",10,NA,750.2,NA,4.4,NA
"02/04/2013","Tremie13",11,NA,750.2,NA,4.05,NA
"02/04/2013","Tremie13",12,NA,750.2,NA,3.4,NA
"02/04/2013","Tremie13",13,NA,750.2,NA,4,NA
"02/04/2013","Tremie13",14,NA,750.2,NA,3.8,NA
"02/04/2013","Tremie13",15,NA,750.2,NA,3.6,NA
"02/04/2013","Tremie13",16,NA,750.2,NA,4.1,NA
