Date;TT
24/02/2011;620,71
25/02/2011;629,91
26/02/2011;638,76
27/02/2011;646,88
28/02/2011;651,85
01/03/2011;655,03
02/03/2011;659,61
03/03/2011;664,66
04/03/2011;668,47
05/03/2011;672,49
06/03/2011;676,38
07/03/2011;679,68
08/03/2011;683,38
09/03/2011;691,1
10/03/2011;699,38
11/03/2011;706,53
12/03/2011;715,38
13/03/2011;723,87
14/03/2011;732,98
15/03/2011;742,99
16/03/2011;756,25
17/03/2011;768,71
18/03/2011;776,31
19/03/2011;785,25
20/03/2011;792,16
21/03/2011;798,47
22/03/2011;806,09
23/03/2011;815,26
24/03/2011;826,78
25/03/2011;838,81
26/03/2011;851,13
27/03/2011;864,39
28/03/2011;876,23
29/03/2011;887,7
30/03/2011;898,03
31/03/2011;908,65
01/04/2011;921,68
02/04/2011;934,11
03/04/2011;949,98
04/04/2011;960,53
05/04/2011;969,65
06/04/2011;980,46
07/04/2011;995,99
08/04/2011;1012,93
09/04/2011;1027,46
10/04/2011;1042,35
11/04/2011;1058,43
12/04/2011;1073,04
13/04/2011;1081,91
14/04/2011;1090,08
15/04/2011;1100,18
16/04/2011;1110,19
17/04/2011;1120,3
18/04/2011;1131,21
19/04/2011;1145,08
20/04/2011;1160,95
21/04/2011;1177,29
22/04/2011;1193,04
23/04/2011;1210,06
24/04/2011;1228,38
25/04/2011;1245,07
26/04/2011;1262,17
27/04/2011;1277,7
28/04/2011;1291,27
29/04/2011;1301,13
30/04/2011;1312,59
01/05/2011;1326,4
02/05/2011;1342,76
03/05/2011;1357,78
04/05/2011;1368,67
05/05/2011;1379,74
06/05/2011;1393,23
07/05/2011;1410,13
08/05/2011;1429,7
09/05/2011;1447,89
10/05/2011;1465,52
11/05/2011;1483,63
12/05/2011;1500,19
13/05/2011;1513,7
14/05/2011;1527,33
15/05/2011;1539,08
16/05/2011;1550,65
17/05/2011;1563,2
18/05/2011;1578,08
19/05/2011;1595,15
20/05/2011;1612,82
21/05/2011;1629,53
22/05/2011;1646,87
23/05/2011;1663,09
24/05/2011;1680,18
25/05/2011;1694,45
26/05/2011;1710,18
27/05/2011;1724,69
28/05/2011;1737,13
29/05/2011;1750,92
30/05/2011;1767,83
31/05/2011;1786,63
01/06/2011;1799,14
02/06/2011;1813,53
03/06/2011;1831,72
04/06/2011;1852,08
05/06/2011;1874
06/06/2011;1893,92
07/06/2011;1910,57
08/06/2011;1925,88
09/06/2011;1940,2
10/06/2011;1954,24
11/06/2011;1967,14
12/06/2011;1979,33
13/06/2011;1992,9
14/06/2011;2010,99
15/06/2011;2029,38
16/06/2011;2048,23
17/06/2011;2065,24
18/06/2011;2080,63
19/06/2011;2094,22
20/06/2011;2108,57
21/06/2011;2125,79
22/06/2011;2144,26
23/06/2011;2160,49
24/06/2011;2175,44
25/06/2011;2190,06
26/06/2011;2209,65
27/06/2011;2233,31
28/06/2011;2260,94
29/06/2011;2286,39
30/06/2011;2303,88
01/07/2011;2320,06
02/07/2011;2336,51
03/07/2011;2352,5
04/07/2011;2369,35
05/07/2011;2388,78
06/07/2011;2410,48
07/07/2011;2427,96
08/07/2011;2444,7
09/07/2011;2462,76
10/07/2011;2480,75
11/07/2011;2499,4
12/07/2011;2520,29
13/07/2011;2539,42
14/07/2011;2555,18
15/07/2011;2571,23
16/07/2011;2590,58
17/07/2011;2608,32
18/07/2011;2623,18
