"Date","label","Trt","Rep","N","Axis","Nflig","Nfvis","nff","HS","SSI","GL"
"18/04/2011","Mercia","T1+T2",2,18,"MB",9,1,12,9.9,NA,NA
"19/01/2011","Mercia","T1+T2",2,18,"MB",3,2,12,3.72789178198305,0,3.72789178198305
"26/05/2011","Mercia","T1+T2",2,18,"MB",12,0,12,12,9.06,2.94
"27/04/2011","Mercia","T1+T2",2,18,"MB",11,1,12,11.3604651162791,NA,NA
"01/06/2011","Mercia","T1+T2",2,19,"MB",11,0,11,11,8.041,2.959
"09/06/2011","Mercia","T1+T2",2,19,"MB",11,0,11,11,8.56,2.44
"18/04/2011","Mercia","T1+T2",2,19,"MB",9,1,11,9.17167381974249,NA,NA
"19/01/2011","Mercia","T1+T2",2,19,"MB",3,1,11,3.42810239737161,0,3.42810239737161
"26/05/2011","Mercia","T1+T2",2,19,"MB",11,0,11,11,7.8,3.2
"27/04/2011","Mercia","T1+T2",2,19,"MB",10,1,11,10.5952380952381,NA,NA
"01/06/2011","Mercia","T1+T2",2,20,"MB",12,0,12,12,9.053,2.947
"09/06/2011","Mercia","T1+T2",2,20,"MB",12,0,12,12,9.61,2.39
"18/04/2011","Mercia","T1+T2",2,20,"MB",9,1,12,9.79497907949791,NA,NA
"19/01/2011","Mercia","T1+T2",2,20,"MB",3,2,12,3.87364183641253,0,3.87364183641253
"26/05/2011","Mercia","T1+T2",2,20,"MB",12,0,12,12,8.87,3.13
"27/04/2011","Mercia","T1+T2",2,20,"MB",11,1,12,11.344,NA,NA
"01/06/2011","Mercia","T1+T2",2,21,"MB",11,0,11,11,8.153,2.847
"09/06/2011","Mercia","T1+T2",2,21,"MB",11,0,11,11,9.3,1.7
"18/04/2011","Mercia","T1+T2",2,21,"MB",9,1,11,9.40485829959514,NA,NA
"19/01/2011","Mercia","T1+T2",2,21,"MB",3,1,11,3.4400639496969,0,3.4400639496969
"26/05/2011","Mercia","T1+T2",2,21,"MB",11,0,11,11,8.22,2.78
"27/04/2011","Mercia","T1+T2",2,21,"MB",10,1,11,10.7384615384615,NA,NA
"01/06/2011","Mercia","T1+T2",2,22,"MB",11,0,11,11,8.208,2.792
"09/06/2011","Mercia","T1+T2",2,22,"MB",11,0,11,11,9.42,1.58
"18/04/2011","Mercia","T1+T2",2,22,"MB",9,1,11,9.47016274864376,NA,NA
"19/01/2011","Mercia","T1+T2",2,22,"MB",3,1,11,3.53810391664218,0.02,3.51810391664218
"26/05/2011","Mercia","T1+T2",2,22,"MB",11,0,11,11,8.25,2.75
"27/04/2011","Mercia","T1+T2",2,22,"MB",10,1,11,10.7808639505902,NA,NA
"01/06/2011","Mercia","T1+T2",2,23,"MB",12,0,12,12,10.145,1.855
"09/06/2011","Mercia","T1+T2",2,23,"MB",12,0,12,12,12,0
"18/04/2011","Mercia","T1+T2",2,23,"MB",10,1,12,10.2150537634409,NA,NA
"19/01/2011","Mercia","T1+T2",2,23,"MB",3,2,12,3.87324677126529,0,3.87324677126529
"26/05/2011","Mercia","T1+T2",2,23,"MB",12,0,12,12,9.27,2.73
"27/04/2011","Mercia","T1+T2",2,23,"MB",11,1,12,11.6626506024096,NA,NA
"01/06/2011","Mercia","T1+T2",2,24,"MB",11,0,11,11,8.136,2.864
"09/06/2011","Mercia","T1+T2",2,24,"MB",11,0,11,11,9.05,1.95
"18/04/2011","Mercia","T1+T2",2,24,"MB",9,1,11,9.32258064516129,NA,NA
"19/01/2011","Mercia","T1+T2",2,24,"MB",3,2,11,3.65941954689892,NA,NA
"26/05/2011","Mercia","T1+T2",2,24,"MB",11,0,11,11,8.14,2.86
"27/04/2011","Mercia","T1+T2",2,24,"MB",10,1,11,10.6703439271963,NA,NA
"01/06/2011","Mercia","T1+T2",3,25,"MB",12,0,12,12,8.158,3.842
"09/06/2011","Mercia","T1+T2",3,25,"MB",12,0,12,12,9.43,2.57
"18/04/2011","Mercia","T1+T2",3,25,"MB",9,1,12,9.95299145299145,NA,NA
"19/01/2011","Mercia","T1+T2",3,25,"MB",3,2,12,3.70057575807032,0.5,3.20057575807032
"26/05/2011","Mercia","T1+T2",3,25,"MB",12,0,12,12,8.28,3.72
"27/04/2011","Mercia","T1+T2",3,25,"MB",11,1,12,11.6,NA,NA
"01/06/2011","Mercia","T1+T2",3,26,"MB",13,0,13,13,9.187,3.813
"09/06/2011","Mercia","T1+T2",3,26,"MB",13,0,13,13,10.55,2.45
"18/04/2011","Mercia","T1+T2",3,26,"MB",10,1,13,10.4417670682731,NA,NA
"19/01/2011","Mercia","T1+T2",3,26,"MB",4,1,13,4.30307764409135,0,4.30307764409135
"26/05/2011","Mercia","T1+T2",3,26,"MB",13,0,13,13,9.27,3.73
"27/04/2011","Mercia","T1+T2",3,26,"MB",11,1,13,11.1031390134529,NA,NA
"01/06/2011","Mercia","T1+T2",3,27,"MB",11,0,11,11,8.244,2.756
"09/06/2011","Mercia","T1+T2",3,27,"MB",11,0,11,11,9.32,1.68
"18/04/2011","Mercia","T1+T2",3,27,"MB",9,1,11,9.49551166965889,NA,NA
"19/01/2011","Mercia","T1+T2",3,27,"MB",3,2,11,3.63210675017187,0,3.63210675017187
"26/05/2011","Mercia","T1+T2",3,27,"MB",11,0,11,11,8.35,2.65
"27/04/2011","Mercia","T1+T2",3,27,"MB",10,1,11,10.7849462365591,NA,NA
"01/06/2011","Mercia","T1+T2",3,28,"MB",12,0,12,12,9.151,2.849
"09/06/2011","Mercia","T1+T2",3,28,"MB",12,0,12,12,9.89,2.11
"18/04/2011","Mercia","T1+T2",3,28,"MB",9,1,12,9.97345132743363,NA,NA
"19/01/2011","Mercia","T1+T2",3,28,"MB",3,1,12,3.48430125543984,0,3.48430125543984
