date;variety;image;point;x;y;slice;color;id;serie;ntop_lig
27/04/2011;Mercia;mercia_axe3.jpg;70;3011;1273;3;70;197;5;5
27/04/2011;Mercia;mercia_axe3.jpg;71;2947;1275;3;71;198;5;5
27/04/2011;Mercia;mercia_axe3.jpg;72;2893;1281;3;72;199;5;5
27/04/2011;Mercia;mercia_axe3.jpg;73;2807;1283;3;73;200;5;5
27/04/2011;Mercia;mercia_axe3.jpg;74;2763;1293;3;74;201;5;5
27/04/2011;Mercia;mercia_axe3.jpg;75;2711;1299;3;75;202;5;5
27/04/2011;Mercia;mercia_axe3.jpg;76;2651;1301;3;76;203;5;5
27/04/2011;Mercia;mercia_axe3.jpg;77;2589;1301;3;77;204;5;5
27/04/2011;Mercia;mercia_axe4.jpg;0;3816;1170;4;0;205;0;-999
27/04/2011;Mercia;mercia_axe4.jpg;1;3732;1227;4;1;206;0;-999
27/04/2011;Mercia;mercia_axe4.jpg;2;3666;1269;4;2;207;0;-999
27/04/2011;Mercia;mercia_axe4.jpg;3;3564;1302;4;3;208;0;-999
27/04/2011;Mercia;mercia_axe4.jpg;4;3432;1335;4;4;209;0;-999
27/04/2011;Mercia;mercia_axe4.jpg;5;3297;1350;4;5;210;0;-999
27/04/2011;Mercia;mercia_axe4.jpg;6;3126;1362;4;6;211;0;-999
27/04/2011;Mercia;mercia_axe4.jpg;7;2979;1359;4;7;212;0;-999
27/04/2011;Mercia;mercia_axe4.jpg;8;2811;1359;4;8;213;0;-999
27/04/2011;Mercia;mercia_axe4.jpg;9;2664;1368;4;9;214;0;-999
27/04/2011;Mercia;mercia_axe4.jpg;10;2478;1374;4;10;215;0;-999
27/04/2011;Mercia;mercia_axe4.jpg;11;2298;1386;4;11;216;0;-999
27/04/2011;Mercia;mercia_axe4.jpg;12;2130;1398;4;12;217;0;-999
27/04/2011;Mercia;mercia_axe4.jpg;13;2034;1404;4;13;218;0;-999
27/04/2011;Mercia;mercia_axe4.jpg;14;1908;1407;4;14;219;0;-999
27/04/2011;Mercia;mercia_axe4.jpg;15;1854;1416;4;15;220;0;-999
27/04/2011;Mercia;mercia_axe4.jpg;16;1844;1412;4;16;221;1;0
27/04/2011;Mercia;mercia_axe4.jpg;17;1795;1412;4;17;222;1;0
27/04/2011;Mercia;mercia_axe4.jpg;18;1749;1416;4;18;223;1;0
27/04/2011;Mercia;mercia_axe4.jpg;19;1689;1420;4;19;224;1;0
27/04/2011;Mercia;mercia_axe4.jpg;20;1634;1425;4;20;225;1;0
27/04/2011;Mercia;mercia_axe4.jpg;21;1584;1428;4;21;226;1;0
27/04/2011;Mercia;mercia_axe4.jpg;22;1532;1434;4;22;227;1;0
27/04/2011;Mercia;mercia_axe4.jpg;23;1473;1437;4;23;228;1;0
27/04/2011;Mercia;mercia_axe4.jpg;24;1850;1410;4;24;229;2;1
27/04/2011;Mercia;mercia_axe4.jpg;25;1752;1412;4;25;230;2;1
27/04/2011;Mercia;mercia_axe4.jpg;26;1652;1414;4;26;231;2;1
27/04/2011;Mercia;mercia_axe4.jpg;27;1534;1414;4;27;232;2;1
27/04/2011;Mercia;mercia_axe4.jpg;28;1434;1414;4;28;233;2;1
27/04/2011;Mercia;mercia_axe4.jpg;29;1320;1416;4;29;234;2;1
27/04/2011;Mercia;mercia_axe4.jpg;30;1214;1420;4;30;235;2;1
27/04/2011;Mercia;mercia_axe4.jpg;31;1106;1436;4;31;236;2;1
27/04/2011;Mercia;mercia_axe4.jpg;32;992;1448;4;32;237;2;1
27/04/2011;Mercia;mercia_axe4.jpg;33;890;1466;4;33;238;2;1
27/04/2011;Mercia;mercia_axe4.jpg;34;818;1476;4;34;239;2;1
27/04/2011;Mercia;mercia_axe4.jpg;35;734;1494;4;35;240;2;1
27/04/2011;Mercia;mercia_axe4.jpg;36;2044;1410;4;36;241;3;2
27/04/2011;Mercia;mercia_axe4.jpg;37;1944;1426;4;37;242;3;2
