"Date","label","N","nff","HS","SSI","GL"
"22/04/2013","Tremie13",7,NA,8.37804753771385,5.184740296,3.19330724171385
"22/04/2013","Tremie13",14,NA,7.82180091570622,NA,NA
"22/04/2013","Tremie13",8,NA,8.39467169183227,5.3260264705,3.06864522133227
"22/04/2013","Tremie13",28,NA,8.38906458976294,5.3355495058,3.05351508396294
"22/04/2013","Tremie13",22,NA,8.73426052874936,5.6438410247,3.09041950404936
"22/04/2013","Tremie13",16,NA,8.63305030997699,5.6681523941,2.96489791587699
"22/04/2013","Tremie13",23,NA,8.44594731337644,5.2336686491,3.21227866427644
"22/04/2013","Tremie13",17,NA,8.38067919881483,5.2320013003,3.14867789851483
"22/04/2013","Tremie13",24,NA,8.40778465537873,5.2050354549,3.20274920047873
"22/04/2013","Tremie13",18,NA,8.33939395057391,5.1632112727,3.17618267787391
"22/04/2013","Tremie13",25,NA,7.94960398906768,5.2587301545,2.69087383456768
"22/04/2013","Tremie13",19,NA,8.75527356060253,5.629805033,3.12546852760253
"22/04/2013","Tremie13",26,NA,8.36280242981332,5.3254569784,3.03734545141332
"22/04/2013","Tremie13",20,NA,8.83933000695139,5.9768709141,2.86245909285139
"22/04/2013","Tremie13",27,NA,8.88118023937092,5.99039458168,2.89078565769092
"22/04/2013","Tremie13",21,NA,8.68178665157969,5.7495321421,2.93225450947969
"22/04/2013","Tremie13",42,NA,9.38135185656833,5.7135657997,3.66778605686833
"22/04/2013","Tremie13",36,NA,8.61944077993359,5.2880131896,3.33142759033359
"22/04/2013","Tremie13",43,NA,9.31475382831471,5.902864679,3.4118891493147
"22/04/2013","Tremie13",37,NA,8.6482000244208,5.3462494259,3.3019505985208
"22/04/2013","Tremie13",31,NA,8.4997817974981,5.3223993212,3.1773824762981
"22/04/2013","Tremie13",38,NA,8.35943701687053,NA,NA
"22/04/2013","Tremie13",32,NA,8.83374665187548,5.5151849164,3.31856173547548
"22/04/2013","Tremie13",39,NA,8.73559104389123,5.5579999541,3.17759108979123
"22/04/2013","Tremie13",33,NA,8.82363584825946,5.8271910761,2.99644477215946
"22/04/2013","Tremie13",40,NA,8.33673945861956,4.9902878865,3.34645157211956
"22/04/2013","Tremie13",34,NA,8.87002623253858,6.13002848653,2.73999774600858
"22/04/2013","Tremie13",41,NA,8.92206202471058,6.331382179,2.59067984571058
"22/04/2013","Tremie13",35,NA,8.86459540575403,5.8285467743,3.03604863145403
"22/04/2013","Tremie13",44,NA,9.34334923078596,5.5972964472,3.74605278358596
"22/04/2013","Tremie13",45,NA,8.68551082929001,5.4367268223,3.24878400699001
"02/04/2013","Tremie13",1,NA,NA,4,NA
"02/04/2013","Tremie13",2,NA,NA,4.1,NA
"02/04/2013","Tremie13",3,NA,NA,3.55,NA
"02/04/2013","Tremie13",4,NA,NA,NA,NA
"02/04/2013","Tremie13",5,NA,NA,3.05,NA
"02/04/2013","Tremie13",6,NA,NA,NA,NA
"02/04/2013","Tremie13",7,NA,NA,3.35,NA
"02/04/2013","Tremie13",8,NA,NA,3.2,NA
"02/04/2013","Tremie13",9,NA,NA,4.1,NA
