variety;date;bloc;plant;num_leaf_bottom;num_leaf_top;green;septo_green;necro;ratio_septo_necro;other;observations 
tremis;04/11/2012;2;12;9;5;95;0;2;0;3; 
tremis;04/11/2012;2;13;9;5;95;0;1;0;3; 
tremis;04/11/2012;2;14;9;4;100;0;0;0;0; 
tremis;04/11/2012;2;15;9;5;98;0;1;>;1; 
tremis;04/11/2012;2;16;9;5;100;0;0;0;0; 
tremis;04/11/2012;2;17;9;5;100;0;0;0;0; 
tremis;04/11/2012;2;18;9;5;100;0;0;0;0; 
tremis;04/11/2012;2;19;9;5;100;0;0;0;0; 
tremis;04/11/2012;2;20;9;5;98;0;1;0;1; 
tremis;04/11/2012;3;21;9;5;95;0;0;0;5; 
tremis;04/11/2012;3;22;9;5;100;0;0;0;0; 
tremis;04/11/2012;3;23;9;5;100;0;0;0;0; 
tremis;04/11/2012;3;24;9;5;98;0;2;0;0; 
tremis;04/11/2012;3;25;9;5;100;0;0;0;0; 
tremis;04/11/2012;3;26;9;5;100;0;0;0;0; 
tremis;04/11/2012;3;27;9;5;100;0;0;0;0; 
tremis;04/11/2012;3;28;9;4;95;0;2;0;3; 
tremis;04/11/2012;3;29;9;5;98;0;0;0;2; 
tremis;04/11/2012;3;30;9;5;98;0;0;0;2; 
tremis;04/11/2012;1;1;8;5;80;2;5;<;13; 
tremis;04/11/2012;1;2;8;6;70;5;15;>;10; 
tremis;04/11/2012;1;3;8;6;80;10;5;<;5; 
tremis;04/11/2012;1;4;8;6;60;20;15;>;5; 
tremis;04/11/2012;1;5;8;6;80;3;2;<;15; 
tremis;04/11/2012;1;9;8;6;70;5;10;<;15; 
tremis;04/11/2012;1;10;8;6;90;9;1;>;0; 
tremis;04/11/2012;2;11;8;6;80;10;3;<;7; 
tremis;04/11/2012;2;12;8;6;90;3;2;>;5; 
tremis;04/11/2012;2;13;8;6;80;5;10;>;5; 
tremis;04/11/2012;2;14;8;5;95;0;0;0;5; 
tremis;04/11/2012;2;15;8;6;70;0;0;20;30;coupée 
tremis;04/11/2012;2;16;8;6;90;2;1;<;7; 
tremis;04/11/2012;2;17;8;6;90;2;5;>;3; 
tremis;04/11/2012;2;18;8;6;80;10;5;>;5; 
tremis;04/11/2012;2;19;8;6;90;3;2;>;5; 
tremis;04/11/2012;2;20;8;6;90;2;8;>;0; 
tremis;04/11/2012;3;21;8;6;60;20;20;<;0; 
tremis;04/11/2012;3;22;8;6;90;5;5;<;0; 
tremis;04/11/2012;3;23;8;6;80;5;10;>;5; 
tremis;04/11/2012;3;24;8;6;70;15;10;<;5; 
