date;var;TT;TT_depuis_montaison_811,4;rep;N;Axis;Nflig;Nfvis;nff;length_F1;length_F2;length_F3;length_F4;length_F5;length_F6;length_F7;length_F8;length_F9;length_F10;length_F11;length_F12;sen_F6;sen_F7;sen_F8;sen_F9;sen_F10;sen_F11;sen_F12;HS;SSI
02/04/2013;Tremie;750,2;-61,2;1;14;MB;;;11;;;;;;;;;;;;;0;;0;0;0;0;0;;3,8
02/04/2013;Tremie;750,2;-61,2;2;16;MB;;;11;;;;;;;;;;;;;0;;0;0;0;0;0;;4,1
02/04/2013;Tremie;750,2;-61,2;2;17;MB;;;11;;;;;;;;;;;;;0;10;0;0;0;0;0;;4,1
02/04/2013;Tremie;750,2;-61,2;2;19;MB;;;11;;;;;;;;;;;;;0;;0;0;0;0;0;;3,7
02/04/2013;Tremie;750,2;-61,2;2;21;MB;;;11;;;;;;;;;;;;;0;;0;0;0;0;0;;4,2
02/04/2013;Tremie;750,2;-61,2;2;23;MB;;;11;;;;;;;;;;;;;0;;0;0;0;0;0;;3,95
02/04/2013;Tremie;750,2;-61,2;2;26;MB;;;11;;;;;;;;;;;;;0;;0;0;0;0;0;;3,2
02/04/2013;Tremie;750,2;-61,2;2;27;MB;;;11;;;;;;;;;;;;;0;0;0;0;0;0;0;;3,9
02/04/2013;Tremie;750,2;-61,2;2;28;MB;;;11;;;;;;;;;;;;;0;;0;0;0;0;0;;3,5
02/04/2013;Tremie;750,2;-61,2;3;31;MB;;;11;;;;;;;;;;;;;0;0;0;0;0;0;0;;4,15
02/04/2013;Tremie;750,2;-61,2;3;32;MB;;;11;;;;;;;;;;;;;0;10;0;0;0;0;0;;4,15
02/04/2013;Tremie;750,2;-61,2;3;33;MB;;;11;;;;;;;;;;;;;0;;0;0;0;0;0;;4
02/04/2013;Tremie;750,2;-61,2;3;34;MB;;;11;;;;;;;;;;;;;0;;0;0;0;0;0;;3,25
02/04/2013;Tremie;750,2;-61,2;3;35;MB;;;11;;;;;;;;;;;;;0;;0;0;0;0;0;;3,75
02/04/2013;Tremie;750,2;-61,2;3;36;MB;;;11;;;;;;;;;;;;;0;;0;0;0;0;0;;4,5
02/04/2013;Tremie;750,2;-61,2;3;37;MB;;;11;;;;;;;;;;;;;0;;0;0;0;0;0;;3,75
02/04/2013;Tremie;750,2;-61,2;3;38;MB;;;11;;;;;;;;;;;;;0;;0;0;0;0;0;;3,2
02/04/2013;Tremie;750,2;-61,2;3;39;MB;;;11;;;;;;;;;;;;;0;;0;0;0;0;0;;4,1
02/04/2013;Tremie;750,2;-61,2;3;40;MB;;;11;;;;;;;;;;;;;0;;0;0;0;0;0;;3,85
02/04/2013;Tremie;750,2;-61,2;3;41;MB;;;11;;;;;;;;;;;;;0;;0;0;0;0;0;;3,9
02/04/2013;Tremie;750,2;-61,2;3;42;MB;;;11;;;;;;;;;;;;;0;;0;0;0;0;0;;3,65
02/04/2013;Tremie;750,2;-61,2;3;43;MB;;;11;;;;;;;;;;;;;0;;0;0;0;0;0;;3,55
02/04/2013;Tremie;750,2;-61,2;3;44;MB;;;11;;;;;;;;;;;;;0;;0;0;0;0;0;;3,6
02/04/2013;Tremie;750,2;-61,2;3;45;MB;;;11;;;;;;;;;;;;;0;;0;0;0;0;0;;3,85
02/04/2013;Tremie;750,2;-61,2;1;1;MB;;;12;;;;;;;;;;;;;0;10;0;0;0;0;0;;4
02/04/2013;Tremie;750,2;-61,2;1;7;MB;;;12;;;;;;;;;;;;;0;5;0;0;0;0;0;;3,35
02/04/2013;Tremie;750,2;-61,2;1;8;MB;;;12;;;;;;;;;;;;;0;;0;0;0;0;0;;3,2
02/04/2013;Tremie;750,2;-61,2;1;10;MB;;;12;;;;;;;;;;;;;0;0;0;0;0;0;0;;4,4
02/04/2013;Tremie;750,2;-61,2;1;12;MB;;;12;;;;;;;;;;;;;0;0;0;0;0;0;0;;3,4
02/04/2013;Tremie;750,2;-61,2;1;15;MB;;;12;;;;;;;;;;;;;0;0;0;0;0;0;0;;3,6
02/04/2013;Tremie;750,2;-61,2;2;18;MB;;;12;;;;;;;;;;;;;0;10;0;0;0;0;0;;4,35
02/04/2013;Tremie;750,2;-61,2;2;20;MB;;;12;;;;;;;;;;;;;0;0;0;0;0;0;0;;4,3
02/04/2013;Tremie;750,2;-61,2;2;22;MB;;;12;;;;;;;;;;;;;0;0;0;0;0;0;0;;3,65
02/04/2013;Tremie;750,2;-61,2;2;24;MB;;;12;;;;;;;;;;;;;0;0;0;0;0;0;0;;3,7
02/04/2013;Tremie;750,2;-61,2;2;25;MB;;;12;;;;;;;;;;;;;0;0;0;0;0;0;0;;3,75
02/04/2013;Tremie;750,2;-61,2;2;29;MB;;;12;;;;;;;;;;;;;0;0;0;0;0;0;0;;4,25
02/04/2013;Tremie;750,2;-61,2;2;30;MB;;;12;;;;;;;;;;;;;0;;0;0;0;0;0;;4,05
19/04/2013;Tremie;915,09;103,69;1;2;MB;8;1;11;;;;;;11,5;14,7;19,0;16,0;;;;50;20;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;1;3;MB;8;1;11;;;;;;11,2;14,5;17,5;11,5;;;;60;40;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;1;4;MB;7;2;11;;;;;;11,0;13,5;16,8;4,5;;;;40;0;0;;;;;;
19/04/2013;Tremie;915,09;103,69;1;5;MB;7;2;11;;;;;;10,7;13,5;18,5;7,7;;;;50;0;0;;;;;;
19/04/2013;Tremie;915,09;103,69;1;6;MB;7;2;11;;;;;;10,5;12,7;17,5;7,0;;;;40;0;0;;;;;;
19/04/2013;Tremie;915,09;103,69;1;9;MB;8;1;11;;;;;;10,0;11,7;14,5;18,0;;;;95;30;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;1;11;MB;8;1;11;;;;;;11,5;13,1;17,1;13,6;;;;80;20;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;1;13;MB;8;1;11;;;;;;11,2;13,0;17,0;14,2;;;;70;20;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;1;14;MB;8;1;11;;;;;;11,5;13,0;17,0;14,0;;;;60;15;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;2;16;MB;8;1;11;;;;;;11,7;15,5;18,5;9,7;;;;60;10;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;2;17;MB;8;1;11;;;;;;9,5;12,0;15,5;11,5;;;;70;30;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;2;19;MB;8;1;11;;;;;;11,5;14,2;16,5;12,5;;;;50;20;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;2;21;MB;8;1;11;;;;;;11,2;13,7;17,5;11,7;;;;70;10;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;2;23;MB;7;2;11;;;;;;10,5;12,5;17,0;4,0;;;;30;0;0;;;;;;
19/04/2013;Tremie;915,09;103,69;2;26;MB;8;1;11;;;;;;12,0;15,0;16,1;7,2;;;;50;0;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;2;27;MB;8;1;11;;;;;;11,5;13,0;15,0;14,2;;;;90;20;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;2;28;MB;7;2;11;;;;;;11,3;13,5;17,2;5,5;;;;20;0;0;;;;;;
19/04/2013;Tremie;915,09;103,69;3;31;MB;8;1;11;;;;;;;14,2;18,0;12,2;;;;;20;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;3;32;MB;8;1;11;;;;;;;;18,3;12,5;;;;;;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;3;33;MB;8;1;11;;;;;;;;17,0;9,0;;;;;;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;3;34;MB;7;1;11;;;;;;12,5;15,5;18,5;;;;;30;0;0;;;;;;
19/04/2013;Tremie;915,09;103,69;3;35;MB;8;1;11;;;;;;13,5;13,1;19,7;7,7;;;;40;10;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;3;36;MB;8;1;11;;;;;;12,5;14,5;17,0;10,5;;;;70;10;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;3;37;MB;7;1;11;;;;;;12,5;15,5;21,0;;;;;40;0;0;;;;;;
19/04/2013;Tremie;915,09;103,69;3;38;MB;7;2;11;;;;;;11,3;14,5;18,2;7,0;;;;20;10;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;3;39;MB;8;1;11;;;;;;13,0;15,1;18,0;7,0;;;;60;0;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;3;40;MB;7;2;11;;;;;;;;19,0;5,7;;;;;;0;;;;;;
19/04/2013;Tremie;915,09;103,69;3;41;MB;8;1;11;;;;;;;14,5;17,7;8,3;;;;;10;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;3;42;MB;8;1;11;;;;;;11,5;13,5;16,5;10,5;;;;30;0;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;3;43;MB;7;2;11;;;;;;12,3;15,3;20,0;5,5;;;;30;0;0;;;;;;
19/04/2013;Tremie;915,09;103,69;3;44;MB;7;2;11;;;;;;13,2;16,0;21,5;6,5;;;;20;0;0;;;;;;
19/04/2013;Tremie;915,09;103,69;3;45;MB;8;1;11;;;;;;10,5;13,7;18,2;10,2;;;;40;5;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;1;1;MB;8;1;12;;;;;;10,2;12,7;16,5;13,5;;;;50;20;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;1;7;MB;8;1;12;;;;;;;12,7;14,5;14,7;;;;;15;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;1;8;MB;8;2;12;;;;;;10,5;10,5;13,0;18,0;6,5;;;80;30;0;0;;;;8,295454545;
19/04/2013;Tremie;915,09;103,69;1;10;MB;8;1;12;;;;;;8,4;12,0;15,0;18,0;;;;80;35;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;1;12;MB;8;1;12;;;;;;9,0;11,1;14,7;16,5;;;;80;25;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;1;15;MB;8;1;12;;;;;;10,5;12,5;16,5;15,5;;;;60;20;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;2;18;MB;8;1;12;;;;;;9,3;10,0;13,5;14,0;;;;90;20;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;2;20;MB;8;1;12;;;;;;10,0;11,5;14,5;16,4;;;;90;30;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;2;22;MB;8;1;12;;;;;;10,0;12,5;16,3;16,2;;;;40;10;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;2;24;MB;8;1;12;;;;;;;11,5;14,6;13,5;;;;;20;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;2;25;MB;8;1;12;;;;;;10,5;12,7;15,5;12,8;;;;80;20;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;2;29;MB;8;1;12;;;;;;10,0;13,0;17,0;14,6;;;;90;10;0;0;;;;;
19/04/2013;Tremie;915,09;103,69;2;30;MB;8;1;12;;;;;;9,5;11,5;15,3;12,5;;;;70;15;0;0;;;;;
02/05/2013;Tremie;1048,8;237,4;1;2;MB;9;1;11;;;;;;12,0;14,9;19,0;24,3;21,1;;;100;40;20;0;0;;;9,821011673;6,421011673
02/05/2013;Tremie;1048,8;237,4;1;3;MB;9;1;11;;;;;;10,5;14,8;17,7;22,4;17;;;100;50;5;0;0;;;9,643939394;6,193939394
02/05/2013;Tremie;1048,8;237,4;1;4;MB;9;1;11;;;;;;11,0;13,3;18,0;23;9,2;;;100;40;2;0;0;;;9,423963134;5,843963134
02/05/2013;Tremie;1048,8;237,4;1;5;MB;8;2;11;;;;;;10,6;13,8;18,5;22,4;10,1;;;100;10;5;0;0;;;8,495098039;4,645098039
02/05/2013;Tremie;1048,8;237,4;1;6;MB;8;2;11;;;;;;10,3;13,0;17,3;21,5;10;;;100;20;0;0;0;;;8,46728972;4,66728972
02/05/2013;Tremie;1048,8;237,4;1;9;MB;9;1;11;;;;;;10,0;11,8;14,8;21,9;23,2;;;100;80;10;0;0;;;9,924302789;6,824302789
02/05/2013;Tremie;1048,8;237,4;1;11;MB;9;1;11;;;;;;11,8;13,1;17,4;22;19;;;100;60;5;0;0;;;9,791666667;6,441666667
02/05/2013;Tremie;1048,8;237,4;1;13;MB;9;1;11;;;;;;11,2;13,3;17,4;22,4;19,8;;;100;70;25;0;0;;;9,770428016;6,720428016
02/05/2013;Tremie;1048,8;237,4;1;14;MB;9;1;11;;;;;;11,5;13,0;17,0;23,2;18,2;;;100;90;5;0;0;;;9,767932489;6,717932489
02/05/2013;Tremie;1048,8;237,4;2;16;MB;9;1;11;;;;;;11,3;15,3;18,8;22,1;15;;;100;15;5;0;0;;;9,643776824;5,843776824
02/05/2013;Tremie;1048,8;237,4;2;17;MB;9;1;11;;;;;;8,5;12,3;16,0;22;16,2;;;100;80;10;0;0;;;9,675;6,575
02/05/2013;Tremie;1048,8;237,4;2;19;MB;9;1;11;;;;;;11,8;14,3;17,0;21;18,6;;;100;30;10;0;0;;;9,791489362;6,191489362
02/05/2013;Tremie;1048,8;237,4;2;21;MB;9;1;11;;;;;;10,4;13,7;17,7;22,4;16,3;;;100;15;0;0;0;;;9,693617021;5,843617021
