,variety,HS,aire du plot,Nbr.plant.perplot,ThermalTime,LAI_tot,LAI_vert,PAI_tot,PAI_vert,LAI_tot_MS,LAI_vert_MS,PAI_tot_MS,PAI_vert_MS,LAI_tot_ferti,LAI_vert_ferti,PAI_tot_ferti,PAI_vert_ferti,TCgreen,TCsen,TCtot,TCgreen_57,TCsen_57,TCtot_57,Gapgreen,Gapsen,Gaptot,Gapgreen_57,Gapsen_57,Gaptot_57,LightPenetration_0,LightPenetration_5,LightPenetration_20,LightPenetration_25,LightInterception_0,LightInterception_5,LightInterception_20,LightInterception_25
10,Tremie13,4.917233181677539,0.15147689977278467,30.0,600.0,0.7082116244975991,0.6612222609196189,0.7966035566690894,0.7496141930911092,0.3542972284432292,0.3104635934137286,0.4126198470467968,0.3687862120172961,0.6464671227545039,0.5994777591765237,0.7348590549259942,0.687869691348014,0.13041169145117573,0.019357556222987328,0.14976924767416305,0.3506183681203358,0.021727786847014926,0.37234615496735074,0.8695883085488243,0.9806424437770127,0.850230752325837,0.6493816318796641,0.9782722131529851,0.6276538450326492,0.7135549999999999,0.7446380000000001,1.0001935,1.000337,0.28644500000000006,0.25536199999999987,-0.0001934999999999576,-0.0003370000000000317
11,Tremie13,5.136549838615949,0.15147689977278467,30.0,620.0,0.8269390384980875,0.7538646755983481,0.9268962385202271,0.8538218756204878,0.38589077852163456,0.3225194359817093,0.44672056000746274,0.3833492174675375,0.7264133446757698,0.6533389817760306,0.8255574831068806,0.7524831202071415,,,,,,,,,,,,,,,,,,,,
12,Tremie13,5.355866495554359,0.15147689977278467,30.0,640.0,0.9534991879956495,0.8458636541367466,1.0700698705296459,0.9623534180068822,0.41437354811638694,0.3264191119157159,0.4796154737602387,0.3915801188957071,0.8110791356744551,0.7034436018155521,0.9187698754124004,0.8110534228896369,,,,,,,,,,,,,,,,,,,,
13,Tremie13,5.5751831524927695,0.15147689977278467,30.0,660.0,1.1031989423027182,0.958909977289317,1.2463042269448543,1.0966884764696692,0.4416919697388696,0.3295066686357545,0.5102856094254935,0.39277352286059447,0.9075305320542905,0.7632415670408893,1.022588321653081,0.872972571177896,,,,,,,,,,,,,,,,,,,,
14,Tremie13,5.794499809431179,0.15147689977278467,30.0,680.0,1.2905576843990956,1.106951403992431,1.4635753812780445,1.2583959652057848,0.47645563835174043,0.34150685774624184,0.5459604961871525,0.3894385799160589,1.021409836082321,0.8378035556756562,1.1462495418796919,0.9410701258074322,,,,,,,,,,,,,,,,,,,,
15,Tremie13,6.013816466369589,0.15147689977278467,30.0,700.0,1.5100546108620934,1.2773260254564753,1.7118732371461653,1.438571470521096,0.5209476858132808,0.358251259010641,0.5924278742721782,0.3891582662500871,1.145413121539445,0.9126845361338268,1.2878244753129093,1.01452270868784,0.2181852589331895,0.06725337027146418,0.2854386292046537,0.5368087540811567,0.0861113135494403,0.622920067630597,0.7818147410668105,0.9327466297285358,0.7145613707953463,0.4631912459188433,0.9138886864505598,0.37707993236940296,0.535285,0.5560145000000001,1.0001935,1.0003365,0.464715,0.4439854999999999,-0.0001934999999999576,-0.00033649999999996183
16,Tremie13,6.233133123308,0.15147689977278467,30.0,720.0,1.7513724591614626,1.465540755430304,1.9774260631220166,1.6400414871447164,0.5676257403353815,0.3789530956969271,0.6475401104360303,0.4073145935514344,1.273354206316309,0.9875225025851504,1.4344389487540787,1.0970543727767785,,,,,,,,,,,,,,,,,,,,
17,Tremie13,6.452449780246409,0.15147689977278467,30.0,740.0,2.019449821373071,1.6718545012875015,2.2692841186395465,1.8684750507247552,0.6112112431473058,0.39366147810893787,0.69773058955961,0.42696707669201994,1.4080310787861412,1.0604408136709262,1.5844275762412192,1.1836235632967822,,,,,,,,,,,,,,,,,,,,
18,Tremie13,6.67176643718482,0.15147689977278467,30.0,760.0,2.324620644976506,1.9077241272655927,2.608539646694576,2.137589050534833,0.6590794262909583,0.40964077658020326,0.7470857091973956,0.4439030019271496,1.5659260323389788,1.1514616042647465,1.7494679186657323,1.2809494121426694,,,,,,,,,,,,,,,,,,,,
19,Tremie13,6.89108309412323,0.15147689977278467,30.0,780.0,2.6633216510584408,2.162367582527271,2.9964696384597227,2.440083607595412,0.7220377218355342,0.43833586947691194,0.8113798924240596,0.4733214023035491,1.752068553963262,1.265403928165009,1.9483809474935754,1.4062843593621812,,,,,,,,,,,,,,,,,,,,
