TT,daydate
733.679166667,2013-03-27
736.416666667,2013-03-28
738.5625,2013-03-29
741.604166667,2013-03-30
743.6875,2013-03-31
746.091666667,2013-04-01
750.2,2013-04-02
754.641666667,2013-04-03
759.004166667,2013-04-04
764.279166667,2013-04-05
769.683333333,2013-04-06
774.304166667,2013-04-07
780.3,2013-04-08
787.083333333,2013-04-09
795.5875,2013-04-10
805.841666667,2013-04-11
817.029166667,2013-04-12
827.166666667,2013-04-13
838.35,2013-04-14
855.966666667,2013-04-15
870.4875,2013-04-16
884.245833333,2013-04-17
902.204166667,2013-04-18
915.0875,2013-04-19
923.370833333,2013-04-20
931.820833333,2013-04-21
940.945833333,2013-04-22
950.029166667,2013-04-23
961.879166667,2013-04-24
976.754166667,2013-04-25
994.295833333,2013-04-26
1005.52916667,2013-04-27
1013.28333333,2013-04-28
1020.45,2013-04-29
1029.94583333,2013-04-30
1038.75,2013-05-01
1048.78333333,2013-05-02
1059.78333333,2013-05-03
1071.05,2013-05-04
1082.82916667,2013-05-05
1096.32083333,2013-05-06
1109.6125,2013-05-07
1124.35,2013-05-08
1139.43333333,2013-05-09
1151.44166667,2013-05-10
1162.075,2013-05-11
1174.17083333,2013-05-12
1185.40416667,2013-05-13
1197.20833333,2013-05-14
1209.2625,2013-05-15
1220.11666667,2013-05-16
1230.2125,2013-05-17
1241.15,2013-05-18
1251.6,2013-05-19
1263.09583333,2013-05-20
1273.54166667,2013-05-21
1284.4125,2013-05-22
1295.79166667,2013-05-23
1304.0625,2013-05-24
1309.90833333,2013-05-25
1318.29166667,2013-05-26
1328.22916667,2013-05-27
1340.79583333,2013-05-28
1351.44166667,2013-05-29
1362.09166667,2013-05-30
1373.56666667,2013-05-31
1386.50416667,2013-06-01
1401.5375,2013-06-02
1414.69166667,2013-06-03
1426.8125,2013-06-04
1439.95,2013-06-05
1457.22916667,2013-06-06
1476.8125,2013-06-07
1497.6125,2013-06-08
1516.01666667,2013-06-09
