id_plt,id_cohort,id_axis,N_phytomer,HS_final,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
63,5,T2,7,2.82901765308,1015.0,1615.0,5030,507,NA,718.414166157,860.944491355,1005.74901862,1272.99337837
63,6,T3,7,5.950487908,1250.0,1850.0,6060,607,NA,406.559912637,614.743764892,954.970184322,1345.3149073
63,7,T4,7,4.36317561757,1095.0,1695.0,7050,707,NA,555.091131678,732.005253609,1005.74901862,1337.46299724
64,1,MS,11,11.0,NA,NA,1111,111,1.0,-11.748625313,180.477696168,659.006996121,1019.4313489
64,4,T1,8,8.0,NA,NA,4081,408,1.0,286.437349873,490.242904395,786.344703243,1168.48011797
64,5,T2,7,3.35662467212,1062.0,1662.0,5040,507,NA,704.873160737,847.403485935,992.208013203,1259.45237295
64,6,T1.0,7,6.688297293,1346.0,1946.0,6070,607,NA,393.018907217,601.202759472,941.429178902,1331.77390188
65,1,MS,11,11.0,NA,NA,1111,111,1.0,2.08864021606,194.314961697,672.84426165,1033.26861443
65,4,T1,8,8.0,NA,NA,4081,408,1.0,300.274615402,504.080169924,800.181968772,1182.3173835
65,5,T2,8,2.96374668194,994.0,1594.0,5030,508,NA,725.39153526,850.105569808,966.765216899,1200.60403168
65,6,T3,7,5.950487908,1250.0,1850.0,6060,607,NA,406.856172747,615.040025001,955.266444431,1345.61116741
65,7,T1.1,7,4.35413168155,1094.0,1694.0,7050,707,NA,555.387391787,732.301513718,1006.04527873,1337.75925735
66,1,MS,11,11.0,NA,NA,1111,111,1.0,-7.05392103514,185.172400446,663.701700399,1024.12605318
66,4,T1,8,8.0,NA,NA,4081,408,1.0,291.132054151,494.937608673,791.039407521,1173.17482225
66,6,T1.0,8,6.77420727396,1247.0,1847.0,6070,608,NA,407.47222957,589.633100293,864.546962224,1206.09859483
66,6,T3,7,6.43467531691,1313.0,1913.0,6070,607,NA,397.713611495,605.89746375,946.12388318,1336.46860616
67,1,MS,11,11.0,NA,NA,1111,111,1.0,-17.2952751488,174.931046333,653.460346285,1013.88469906
67,4,T1,8,8.0,NA,NA,4081,408,1.0,280.890700038,484.696254559,780.798053407,1162.93346814
67,5,T2,8,3.8104837824,1060.0,1660.0,5040,508,NA,706.007619895,830.721654443,947.381301534,1181.22011631
67,6,T3,7,6.82663655269,1364.0,1964.0,6070,607,NA,387.472257382,595.656109636,935.882529066,1326.22725204
67,7,T2.0,6,4.90744585814,1201.0,1801.0,7050,706,NA,524.946343802,731.346152721,1060.0291968,1447.02883852
68,1,MS,12,12.0,NA,NA,1121,112,1.0,-2.78816540886,173.419295949,657.438542621,987.827532667
68,4,T1,9,9.0,NA,NA,4091,409,1.0,297.882635336,479.043128244,742.24472722,1081.92065142
68,5,T2,8,3.4384326322,1031.0,1631.0,5040,508,NA,714.507657089,839.221691637,955.881338728,1189.72015351
68,6,T1.0,8,6.87960861467,1259.0,1859.0,6070,608,NA,405.73091265,587.891783373,862.805645304,1204.35727791
68,6,T3,8,6.87082516962,1258.0,1858.0,6070,608,NA,405.73091265,587.891783373,862.805645304,1204.35727791
68,7,T1.1,7,4.75206486649,1138.0,1738.0,7050,707,NA,544.503513616,721.417635547,995.161400561,1326.87537918
69,1,MS,11,11.0,NA,NA,1111,111,1.0,-10.1845922399,182.041729241,660.571029194,1020.99538197
69,4,T1,8,8.0,NA,NA,4081,408,1.0,288.001382946,491.806937468,787.908736316,1170.04415104
69,5,T2,8,3.48975003223,1035.0,1635.0,5040,508,NA,713.118302804,837.832337352,954.491984443,1188.33079922
69,6,T1.0,7,6.58838560545,1333.0,1933.0,6070,607,NA,394.582940291,602.766792545,942.993211975,1333.33793495
69,6,T3,7,6.58070009102,1332.0,1932.0,6070,607,NA,394.582940291,602.766792545,942.993211975,1333.33793495
69,7,T1.1,6,4.47629960537,1190.0,1790.0,7050,706,NA,532.057026711,738.456835629,1067.13987971,1454.13952143
70,1,MS,12,12.0,NA,NA,1121,112,1.0,12.5373038992,188.744765257,672.764011929,1003.15300198
70,4,T1,9,8.96858326995,1383.0,1983.0,4090,409,NA,313.208104644,494.368597552,757.570196528,1097.24612073
70,5,T2,9,3.13215275458,980.0,1580.0,5040,509,NA,735.029544503,845.886464101,946.73643888,1154.59316313
70,7,T1.1,8,4.84178344374,1081.0,1681.0,7050,708,NA,568.12183239,722.921689079,971.206808036,1261.45653933
70,7,T2.0,7,4.92851555246,1085.0,1685.0,7050,707,NA,559.828982924,736.743104855,1010.48686987,1342.20084849
71,1,MS,11,11.0,NA,NA,1111,111,1.0,-13.8602839804,178.366037501,656.895337453,1017.31969023
71,4,T1,8,8.0,NA,NA,4081,408,1.0,284.325691206,488.131245728,784.233044575,1166.3684593
71,5,T2,8,3.66936093233,1049.0,1649.0,5040,508,NA,709.442611064,834.156645612,950.816292703,1184.65510748
71,6,T3,7,6.75746692285,1355.0,1955.0,6070,607,NA,390.90724855,599.091100805,939.317520235,1329.66224321
71,7,T1.1,7,4.969119331,1162.0,1762.0,7050,707,NA,539.438467591,716.352589521,990.096354536,1321.81033316
72,1,MS,11,11.0,NA,NA,1111,111,1.0,-12.5779138213,179.64840766,658.177707612,1018.60206039
72,4,T1,8,8.0,NA,NA,4081,408,1.0,285.608061365,489.413615887,785.515414734,1167.65082946
72,5,T2,7,3.39030171588,1065.0,1665.0,5040,507,NA,704.043872229,846.574197427,991.378724695,1258.62308444
72,6,T1.0,7,6.74209589399,1353.0,1953.0,6070,607,NA,392.189618709,600.373470964,940.599890394,1330.94461337
72,6,T3,7,6.73441037956,1352.0,1952.0,6070,607,NA,392.189618709,600.373470964,940.599890394,1330.94461337
72,7,T1.1,7,4.91485571487,1156.0,1756.0,7050,707,NA,540.72083775,717.63495968,991.378724695,1323.09270331
72,7,T4,6,4.5305632215,1197.0,1797.0,7050,706,NA,529.663705129,736.063514048,1064.74655813,1451.74619985
73,1,MS,11,11.0,NA,NA,1111,111,1.0,-2.21242690244,190.013894579,668.543194531,1028.96754731
73,4,T1,8,8.0,NA,NA,4081,408,1.0,295.973548284,499.779102806,795.880901653,1178.01631638
73,5,T2,8,3.13052823203,1007.0,1607.0,5040,508,NA,721.090468142,845.80450269,962.464149781,1196.30296456
