TT,daydate
1562.375,2011-05-08
1580.57083333,2011-05-09
1598.19583333,2011-05-10
1616.3125,2011-05-11
1632.86666667,2011-05-12
1646.375,2011-05-13
1660.00833333,2011-05-14
1671.7625,2011-05-15
1683.32916667,2011-05-16
1695.88333333,2011-05-17
1710.75416667,2011-05-18
1727.83333333,2011-05-19
1745.49583333,2011-05-20
1762.20833333,2011-05-21
1779.55,2011-05-22
1795.76666667,2011-05-23
1812.85416667,2011-05-24
1827.13333333,2011-05-25
1842.85416667,2011-05-26
1857.37083333,2011-05-27
1869.80416667,2011-05-28
1883.59583333,2011-05-29
1900.50416667,2011-05-30
1919.30833333,2011-05-31
1931.82083333,2011-06-01
1946.2125,2011-06-02
1964.39583333,2011-06-03
1984.75833333,2011-06-04
2006.67916667,2011-06-05
2026.59583333,2011-06-06
2043.24583333,2011-06-07
2058.5625,2011-06-08
2072.875,2011-06-09
2086.92083333,2011-06-10
2099.82083333,2011-06-11
2112.00833333,2011-06-12
2125.575,2011-06-13
2143.67083333,2011-06-14
2162.05833333,2011-06-15
2180.9125,2011-06-16
2197.92083333,2011-06-17
2213.30416667,2011-06-18
2226.9,2011-06-19
2241.24583333,2011-06-20
