index,axe,hins,rank,ranktop,plant,inerv,x,y,variety_name,side,harvest,relative_ranktop
10,MS,2.84445298993,3,11.0,1,34,3.8455949993,1.84829343501,Tremie12,1,1,6
11,MS,2.84445298993,3,11.0,1,34,4.26442804584,1.94491025399,Tremie12,1,1,6
12,MS,2.84445298993,3,11.0,1,34,4.68326109238,2.04152707298,Tremie12,1,1,6
13,MS,2.84445298993,3,11.0,1,34,5.10209413892,2.13814389196,Tremie12,1,1,6
14,MS,2.84445298993,3,11.0,1,34,5.52309987258,2.22347828242,Tremie12,1,1,6
15,MS,2.84445298993,3,11.0,1,34,5.94786041831,2.28931451385,Tremie12,1,1,6
16,MS,2.84445298993,3,11.0,1,34,6.37409632589,2.34312893375,Tremie12,1,1,6
17,MS,2.84445298993,3,11.0,1,34,6.8021715489,2.38195590933,Tremie12,1,1,6
18,MS,2.84445298993,3,11.0,1,34,7.2302467719,2.4207828849,Tremie12,1,1,6
19,MS,2.84445298993,3,11.0,1,34,7.65832199491,2.45960986048,Tremie12,1,1,6
0,MS,3.36733940931,3,10.0,18,8539,-0.0314648229268,0.0463860426603,Tremie12,1,1,6
1,MS,3.36733940931,3,10.0,18,8539,0.335603101642,0.270097857395,Tremie12,1,1,6
2,MS,3.36733940931,3,10.0,18,8539,0.70267102621,0.493809672129,Tremie12,1,1,6
3,MS,3.36733940931,3,10.0,18,8539,1.06973895078,0.717521486863,Tremie12,1,1,6
4,MS,3.36733940931,3,10.0,18,8539,1.45535834918,0.907180955701,Tremie12,1,1,6
5,MS,3.36733940931,3,10.0,18,8539,1.84236940173,1.09428595964,Tremie12,1,1,6
6,MS,3.36733940931,3,10.0,18,8539,2.22938045429,1.28139096358,Tremie12,1,1,6
7,MS,3.36733940931,3,10.0,18,8539,2.61639150684,1.46849596752,Tremie12,1,1,6
8,MS,3.36733940931,3,10.0,18,8539,3.00739886199,1.64653016374,Tremie12,1,1,6
9,MS,3.36733940931,3,10.0,18,8539,3.40665956921,1.80583090125,Tremie12,1,1,6
10,MS,3.36733940931,3,10.0,18,8539,3.80961950178,1.95543144154,Tremie12,1,1,6
11,MS,3.36733940931,3,10.0,18,8539,4.21657106343,2.09350672538,Tremie12,1,1,6
12,MS,3.36733940931,3,10.0,18,8539,4.62729216115,2.22036892302,Tremie12,1,1,6
13,MS,3.36733940931,3,10.0,18,8539,5.03801325887,2.34723112065,Tremie12,1,1,6
14,MS,3.36733940931,3,10.0,18,8539,5.44873435658,2.47409331829,Tremie12,1,1,6
15,MS,3.36733940931,3,10.0,18,8539,5.86388111174,2.58531016533,Tremie12,1,1,6
