variety;date;bloc;plant;axis;num_leaf_bottom;num_leaf_top;fnl;green;necro_tot;length;green_length;senesced_length
tremie;04/02/2012;3;22;MS;7;7;13;20;80;;;
tremie;04/02/2012;3;23;MS;7;6;12;20;80;;;
tremie;04/02/2012;3;24;MS;7;7;13;10;90;;;
tremie;04/02/2012;3;25;MS;7;7;13;60;40;;;
tremie;04/02/2012;3;26;MS;7;7;13;10;90;;;
tremie;04/02/2012;3;27;MS;7;7;13;0;100;;;
tremie;04/02/2012;3;28;MS;7;7;13;10;90;;;
tremie;04/02/2012;3;29;MS;7;7;13;5;95;;;
tremie;04/02/2012;3;30;MS;7;7;13;5;95;;;
tremie;04/02/2012;1;1;MS;8;5;;95;5;17.5;16.625;0.875
tremie;04/02/2012;1;2;MS;8;5;;97;3;15.7;15.229;0.471
tremie;04/02/2012;1;3;MS;8;5;;90;10;17.9;16.11;1.79
tremie;04/02/2012;1;4;MS;8;6;;70;30;19.3;13.51;5.79
tremie;04/02/2012;1;5;MS;8;6;;98;2;12.5;12.25;0.25
tremie;04/02/2012;1;6;MS;8;6;;;;14;0;14
tremie;04/02/2012;1;7;MS;8;6;;100;0;15.4;15.4;0
tremie;04/02/2012;1;8;MS;8;5;;;;15.5;0;15.5
tremie;04/02/2012;1;9;MS;8;6;;60;40;12.7;7.62;5.08
tremie;04/02/2012;1;10;MS;8;6;;100;0;15.5;15.5;0
tremie;04/02/2012;2;11;MS;8;6;;90;10;16;14.4;1.6
tremie;04/02/2012;2;12;MS;8;5;;100;0;18;18;0
tremie;04/02/2012;2;13;MS;8;5;;85;15;17.5;14.875;2.625
tremie;04/02/2012;2;14;MS;8;5;;100;0;16.2;16.2;0
tremie;04/02/2012;2;15;MS;8;5;;100;0;17.5;17.5;0
tremie;04/02/2012;2;16;MS;8;5;;100;0;17.8;17.8;0
tremie;04/02/2012;2;17;MS;8;6;;95;5;14.5;13.775;0.725
tremie;04/02/2012;2;18;MS;8;6;;90;10;13;11.7;1.3
tremie;04/02/2012;2;19;MS;8;6;;100;0;14.8;14.8;0
tremie;04/02/2012;2;20;MS;8;5;;90;10;17;15.3;1.7
tremie;04/02/2012;3;21;MS;8;6;;80;20;16;12.8;3.2
tremie;04/02/2012;3;22;MS;8;6;;100;0;15;15;0
tremie;04/02/2012;3;23;MS;8;5;;90;10;18.8;16.92;1.88
tremie;04/02/2012;3;24;MS;8;6;;90;10;16;14.4;1.6
tremie;04/02/2012;3;25;MS;8;6;;100;0;15;15;0
tremie;04/02/2012;3;26;MS;8;6;;90;10;11.1;9.99;1.11
tremie;04/02/2012;3;27;MS;8;6;;100;0;17.5;17.5;0
tremie;04/02/2012;3;28;MS;8;6;;90;10;14.6;13.14;1.46
tremie;04/02/2012;3;29;MS;8;6;;95;5;15.5;14.725;0.775
tremie;04/02/2012;3;30;MS;8;6;;90;10;14.2;12.78;1.42
tremie;04/02/2012;1;1;MS;9;4;;100;0;18.3;18.3;0
